label,thread,symbol,inclusive_samples,inclusive_percent,total_samples,window_seconds
fourteam_prefix,36068,WINMM.dll@6dfa0000!BZROpenShim::`anonymous namespace'::ProcessVisibleObjectHook+0x170,1702,13.5283,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?renderTextureShadowCasterQueueGroupObjects@SceneManager@Ogre@@MAEXPAVRenderQueueGroup@2@W4OrganisationMode@QueuedRenderableCollection@2@@Z+0x124,1700,13.5124,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_617600,1692,13.4489,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_4b6f10,1676,13.3217,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_4b6db0,1675,13.3137,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_issueRenderOp@SceneManager@Ogre@@UAEXPAVRenderable@2@PBVPass@2@@Z+0x73,1538,12.2248,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?renderSingleObject@SceneManager@Ogre@@MAEXPAVRenderable@2@PBVPass@2@_N2PBV?$HashedVector@PAVLight@Ogre@@@2@@Z+0xaf4,1492,11.8592,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?processVisibleObject@RenderQueue@Ogre@@QAEXPAVMovableObject@2@PAVCamera@2@_NPAUVisibleObjectsBoundsInfo@2@@Z+0xb0,1242,9.872,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_493ec0,1064,8.4572,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?updateGpuProgramParameters@SceneManager@Ogre@@MAEXPBVPass@2@@Z+0x62,937,7.4477,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?renderSingleObject@SceneManager@Ogre@@MAEXPAVRenderable@2@PBVPass@2@_N2PBV?$HashedVector@PAVLight@Ogre@@@2@@Z+0x322,896,7.1219,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?queryLights@MovableObject@Ogre@@UBEABV?$HashedVector@PAVLight@Ogre@@@2@XZ+0xc4,892,7.0901,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?findLights@SceneNode@Ogre@@UBEXAAV?$HashedVector@PAVLight@Ogre@@@2@MI@Z+0x29,892,7.0901,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_populateLightList@SceneManager@Ogre@@UAEXPBVSceneNode@2@MAAV?$HashedVector@PAVLight@Ogre@@@2@I@Z+0x2e,888,7.0583,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_618060,848,6.7403,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?updateGpuProgramParameters@SceneManager@Ogre@@MAEXPBVPass@2@@Z+0x8b,707,5.6196,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_62bc80,691,5.4924,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_62bd40,688,5.4686,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_4deec0,685,5.4447,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_4ebfd0,680,5.405,12581,19.999
fourteam_prefix,36068,WINMM.dll@6dfa0000!BZROpenShim::`anonymous namespace'::AutoSaveWorldUpdateRenderQueueHook+0x16,670,5.3255,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_populateLightList@SceneManager@Ogre@@UAEXABVVector3@2@MAAV?$HashedVector@PAVLight@Ogre@@@2@I@Z+0x140,669,5.3175,12581,19.999
fourteam_prefix,36068,KERNELBASE.dll!GetFileAttributesExW+0x13,664,5.2778,12581,19.999
fourteam_prefix,36068,WINMM.dll@6dfa0000!__std_fs_get_stats+0x9e,664,5.2778,12581,19.999
fourteam_prefix,36068,ntdll.dll!_ZwQueryFullAttributesFile@8+0xc,644,5.1188,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_4933e0,633,5.0314,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_updateAutoParams@Pass@Ogre@@QBEXPBVAutoParamDataSource@2@G@Z+0x103,601,4.777,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?updateGpuProgramParameters@SceneManager@Ogre@@MAEXPBVPass@2@@Z+0xdd,568,4.5147,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?bindGpuProgramParameters@D3D11RenderSystem@Ogre@@UAEXW4GpuProgramType@2@V?$SharedPtr@VGpuProgramParameters@Ogre@@@2@G@Z+0x16a,496,3.9425,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?bindGpuProgramParameters@D3D11RenderSystem@Ogre@@UAEXW4GpuProgramType@2@V?$SharedPtr@VGpuProgramParameters@Ogre@@@2@G@Z+0x90,475,3.7755,12581,19.999
fourteam_prefix,36068,WINMM.dll@6dfa0000!std::filesystem::exists+0x3e,459,3.6484,12581,19.999
fourteam_prefix,36068,WINMM.dll@6dfa0000!BZROpenShim::AutoSaveTick+0x10b,459,3.6484,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_497aa0,454,3.6086,12581,19.999
fourteam_prefix,36068,ntdll.dll!_ZwQueryVirtualMemory@24+0xc,444,3.5291,12581,19.999
fourteam_prefix,36068,WINMM.dll@6dfa0000!BZROpenShim::`anonymous namespace'::GetGameObjectActualTeam+0x42,444,3.5291,12581,19.999
fourteam_prefix,36068,WINMM.dll@6dfa0000!BZROpenShim::TargetReticlePopupRecentHitGetterHook+0x3c,440,3.4973,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_442e70,429,3.4099,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_updateRenderQueue@Entity@Ogre@@UAEXPAVRenderQueue@2@@Z+0x1ed,424,3.3702,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?getConstantBuffer@D3D11HLSLProgram@Ogre@@QAEPAUID3D11Buffer@@V?$SharedPtr@VGpuProgramParameters@Ogre@@@2@G@Z+0x9a,414,3.2907,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_43fb30,394,3.1317,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_493e60,394,3.1317,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_443060,392,3.1158,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?getConstantDefinition@GpuProgramParameters@Ogre@@QBEABUGpuConstantDefinition@2@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z+0xcf,379,3.0125,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_4ab380,378,3.0045,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_493330,372,2.9568,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_updateAllRenderTargets@Root@Ogre@@QAE_NXZ+0x2b,370,2.9409,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_swapAllRenderTargetBuffers@RenderSystem@Ogre@@UAEXXZ+0x3a,367,2.9171,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?isInLightRange@Light@Ogre@@QBE_NABVSphere@2@@Z+0x159,360,2.8615,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?swapBuffers@D3D11RenderWindowSwapChainBased@Ogre@@UAEXXZ+0x251,344,2.7343,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_4405e0,340,2.7025,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_440690,340,2.7025,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_687340,336,2.6707,12581,19.999
fourteam_prefix,36068,dxgi.dll!DXGIGetDebugInterface1+0xa584,328,2.6071,12581,19.999
fourteam_prefix,36068,dxgi.dll!CompatString+0x20eb,321,2.5515,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_440e60,316,2.5117,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?renderVisibleObjectsDefaultSequence@SceneManager@Ogre@@MAEXXZ+0xbf,282,2.2415,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?renderBasicQueueGroupObjects@SceneManager@Ogre@@MAEXPAVRenderQueueGroup@2@W4OrganisationMode@QueuedRenderableCollection@2@@Z+0xc1,281,2.2335,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?fireRenderQueueStarted@SceneManager@Ogre@@MAE_NEABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z+0x41,281,2.2335,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?acceptVisitor@QueuedRenderableCollection@Ogre@@QBEXPAVQueuedRenderableVisitor@2@W4OrganisationMode@12@@Z+0xec,280,2.2256,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?acceptVisitorDescending@QueuedRenderableCollection@Ogre@@IBEXPAVQueuedRenderableVisitor@2@@Z+0x1b,278,2.2097,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?angleBetween@Vector3@Ogre@@QBE?AVRadian@2@ABV12@@Z+0xdd,272,2.162,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?_render@D3D11RenderSystem@Ogre@@UAEXABVRenderOperation@2@@Z+0x1622,266,2.1143,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_updateAutoParams@Pass@Ogre@@QBEXPBVAutoParamDataSource@2@G@Z+0x55,263,2.0905,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?setVertexDeclaration@D3D11RenderSystem@Ogre@@QAEXPAVVertexDeclaration@2@PAVVertexBufferBinding@2@@Z+0x14,261,2.0746,12581,19.999
fourteam_prefix,36068,WINMM.dll@6dfa0000!BZROpenShim::`anonymous namespace'::TryGetGameObjectFieldBase+0xd4,247,1.9633,12581,19.999
fourteam_prefix,36068,dxgi.dll!CompatString+0x3176,233,1.852,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_findNamedConstantDefinition@GpuProgramParameters@Ogre@@QBEPBUGpuConstantDefinition@2@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@_N@Z+0xb8,228,1.8123,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?visit@SceneMgrQueuedRenderableVisitor@SceneManager@Ogre@@UAEXPAURenderablePass@3@@Z+0x63,225,1.7884,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_444ba0,222,1.7646,12581,19.999
fourteam_prefix,36068,dxgi.dll!DXGID3D10CreateDevice+0x3c30,217,1.7248,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?getConstantBuffer@D3D11HLSLProgram@Ogre@@QAEPAUID3D11Buffer@@V?$SharedPtr@VGpuProgramParameters@Ogre@@@2@G@Z+0x5f,216,1.7169,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_4a8ab0,215,1.7089,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?bindToShader@D3D11VertexDeclaration@Ogre@@QAEXPAVD3D11HLSLProgram@2@PAVVertexBufferBinding@2@@Z+0x1e,210,1.6692,12581,19.999
fourteam_prefix,36068,WINMM.dll@6dfa0000!std::filesystem::last_write_time+0x45,207,1.6453,12581,19.999
fourteam_prefix,36068,WINMM.dll@6dfa0000!BZROpenShim::AutoSaveTick+0x124,207,1.6453,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?lock@HardwareBuffer@Ogre@@UAEPAXIIW4LockOptions@12@W4UploadOptions@12@@Z+0x103,206,1.6374,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?lock@HardwareBuffer@Ogre@@QAEPAXW4LockOptions@12@W4UploadOptions@12@@Z+0x13,204,1.6215,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?_render@D3D11RenderSystem@Ogre@@UAEXABVRenderOperation@2@@Z+0x16df,203,1.6135,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?_render@D3D11RenderSystem@Ogre@@UAEXABVRenderOperation@2@@Z+0x1631,199,1.5818,12581,19.999
fourteam_prefix,36068,RenderSystem_Direct3D11.dll!?lockImpl@D3D11HardwareBuffer@Ogre@@MAEPAXIIW4LockOptions@HardwareBuffer@2@@Z+0x26c,195,1.55,12581,19.999
fourteam_prefix,36068,WINMM.dll@6dfa0000!BZROpenShim::`anonymous namespace'::TryGetGameObjectFieldBase+0x7c,195,1.55,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_663800,195,1.55,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_4aa1d0,182,1.4466,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_renderScene@SceneManager@Ogre@@UAEXPAVCamera@2@PAVViewport@2@_N@Z+0x187,176,1.3989,12581,19.999
fourteam_prefix,36068,battlezone98redux.exe!sub_617fa0,176,1.3989,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_updateRenderQueue@Entity@Ogre@@UAEXPAVRenderQueue@2@@Z+0x175,174,1.383,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?_updateSceneGraph@SceneManager@Ogre@@UAEXPAVCamera@2@@Z+0x2b,173,1.3751,12581,19.999
fourteam_prefix,36068,MSVCR120.dll!memmove+0xc9,172,1.3671,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?addRenderable@RenderQueue@Ogre@@QAEXPAVRenderable@2@@Z+0x15,172,1.3671,12581,19.999
fourteam_prefix,36068,OgreMain.dll!?updateAnimation@Entity@Ogre@@IAEXXZ+0x449,171,1.3592,12581,19.999
