label,thread,symbol,module,self_samples,self_percent,total_samples,window_seconds
fourteam_postfix,12092,battlezone98redux.exe!sub_4440d0,battlezone98redux.exe,35,0.2559,13676,20.0
fourteam_postfix,12092,d3d11.dll+0x2b4fb,d3d11.dll,35,0.2559,13676,20.0
fourteam_postfix,12092,RenderSystem_Direct3D11.dll!?getILayoutByShader@D3D11VertexDeclaration@Ogre@@IAEPAUID3D11InputLayout@@PAVD3D11HLSLProgram@2@PAVVertexBufferBinding@2@@Z+0x24f,RenderSystem_Direct3D11.dll,34,0.2486,13676,20.0
fourteam_postfix,12092,battlezone98redux.exe!sub_4ebfd0,battlezone98redux.exe,34,0.2486,13676,20.0
fourteam_postfix,12092,RenderSystem_Direct3D11.dll!?getILayoutByShader@D3D11VertexDeclaration@Ogre@@IAEPAUID3D11InputLayout@@PAVD3D11HLSLProgram@2@PAVVertexBufferBinding@2@@Z+0x52,RenderSystem_Direct3D11.dll,33,0.2413,13676,20.0
fourteam_postfix,12092,RenderSystem_Direct3D11.dll!?_render@D3D11RenderSystem@Ogre@@UAEXABVRenderOperation@2@@Z+0x161d,RenderSystem_Direct3D11.dll,31,0.2267,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?touchVertexBufferCopy@HardwareBufferManagerBase@Ogre@@UAEXABVHardwareVertexBufferSharedPtr@2@@Z+0x47,OgreMain.dll,31,0.2267,13676,20.0
fourteam_postfix,12092,d3d11.dll+0x27010,d3d11.dll,30,0.2194,13676,20.0
fourteam_postfix,12092,battlezone98redux.exe!sub_784620,battlezone98redux.exe,30,0.2194,13676,20.0
fourteam_postfix,12092,d3d11.dll!D3D11CoreCreateDevice+0x26530,d3d11.dll,30,0.2194,13676,20.0
fourteam_postfix,12092,MSVCR120.dll!__libm_sse2_acosf+0x4c,MSVCR120.dll,29,0.2121,13676,20.0
fourteam_postfix,12092,RenderSystem_Direct3D11.dll!?_render@D3D11RenderSystem@Ogre@@UAEXABVRenderOperation@2@@Z+0x97,RenderSystem_Direct3D11.dll,28,0.2047,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?isHardwareAnimationEnabled@Entity@Ogre@@QAE_NXZ+0x43,OgreMain.dll,27,0.1974,13676,20.0
fourteam_postfix,12092,battlezone98redux.exe!sub_440e60,battlezone98redux.exe,27,0.1974,13676,20.0
fourteam_postfix,12092,RenderSystem_Direct3D11.dll+0x3ee0,RenderSystem_Direct3D11.dll,27,0.1974,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?_findVisibleObjects@SceneNode@Ogre@@UAEXPAVCamera@2@PAVRenderQueue@2@PAUVisibleObjectsBoundsInfo@2@_N33@Z+0x4c,OgreMain.dll,27,0.1974,13676,20.0
fourteam_postfix,12092,battlezone98redux.exe!sub_820570,battlezone98redux.exe,27,0.1974,13676,20.0
fourteam_postfix,12092,battlezone98redux.exe!sub_60f320,battlezone98redux.exe,27,0.1974,13676,20.0
fourteam_postfix,12092,battlezone98redux.exe!sub_62bf70,battlezone98redux.exe,26,0.1901,13676,20.0
fourteam_postfix,12092,RenderSystem_Direct3D11.dll!?getILayoutByShader@D3D11VertexDeclaration@Ogre@@IAEPAUID3D11InputLayout@@PAVD3D11HLSLProgram@2@PAVVertexBufferBinding@2@@Z+0x56,RenderSystem_Direct3D11.dll,25,0.1828,13676,20.0
fourteam_postfix,12092,battlezone98redux.exe!sub_784100,battlezone98redux.exe,24,0.1755,13676,20.0
fourteam_postfix,12092,RenderSystem_Direct3D11.dll!?getMonitorSequentialNumberFromSwapChain@MonitorInfo@Ogre@@QAEGPAUIDXGISwapChain@@_N@Z+0x27a7,RenderSystem_Direct3D11.dll,24,0.1755,13676,20.0
fourteam_postfix,12092,battlezone98redux.exe!sub_6116a0,battlezone98redux.exe,24,0.1755,13676,20.0
fourteam_postfix,12092,MSVCR120.dll!__libm_sse2_asinf+0xa0,MSVCR120.dll,24,0.1755,13676,20.0
fourteam_postfix,12092,win32u.dll!_NtGdiDdDDIQueryVidPnExclusiveOwnership@4+0xc,win32u.dll,23,0.1682,13676,20.0
fourteam_postfix,12092,RenderSystem_Direct3D11.dll!?getILayoutByShader@D3D11VertexDeclaration@Ogre@@IAEPAUID3D11InputLayout@@PAVD3D11HLSLProgram@2@PAVVertexBufferBinding@2@@Z+0x6a,RenderSystem_Direct3D11.dll,23,0.1682,13676,20.0
fourteam_postfix,12092,KERNEL32.DLL!GetCurrentThreadId,KERNEL32.DLL,23,0.1682,13676,20.0
fourteam_postfix,12092,battlezone98redux.exe!sub_81f1e0,battlezone98redux.exe,23,0.1682,13676,20.0
fourteam_postfix,12092,battlezone98redux.exe!sub_83e885,battlezone98redux.exe,23,0.1682,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?isHardwareAnimationEnabled@Entity@Ogre@@QAE_NXZ+0x28,OgreMain.dll,23,0.1682,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?ACos@Math@Ogre@@SA?AVRadian@2@M@Z+0x8,OgreMain.dll,23,0.1682,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?getVertexProgramParameters@Pass@Ogre@@QBE?AV?$SharedPtr@VGpuProgramParameters@Ogre@@@2@XZ+0x127,OgreMain.dll,22,0.1609,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?getProgram@Pass@Ogre@@IBEABV?$SharedPtr@VGpuProgram@Ogre@@@2@PBQAVGpuProgramUsage@2@@Z+0x38,OgreMain.dll,22,0.1609,13676,20.0
fourteam_postfix,12092,battlezone98redux.exe!sub_440300,battlezone98redux.exe,21,0.1536,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?isInLightRange@Light@Ogre@@QBE_NABVSphere@2@@Z+0x161,OgreMain.dll,21,0.1536,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?_findVisibleObjects@SceneNode@Ogre@@UAEXPAVCamera@2@PAVRenderQueue@2@PAUVisibleObjectsBoundsInfo@2@_N33@Z+0x76,OgreMain.dll,21,0.1536,13676,20.0
fourteam_postfix,12092,battlezone98redux.exe!sub_4621a0,battlezone98redux.exe,20,0.1462,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?isHardwareAnimationEnabled@Entity@Ogre@@QAE_NXZ+0x2c,OgreMain.dll,20,0.1462,13676,20.0
fourteam_postfix,12092,MSVCR120.dll!__libm_sse2_asinf+0x50,MSVCR120.dll,20,0.1462,13676,20.0
fourteam_postfix,12092,ntdll.dll!_ZwReleaseMutant@8+0xc,ntdll.dll,20,0.1462,13676,20.0
fourteam_postfix,12092,OgreMain.dll+0x2e866,OgreMain.dll,20,0.1462,13676,20.0
fourteam_postfix,12092,ntdll.dll!_ZwTraceEvent@16+0xc,ntdll.dll,20,0.1462,13676,20.0
fourteam_postfix,12092,RenderSystem_Direct3D11.dll!?getD3DVertexBuffer@D3D11HardwareVertexBuffer@Ogre@@QBEPAUID3D11Buffer@@XZ+0x6,RenderSystem_Direct3D11.dll,20,0.1462,13676,20.0
fourteam_postfix,12092,battlezone98redux.exe!sub_686600,battlezone98redux.exe,19,0.1389,13676,20.0
fourteam_postfix,12092,battlezone98redux.exe!sub_445d90,battlezone98redux.exe,19,0.1389,13676,20.0
fourteam_postfix,12092,battlezone98redux.exe!sub_492d60,battlezone98redux.exe,19,0.1389,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?getDistance@Plane@Ogre@@QBEMABVVector3@2@@Z+0x37,OgreMain.dll,19,0.1389,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?isFloat@GpuConstantDefinition@Ogre@@SA_NW4GpuConstantType@2@@Z+0x1a,OgreMain.dll,19,0.1389,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?clone@Animation@Ogre@@QBEPAV12@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z+0x249,OgreMain.dll,19,0.1389,13676,20.0
fourteam_postfix,12092,win32u.dll!_NtUserSystemParametersInfo@16+0xc,win32u.dll,18,0.1316,13676,20.0
fourteam_postfix,12092,RenderSystem_Direct3D11.dll!??0D3D11RenderWindowSwapChainBased@Ogre@@QAE@ABV01@@Z+0x310,RenderSystem_Direct3D11.dll,18,0.1316,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?getFragmentProgramParameters@Pass@Ogre@@QBE?AV?$SharedPtr@VGpuProgramParameters@Ogre@@@2@XZ+0x7a,OgreMain.dll,18,0.1316,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?_findNamedConstantDefinition@GpuProgramParameters@Ogre@@QBEPBUGpuConstantDefinition@2@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@_N@Z+0xfe,OgreMain.dll,18,0.1316,13676,20.0
fourteam_postfix,12092,MSVCR120.dll!floor+0x30,MSVCR120.dll,18,0.1316,13676,20.0
fourteam_postfix,12092,battlezone98redux.exe!sub_774f80,battlezone98redux.exe,18,0.1316,13676,20.0
fourteam_postfix,12092,OgreMain.dll!?isFloat@GpuConstantDefinition@Ogre@@SA_NW4GpuConstantType@2@@Z+0x13,OgreMain.dll,18,0.1316,13676,20.0
fourteam_postfix,12092,OgreMain.dll+0x13f52,OgreMain.dll,17,0.1243,13676,20.0
fourteam_postfix,12092,MSVCR120.dll!__libm_sse2_acosf+0x36,MSVCR120.dll,17,0.1243,13676,20.0
