arm,repeat,run_id,scenario,count,renderer,isolate,present_mode,present_mode_purity,frames,span_s,mean_ms,median_ms,p95_ms,p99_ms,drift_ms,gpu_ms,dropped,path
after,2,dx9_avtank_fourteam_fire_080_400_facing,fourteam_fire,80,DX9,none,Hardware: Independent Flip,1.0,2517,14.765746400000001,5.870061144219309,5.7442,6.9417,8.2022,0.4805026619527917,2.82467059992054,0,reverse_engineering/snapshots/phase2_dx9_ab2\after_r2\20260823_145735\dx9_avtank_fourteam_fire_080_400_facing\presentmon.csv
after,3,dx9_avtank_fourteam_fire_080_400_facing,fourteam_fire,80,DX9,none,Hardware: Independent Flip,1.0,2228,15.0511067,6.758675673249551,6.50605,8.5515,9.9257,0.392171998880702,2.7925189856373427,0,reverse_engineering/snapshots/phase2_dx9_ab2\after_r3\20260823_145849\dx9_avtank_fourteam_fire_080_400_facing\presentmon.csv
before,1,dx9_avtank_fourteam_fire_080_400_facing,fourteam_fire,80,DX9,none,Hardware: Independent Flip,0.7075232459847844,1183,14.8461577,12.556761961115807,10.9347,16.2274,19.3049,6.515486813186813,2.625247252747253,2,reverse_engineering/snapshots/phase2_dx9_ab2\before_r1\20260823_145507\dx9_avtank_fourteam_fire_080_400_facing\presentmon.csv
before,2,dx9_avtank_fourteam_fire_080_400_facing,fourteam_fire,80,DX9,none,Hardware: Independent Flip,1.0,1373,15.0631015,10.977070356882738,10.7027,14.6202,15.6957,6.447537918745546,2.721535615440641,0,reverse_engineering/snapshots/phase2_dx9_ab2\before_r2\20260823_145658\dx9_avtank_fourteam_fire_080_400_facing\presentmon.csv
before,3,dx9_avtank_fourteam_fire_080_400_facing,fourteam_fire,80,DX9,none,Hardware: Independent Flip,1.0,1200,14.896667599999999,12.42362125,12.2545,16.9511,18.9842,7.571546100917432,2.69402975,0,reverse_engineering/snapshots/phase2_dx9_ab2\before_r3\20260823_145811\dx9_avtank_fourteam_fire_080_400_facing\presentmon.csv
