arm,repeat,run_id,scenario,count,renderer,isolate,present_mode,present_mode_purity,frames,span_s,mean_ms,median_ms,p95_ms,p99_ms,gpu_ms,dropped,path
after,1,dx11_avtank_fourteam_ai_080_400_facing,fourteam_ai,80,DX11,none,Hardware: Independent Flip,1.0,2108,14.8826467,7.062842267552182,6.60195,9.1962,10.1765,2.1544627134724856,0,reverse_engineering/snapshots/phase2_ai_ab\after_r1\20260823_145207\dx11_avtank_fourteam_ai_080_400_facing\presentmon.csv
after,2,dx11_avtank_fourteam_ai_080_400_facing,fourteam_ai,80,DX11,none,Hardware: Independent Flip,1.0,1135,14.4221424,12.717613392070485,12.1339,15.3822,16.8068,2.224474449339207,0,reverse_engineering/snapshots/phase2_ai_ab\after_r2\20260823_145321\dx11_avtank_fourteam_ai_080_400_facing\presentmon.csv
before,1,dx11_avtank_fourteam_ai_080_400_facing,fourteam_ai,80,DX11,none,Hardware: Independent Flip,1.0,1466,14.833899,10.123512482946794,8.502500000000001,16.2669,17.3504,2.138063983628922,0,reverse_engineering/snapshots/phase2_ai_ab\before_r1\20260823_145130\dx11_avtank_fourteam_ai_080_400_facing\presentmon.csv
before,2,dx11_avtank_fourteam_ai_080_400_facing,fourteam_ai,80,DX11,none,Hardware: Independent Flip,1.0,1331,14.911280099999999,11.209304057099924,9.67,26.9784,30.2105,2.2058948910593537,0,reverse_engineering/snapshots/phase2_ai_ab\before_r2\20260823_145243\dx11_avtank_fourteam_ai_080_400_facing\presentmon.csv
