arm,repeat,run_id,scenario,count,renderer,isolate,present_mode,present_mode_purity,frames,span_s,mean_ms,median_ms,p95_ms,p99_ms,gpu_ms,dropped,path
after,1,dx9_avtank_fourteam_fire_080_400_facing,fourteam_fire,80,DX9,none,Hardware: Independent Flip,1.0,1188,14.3187055,12.062506734006734,11.90405,13.9889,15.3366,3.0482022727272726,0,reverse_engineering/snapshots/phase2_dx9_ab\after_r1\20260823_144920\dx9_avtank_fourteam_fire_080_400_facing\presentmon.csv
after,2,dx9_avtank_fourteam_fire_080_400_facing,fourteam_fire,80,DX9,none,Hardware: Independent Flip,1.0,2528,15.1075772,5.978699248417722,5.868650000000001,6.9813,7.987,2.8229696993670887,0,reverse_engineering/snapshots/phase2_dx9_ab\after_r2\20260823_145053\dx9_avtank_fourteam_fire_080_400_facing\presentmon.csv
before,1,dx9_avtank_fourteam_fire_080_400_facing,fourteam_fire,80,DX9,none,Hardware: Independent Flip,1.0,1367,14.8187128,10.846142940746159,10.7606,15.2088,16.9538,2.2516348207754207,0,reverse_engineering/snapshots/phase2_dx9_ab\before_r1\20260823_144842\dx9_avtank_fourteam_fire_080_400_facing\presentmon.csv
before,2,dx9_avtank_fourteam_fire_080_400_facing,fourteam_fire,80,DX9,none,Hardware: Independent Flip,1.0,1334,14.844287900000001,11.133789055472263,10.684750000000001,15.1575,18.0145,2.7080209895052474,0,reverse_engineering/snapshots/phase2_dx9_ab\before_r2\20260823_145016\dx9_avtank_fourteam_fire_080_400_facing\presentmon.csv
