legacy_va,legacy_name,legacy_namespace,target_rva,target_va,target_name,similarity,significance
0x5086bc,AI_AIPInit,Global,0x290180,0x690180,FUN_00690180,0.7269,12.75
0x5086bc,AI_AIPInit,Global,0xdfbb0,0x4dfbb0,FUN_004dfbb0,0.5100,7.99
0x5086bc,AI_AIPInit,Global,0x1d4ee0,0x5d4ee0,FUN_005d4ee0,0.5100,7.99
0x5086bc,AI_AIPInit,Global,0x1c5a10,0x5c5a10,FUN_005c5a10,0.5100,7.99
0x507c58,AI_AIPLoad,Global,0x2902b0,0x6902b0,FUN_006902b0,0.5582,22.42
0x507d10,AI_AIPSwitch,Global,0x290380,0x690380,FUN_00690380,0.7372,13.45
0x50734a,AI_BuildingCommenced,Global,0x198930,0x598930,FUN_00598930,0.5341,6.44
0x50734a,AI_BuildingCommenced,Global,0x31da80,0x71da80,_Destroy,0.5341,6.44
0x50734a,AI_BuildingCommenced,Global,0x326c00,0x726c00,_Destroy,0.5341,6.44
0x5084fc,AI_BuildingStalled,Global,0x28fe40,0x68fe40,FUN_0068fe40,0.9116,44.01
0x5084fc,AI_BuildingStalled,Global,0x28fac0,0x68fac0,FUN_0068fac0,0.6269,21.15
0x40142c,AI_Cleanup,Global,0x5c030,0x45c030,FUN_0045c030,0.6237,19.91
0x507196,AI_Close,Global,0x28f8f0,0x68f8f0,FUN_0068f8f0,0.9228,31.33
0x508355,AI_DisableTeam,Global,0x28fa90,0x68fa90,FUN_0068fa90,0.5013,12.32
0x50830f,AI_EnableTeam,Global,0x28fa90,0x68fa90,FUN_0068fa90,0.5013,12.32
0x507238,AI_IsEnabled,Global,0x28fa90,0x68fa90,FUN_0068fa90,0.6365,16.40
0x507238,AI_IsEnabled,Global,0x28fa20,0x68fa20,FUN_0068fa20,0.5790,16.16
0x50887f,AI_Match_Team_Unit_Strength_Recalculate,Global,0x294950,0x694950,FUN_00694950,0.6558,23.03
0x5080aa,AI_PartIntoTeam,Global,0x3beed0,0x7beed0,FUN_007beed0,0.6891,14.01
0x5080aa,AI_PartIntoTeam,Global,0x28f630,0x68f630,FUN_0068f630,0.6256,12.79
0x5080aa,AI_PartIntoTeam,Global,0x3bf3c0,0x7bf3c0,FUN_007bf3c0,0.6049,10.01
0x5080aa,AI_PartIntoTeam,Global,0x3bf400,0x7bf400,FUN_007bf400,0.6049,10.01
0x5080aa,AI_PartIntoTeam,Global,0xff770,0x4ff770,FUN_004ff770,0.5049,7.96
0x508a3a,AI_Parts_AddBuildingToTeam,Global,0x294b20,0x694b20,FUN_00694b20,0.6981,38.16
0x508b6f,AI_Parts_AddUnitToTeam,Global,0x294ba0,0x694ba0,FUN_00694ba0,0.9874,36.07
