redux_va,applied_name,namespace,combined_confidence,similarity,significance,legacy_va,status
0x56c690,SetMostRecentKilled,MultDMMission,high,1.0000,47.95,0x44c1ff,applied
0x56d8b0,refresh_flags,MultGEvent,very_high,0.7233,39.32,0x44c697,applied
0x56f320,SetMostRecentKilled,MultSTMission,high,0.9886,58.64,0x44d284,applied
0x586300,OrdnanceClass,OrdnanceClass,very_high,0.7239,22.70,0x53599c,applied
0x594950,PostLoad,PathDisplay,very_high,0.5281,37.88,0x4d5474,applied
0x597fb0,DrawControlMenu,PathDisplay,very_high,0.5521,40.07,0x4d6688,applied
0x598960,DoControlPath,PathDisplay,very_high,0.5114,163.18,0x4d75c3,applied
0x59d0f0,Save,Person,very_high,0.6938,13.25,0x4a535d,applied
0x5a2430,PersonClass,PersonClass,very_high,0.8857,32.27,0x4a767b,applied
0x5a7240,PopperGunClass,PopperGunClass,very_high,0.8040,16.93,0x536931,applied
0x5a7ca0,Save,PowerUp,very_high,0.7372,14.22,0x4a8bb4,applied
0x5ab2c0,PowerUpClass,PowerUpClass,very_high,0.7984,16.51,0x4aa384,applied
0x5aba30,FindSmokeSource,Craft,high,0.9757,43.20,0x485dd6,applied
0x5aff90,Save,Producer,very_high,0.7899,62.79,0x4ab6eb,applied
0x5b0260,ProducerClass,ProducerClass,very_high,0.5642,20.10,0x4ac98f,applied
0x5b4f40,Save,RecyclerFriend,very_high,0.7252,33.18,0x459025,applied
0x5c2c70,ScavengerClass,ScavengerClass,very_high,0.8584,22.66,0x4aef79,applied
0x5c2d60,GetScavMessage,Global,very_high,1.0000,27.94,0x4aefe8,applied
0x5cb2d0,SetAIP,Global,very_high,0.5257,62.20,0x45f99e,applied
0x5d15b0,ShieldTowerClass,ShieldTowerClass,very_high,0.7772,17.20,0x4b05f4,applied
0x5d1dd0,PreLoad,ShockWaveEffect,very_high,0.5807,9.03,0x4d9e73,applied
0x5d6240,Init,SniperInterface,very_high,0.6585,35.32,0x4da9cc,applied
0x5d9e70,SpecialItemClass,SpecialItemClass,very_high,0.7743,17.86,0x53a2c9,applied
0x5da1e0,SprayBuildingClass,SprayBuildingClass,very_high,0.7777,17.17,0x53a555,applied
0x5dacf0,SprayBombClass,SprayBombClass,very_high,0.7278,14.89,0x53a4d9,applied
0x5dd850,SupplyDepotClass,SupplyDepotClass,very_high,0.7698,16.92,0x4b1a7e,applied
0x5df230,TargetingGunClass,TargetingGunClass,very_high,0.8500,21.53,0x53af31,applied
0x5e6980,Setup,Tran02Mission,very_high,0.7534,31.04,0x463c78,applied
0x5eae10,AddObject,Tran05Mission,very_high,0.8681,62.04,0x46535f,applied
0x5eaf60,Execute,Tran05Mission,very_high,0.6347,237.17,0x465639,applied
0x5f01d0,FindTurret,TurretCraft,very_high,0.5748,33.44,0x4b3ba1,applied
