legacy_name,legacy_namespace,legacy_entry_va,legacy_entry_rva,legacy_signature,redux_current_name,redux_entry_va,redux_entry_rva,redux_signature,score,next_score,margin,confidence,methods,redux_static_prologue,legacy_body_size,redux_body_size,shared_strings,shared_constants,string_score,constant_score,identifier_score,shingle_score,body_size_score,text_size_score,legacy_decomp,redux_decomp,bsim_agreement,combined_confidence,bsim_redux_rva,bsim_redux_va,bsim_target_name,bsim_similarity,bsim_significance,bsim_rank2_rva,bsim_rank2_similarity,bsim_target_fanin
DumpLargeMapBMP,Global,0x004d1b79,0x000d1b79,"void __cdecl DumpLargeMapBMP(char * param_1, int param_2)",FUN_0050fe80,0x0050fe80,0x0010fe80,undefined FUN_0050fe80(void),0.4802,0.0000,0.4802,low,shared_strings;same_string_set;shared_constants,,1699,4925,.BMP | Writing %dx%d large map to %s\n,0x10000 | 0x18 | 0x2e | 0x5,1.0000,0.1600,0.1176,0.0549,0.3450,0.9267,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\004d\004d1b79_DumpLargeMapBMP.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_0050fe80-0050fe80.c,text_only,text_low,,,,,,,,0
Render,MapRadar,0x004d2395,0x000d2395,void __thiscall Render(MapRadar * this),FUN_0050d6f0,0x0050d6f0,0x0010d6f0,undefined FUN_0050d6f0(void),0.5105,0.0000,0.5105,medium,shared_strings;same_string_set;shared_constants,,2955,8152,cgrowl.wav,0x18 | 0x250005 | 0x28 | 0x2c | 0x38 | 0x5 | 0x6 | 0x7 | 0xa | 0xc | 0xf,1.0000,0.4074,0.0531,0.0869,0.3625,0.7712,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\004d\004d2395_MapRadar_Render.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_0050d6f0-0050d6f0.c,text_only,text_medium,,,,,,,,0
PreLoad,ParticleEffect,0x004d3dd4,0x000d3dd4,void __thiscall PreLoad(ParticleEffect * this),FUN_0058b500,0x0058b500,0x0018b500,undefined FUN_0058b500(void),0.4966,0.0000,0.4966,low,shared_strings;same_string_set,,225,325,particle.0 | particle.odf,,1.0000,0.0000,0.1724,0.0482,0.6923,0.9533,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\004d\004d3dd4_ParticleEffect_PreLoad.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_0058b500-0058b500.c,text_only,text_low,,,,,,,,0
DoControlTask,PathDisplay,0x004d7cb2,0x000d7cb2,void __thiscall DoControlTask(PathDisplay * this),FUN_0059a010,0x0059a010,0x0019a010,undefined FUN_0059a010(void),0.5226,0.0000,0.5226,medium,shared_strings;same_string_set;shared_constants,,1486,3328," Object: Name (%s) |  Object: Path (%s) |  Object: Pos X(%f), Z(%f) |  Set Command: |  Subject: Name (%s) Current Command (%s) Next Command (%s)",0x14 | 0x3c | 0x5 | 0x6 | 0x96 | 0xa | 0xc | 0xe | 0xf,1.0000,0.3103,0.1156,0.0810,0.4465,0.9515,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\004d\004d7cb2_PathDisplay_DoControlTask.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_0059a010-0059a010.c,text_only,text_medium,,,,,,,,0
PreLoad,SmokeEffect,0x004da61c,0x000da61c,void __thiscall PreLoad(SmokeEffect * this),FUN_005d5350,0x005d5350,0x001d5350,undefined FUN_005d5350(void),0.5262,0.0000,0.5262,medium,shared_strings;same_string_set,,904,1174,bsmoke.0 | dsmoke.0 | lsmoke.0 | msmoke.0 | smoke.odf,,1.0000,0.0000,0.2921,0.0796,0.7700,0.9645,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\004d\004da61c_SmokeEffect_PreLoad.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_005d5350-005d5350.c,text_only,text_medium,,,,,,,,0
_Xlen,"std::vector<ScorePlayer_*,std::allocator<ScorePlayer_*>_>",0x004e426f,0x000e426f,void __cdecl _Xlen(void),FUN_0083d7b0,0x0083d7b0,0x0043d7b0,undefined FUN_0083d7b0(void),0.4388,0.3782,0.0605,low,shared_strings;same_string_set;same_parameter_count,,72,115,vector<T> too long,,1.0000,0.0000,0.0488,0.0046,0.6261,0.3825,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\004e\004e426f_std_vector_ScorePlayer__std_allocator_ScorePlayer_____Xlen.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_0083d7b0-0083d7b0.c,text_only,text_low,,,,,,,,0
ScorePlayer,ScorePlayer,0x004e5a3f,0x000e5a3f,"ScorePlayer * __thiscall ScorePlayer(ScorePlayer * this, ushort param_1)",FUN_00626540,0x00626540,0x00226540,undefined FUN_00626540(void),0.4925,0.0000,0.4925,low,shared_strings;same_string_set;shared_constants;similar_body_size,,647,702,%02d:%02d | %5.2f,0x5,1.0000,0.0417,0.0370,0.0214,0.9217,0.7982,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\004e\004e5a3f_ScorePlayer_ScorePlayer.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_00626540-00626540.c,text_only,text_low,,,,,,,,0
_Xlen,"std::vector<SpawnPoint_*,std::allocator<SpawnPoint_*>_>",0x004e6308,0x000e6308,void __cdecl _Xlen(void),FUN_0083d7b0,0x0083d7b0,0x0043d7b0,undefined FUN_0083d7b0(void),0.4389,0.3783,0.0606,low,shared_strings;same_string_set;same_parameter_count,,72,115,vector<T> too long,,1.0000,0.0000,0.0488,0.0046,0.6261,0.3843,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\004e\004e6308_std_vector_SpawnPoint__std_allocator_SpawnPoint_____Xlen.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_0083d7b0-0083d7b0.c,text_only,text_low,,,,,,,,0
add_entity,Global,0x004ea037,0x000ea037,"tagENTITY * __cdecl add_entity(_OBJ76 * param_1, short param_2, CLSN_BOXES * param_3, float * param_4)",FUN_0062c4a0,0x0062c4a0,0x0022c4a0,undefined FUN_0062c4a0(void),0.4829,0.0000,0.4829,low,shared_strings;same_string_set;shared_constants,,397,593,You had exceeded the maximum number of entities allowed (%d). Please reduce the size of this mission and try again,0x5,1.0000,0.0500,0.1753,0.0295,0.6695,0.8040,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\004e\004ea037_add_entity.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_0062c4a0-0062c4a0.c,text_only,text_low,,,,,,,,0
AIBuild_ResourceListOverlayIteration,Global,0x0050b0a1,0x0010b0a1,"void __cdecl AIBuild_ResourceListOverlayIteration(tagOVERLAY * param_1, void * param_2)",FUN_00690a40,0x00690a40,0x00290a40,undefined FUN_00690a40(void),0.4717,0.0000,0.4717,low,shared_strings;same_string_set,,101,197,"resource #%d found at (%d, %d) id number %d type %d addr %08x\n",,1.0000,0.0000,0.2353,0.0471,0.5127,0.8088,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\0050\0050b0a1_AIBuild_ResourceListOverlayIteration.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_00690a40-00690a40.c,text_only,text_low,,,,,,,,0
AIBuild_ResourceListDelete,Global,0x0050b141,0x0010b141,void __cdecl AIBuild_ResourceListDelete(void),FUN_00690b70,0x00690b70,0x00290b70,undefined FUN_00690b70(void),0.4927,0.0000,0.4927,low,shared_strings;same_string_set;same_parameter_count,,120,207,About to free list resource %d\n | RLD about to free resource %d node %d ptr %08x\n | in RLD\n | leaving RLD\n,,1.0000,0.0000,0.3429,0.0327,0.5797,0.6937,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\0050\0050b141_AIBuild_ResourceListDelete.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_00690b70-00690b70.c,text_only,text_low,,,,,,,,0
AIBuild_CostOfObject,Global,0x0050b241,0x0010b241,int __cdecl AIBuild_CostOfObject(int param_1),FUN_00690d20,0x00690d20,0x00290d20,undefined FUN_00690d20(void),0.4642,0.0000,0.4642,low,shared_strings;same_string_set,,77,128,AIBuild_CostOfObject (%d) - input is not a building or unit\n,,1.0000,0.0000,0.2286,0.0112,0.6016,0.7717,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\0050\0050b241_AIBuild_CostOfObject.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_00690d20-00690d20.c,text_only,text_low,,,,,,,,0
AIBuild_BuildListGenerateAccount,Global,0x0050b730,0x0010b730,"void __cdecl AIBuild_BuildListGenerateAccount(tag_team * param_1, int param_2)",FUN_00691860,0x00691860,0x00291860,undefined FUN_00691860(void),0.4640,0.0000,0.4640,low,shared_strings;same_string_set,,148,300,"Error in ai construction account #%d, priority level #%d illegal build type is %d\n",,1.0000,0.0000,0.2500,0.0581,0.4933,0.6722,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\0050\0050b730_AIBuild_BuildListGenerateAccount.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_00691860-00691860.c,text_only,text_low,,,,,,,,0
AIBuild_CanMineFitHere,Global,0x0050b9dc,0x0010b9dc,"int __cdecl AIBuild_CanMineFitHere(int param_1, tagBUILDINGTYPE * param_2, int param_3, int param_4, int * param_5, int * param_6)",FUN_00691dd0,0x00691dd0,0x00291dd0,undefined FUN_00691dd0(void),0.5319,0.0000,0.5319,medium,shared_strings;same_string_set,,466,593,AIBuild_CanMineFitHere Begins\n | AIBuild_CanMineFitHere Ends\n,,1.0000,0.0000,0.1154,0.1757,0.7858,0.7609,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\0050\0050b9dc_AIBuild_CanMineFitHere.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_00691dd0-00691dd0.c,text_only,text_medium,,,,,,,,0
AIBuild_FindNormalFacilityLocation,Global,0x0050bce4,0x0010bce4,"int __cdecl AIBuild_FindNormalFacilityLocation(tag_team * param_1, int param_2, int * param_3, int * param_4)",FUN_00692200,0x00692200,0x00292200,undefined FUN_00692200(void),0.5104,0.0000,0.5104,medium,shared_strings;same_string_set,,487,657,AIBuild_FindNormalFacilityLocation Begins\n | AIBuild_FindNormalFacilityLocation Ends\n,,1.0000,0.0000,0.0938,0.1308,0.7412,0.7705,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\0050\0050bce4_AIBuild_FindNormalFacilityLocation.c,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_00692200-00692200.c,text_only,text_medium,,,,,,,,0
