kind,symtype,name,segment,offset,rva
function,2,?getAsString@DataStream@Ogre@@UAE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZ,1,2147896,2151992
function,2,?isWriteable@DataStream@Ogre@@UBE_NXZ,1,2147866,2151962
function,2,?write@FileStreamDataStream@Ogre@@UAEIPBXI@Z,1,2147878,2151974
function,2,?read@FileStreamDataStream@Ogre@@UAEIPAXI@Z,1,2147872,2151968
function,2,?isReadable@DataStream@Ogre@@UBE_NXZ,1,2147860,2151956
function,2,??0bad_cast@std@@QAE@ABV01@@Z,1,2224080,2228176
function,2,??1bad_cast@std@@UAE@XZ,1,2224086,2228182
function,2,?_Facet_Register@std@@YAXPAV_Facet_base@1@@Z,1,2226545,2230641
function,2,??1InvalidParametersException@Ogre@@UAE@XZ,1,2147854,2151950
function,2,??0InvalidParametersException@Ogre@@QAE@ABV01@@Z,1,2147848,2151944
function,2,??1FileNotFoundException@Ogre@@UAE@XZ,1,2147842,2151938
function,2,??0FileNotFoundException@Ogre@@QAE@ABV01@@Z,1,2147836,2151932
function,2,??0Exception@Ogre@@QAE@ABV01@@Z,1,2147830,2151926
function,2,?isReadOnly@Archive@Ogre@@UBE_NXZ,1,2147824,2151920
function,2,?getRenderSystemData@Renderable@Ogre@@UBEPAVRenderSystemData@12@XZ,1,2148352,2152448
function,2,?setRenderSystemData@Renderable@Ogre@@UBEXPAVRenderSystemData@12@@Z,1,2148358,2152454
function,2,?getUserAny@Renderable@Ogre@@UBEABVAny@2@XZ,1,2148346,2152442
function,2,?getPolygonModeOverrideable@Renderable@Ogre@@UBE_NXZ,1,2148334,2152430
function,2,?setPolygonModeOverrideable@Renderable@Ogre@@UAEX_N@Z,1,2148328,2152424
function,2,?setUserAny@Renderable@Ogre@@UAEXABVAny@2@@Z,1,2148340,2152436
function,2,?_updateCustomGpuParameter@Renderable@Ogre@@UBEXABVAutoConstantEntry@GpuProgramParameters@2@PAV42@@Z,1,2148322,2152418
function,2,?getCastsShadows@Renderable@Ogre@@UBE_NXZ,1,2148316,2152412
function,2,?getNumWorldTransforms@Renderable@Ogre@@UBEGXZ,1,2148310,2152406
function,2,?getTechnique@Renderable@Ogre@@UBEPAVTechnique@2@XZ,1,2148304,2152400
function,2,?initialiseAnimableDictionary@AnimableObject@Ogre@@MBEXAAV?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$STLAllocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$CategorisedAllocPolicy@$0A@@Ogre@@@Ogre@@@std@@@Z,1,2148292,2152388
function,2,?createAnimableValue@AnimableObject@Ogre@@UAE?AV?$SharedPtr@VAnimableValue@Ogre@@@2@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,1,2148298,2152394
function,2,?isDebugDisplayEnabled@MovableObject@Ogre@@UBE_NXZ,1,2148280,2152376
function,2,?getAnimableDictionaryName@AnimableObject@Ogre@@MBEABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZ,1,2148286,2152382
function,2,?getTypeFlags@MovableObject@Ogre@@UBEIXZ,1,2148268,2152364
function,2,?_getLightList@MovableObject@Ogre@@UAEPAV?$HashedVector@PAVLight@Ogre@@@2@XZ,1,2148262,2152358
function,2,?setDebugDisplayEnabled@MovableObject@Ogre@@UAEX_N@Z,1,2148274,2152370
function,2,?getLightMask@MovableObject@Ogre@@UBEIXZ,1,2148250,2152346
function,2,?getListener@MovableObject@Ogre@@UBEPAVListener@12@XZ,1,2148244,2152340
function,2,?setLightMask@MovableObject@Ogre@@UAEXI@Z,1,2148256,2152352
function,2,?getVisibilityFlags@MovableObject@Ogre@@UBEIXZ,1,2148232,2152328
function,2,?setListener@MovableObject@Ogre@@UAEXPAVListener@12@@Z,1,2148238,2152334
function,2,?setVisibilityFlags@MovableObject@Ogre@@UAEXI@Z,1,2148214,2152310
function,2,?removeVisibilityFlags@MovableObject@Ogre@@UAEXI@Z,1,2148226,2152322
function,2,?addVisibilityFlags@MovableObject@Ogre@@UAEXI@Z,1,2148220,2152316
function,2,?removeQueryFlags@MovableObject@Ogre@@UAEXI@Z,1,2148202,2152298
function,2,?addQueryFlags@MovableObject@Ogre@@UAEXI@Z,1,2148196,2152292
function,2,?getQueryFlags@MovableObject@Ogre@@UBEIXZ,1,2148208,2152304
function,2,?setRenderQueueGroupAndPriority@MovableObject@Ogre@@UAEXEG@Z,1,2148184,2152280
function,2,?setRenderQueueGroup@MovableObject@Ogre@@UAEXE@Z,1,2148178,2152274
function,2,?setQueryFlags@MovableObject@Ogre@@UAEXI@Z,1,2148190,2152286
function,2,?getUserAny@MovableObject@Ogre@@UBEABVAny@2@XZ,1,2148172,2152268
function,2,?setUserAny@MovableObject@Ogre@@UAEXABVAny@2@@Z,1,2148166,2152262
function,2,?setRenderingMinPixelSize@MovableObject@Ogre@@UAEXM@Z,1,2148154,2152250
function,2,?getRenderingDistance@MovableObject@Ogre@@UBEMXZ,1,2148148,2152244
function,2,?getRenderingMinPixelSize@MovableObject@Ogre@@UBEMXZ,1,2148160,2152256
function,2,?isVisible@MovableObject@Ogre@@UBE_NXZ,1,2148136,2152232
function,2,?getVisible@MovableObject@Ogre@@UBE_NXZ,1,2148130,2152226
function,2,?setRenderingDistance@MovableObject@Ogre@@UAEXM@Z,1,2148142,2152238
function,2,?_notifyMoved@MovableObject@Ogre@@UAEXXZ,1,2148112,2152208
function,2,?isInScene@MovableObject@Ogre@@UBE_NXZ,1,2148106,2152202
function,2,?setVisible@MovableObject@Ogre@@UAEX_N@Z,1,2148124,2152220
function,2,?getWorldBoundingSphere@MovableObject@Ogre@@UBEABVSphere@2@_N@Z,1,2148118,2152214
function,2,?_notifyAttached@MovableObject@Ogre@@UAEXPAVNode@2@_N@Z,1,2148088,2152184
function,2,?isParentTagPoint@MovableObject@Ogre@@UBE_NXZ,1,2148082,2152178
function,2,?detachFromParent@MovableObject@Ogre@@UAEXXZ,1,2148100,2152196
function,2,?isAttached@MovableObject@Ogre@@UBE_NXZ,1,2148094,2152190
function,2,?_getManager@MovableObject@Ogre@@UBEPAVSceneManager@2@XZ,1,2148070,2152166
function,2,?_notifyManager@MovableObject@Ogre@@UAEXPAVSceneManager@2@@Z,1,2148064,2152160
function,2,?getParentNode@MovableObject@Ogre@@UBEPAVNode@2@XZ,1,2148076,2152172
function,2,?_notifyCreator@MovableObject@Ogre@@UAEXPAVMovableObjectFactory@2@@Z,1,2148052,2152148
function,2,?_getCreator@MovableObject@Ogre@@UBEPAVMovableObjectFactory@2@XZ,1,2148058,2152154
function,2,?updateEdgeListLightFacing@ShadowCaster@Ogre@@MAEXPAVEdgeData@2@ABVVector4@2@@Z,1,2148034,2152130
function,2,?getPointExtrusionDistance@MovableObject@Ogre@@UBEMPBVLight@2@@Z,1,2148028,2152124
function,2,?extrudeBounds@ShadowCaster@Ogre@@MBEXAAVAxisAlignedBox@2@ABVVector4@2@M@Z,1,2148046,2152142
function,2,?generateShadowVolume@ShadowCaster@Ogre@@MAEXPAVEdgeData@2@ABVHardwareIndexBufferSharedPtr@2@AAIPBVLight@2@AAV?$vector@PAVShadowRenderable@Ogre@@V?$STLAllocator@PAVShadowRenderable@Ogre@@V?$CategorisedAllocPolicy@$0A@@2@@2@@std@@K@Z,1,2148040,2152136
function,2,?getLightCapBounds@MovableObject@Ogre@@UBEABVAxisAlignedBox@2@XZ,1,2148010,2152106
function,2,?getWorldBoundingBox@MovableObject@Ogre@@UBEABVAxisAlignedBox@2@_N@Z,1,2148004,2152100
function,2,?getShadowVolumeRenderableIterator@MovableObject@Ogre@@UAE?AV?$VectorIterator@V?$vector@PAVShadowRenderable@Ogre@@V?$STLAllocator@PAVShadowRenderable@Ogre@@V?$CategorisedAllocPolicy@$0A@@2@@2@@std@@@2@W4ShadowTechnique@2@PBVLight@2@PAVHardwareIndexBufferSharedPtr@2@PAI_NMK@Z,1,2148022,2152118
function,2,?getDarkCapBounds@MovableObject@Ogre@@UBEABVAxisAlignedBox@2@ABVLight@2@M@Z,1,2148016,2152112
function,2,?getCastShadows@MovableObject@Ogre@@UBE_NXZ,1,2147986,2152082
function,2,?hasEdgeList@MovableObject@Ogre@@UAE_NXZ,1,2147998,2152094
function,2,?getEdgeList@MovableObject@Ogre@@UAEPAVEdgeData@2@XZ,1,2147992,2152088
function,2,?postRender@Renderable@Ogre@@UAEXPAVSceneManager@2@PAVRenderSystem@2@@Z,1,2147980,2152076
function,2,?preRender@Renderable@Ogre@@UAE_NPAVSceneManager@2@PAVRenderSystem@2@@Z,1,2147974,2152070
function,2,?getParentSceneNode@MovableObject@Ogre@@UBEPAVSceneNode@2@XZ,1,2147968,2152064
function,2,?queryLights@MovableObject@Ogre@@UBEABV?$HashedVector@PAVLight@Ogre@@@2@XZ,1,2147956,2152052
function,2,?_getParentNodeFullTransform@MovableObject@Ogre@@UBEABVMatrix4@2@XZ,1,2147962,2152058
function,2,?getRenderQueueGroup@MovableObject@Ogre@@UBEEXZ,1,2147950,2152046
function,2,?getName@MovableObject@Ogre@@UBEABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZ,1,2147944,2152040
function,2,?getDynamic@ManualObject@Ogre@@UBE_NXZ,1,2148610,2152706
function,2,?setDynamic@ManualObject@Ogre@@UAEX_N@Z,1,2148616,2152712
function,2,?resizeTempVertexBufferIfNeeded@ManualObject@Ogre@@MAEXI@Z,1,2148592,2152688
function,2,?resetTempAreas@ManualObject@Ogre@@MAEXXZ,1,2148586,2152682
function,2,?copyTempVertexToBuffer@ManualObject@Ogre@@MAEXXZ,1,2148604,2152700
function,2,?resizeTempIndexBufferIfNeeded@ManualObject@Ogre@@MAEXI@Z,1,2148598,2152694
function,2,?index@ManualObject@Ogre@@UAEXI@Z,1,2148568,2152664
function,2,?colour@ManualObject@Ogre@@UAEXMMMM@Z,1,2148562,2152658
function,2,?getCurrentIndexCount@ManualObject@Ogre@@UBEIXZ,1,2148580,2152676
function,2,?quad@ManualObject@Ogre@@UAEXIIII@Z,1,2148574,2152670
function,2,?textureCoord@ManualObject@Ogre@@UAEXMMMM@Z,1,2148544,2152640
function,2,?textureCoord@ManualObject@Ogre@@UAEXABVVector2@2@@Z,1,2148538,2152634
function,2,?textureCoord@ManualObject@Ogre@@UAEXM@Z,1,2148556,2152652
function,2,?textureCoord@ManualObject@Ogre@@UAEXMMM@Z,1,2148550,2152646
function,2,?tangent@ManualObject@Ogre@@UAEXABVVector3@2@@Z,1,2148520,2152616
function,2,?tangent@ManualObject@Ogre@@UAEXMMM@Z,1,2148514,2152610
function,2,?textureCoord@ManualObject@Ogre@@UAEXABVVector3@2@@Z,1,2148532,2152628
function,2,?textureCoord@ManualObject@Ogre@@UAEXABVVector4@2@@Z,1,2148526,2152622
function,2,?visitRenderables@ManualObject@Ogre@@UAEXPAVVisitor@Renderable@2@_N@Z,1,2148496,2152592
function,2,?estimateIndexCount@ManualObject@Ogre@@UAEXI@Z,1,2148508,2152604
function,2,?estimateVertexCount@ManualObject@Ogre@@UAEXI@Z,1,2148502,2152598
function,2,?getBoundingRadius@ManualObject@Ogre@@UBEMXZ,1,2148484,2152580
function,2,?_updateRenderQueue@ManualObject@Ogre@@UAEXPAVRenderQueue@2@@Z,1,2148490,2152586
function,2,?getBoundingBox@ManualObject@Ogre@@UBEABVAxisAlignedBox@2@XZ,1,2148478,2152574
function,2,?_notifyCurrentCamera@MovableObject@Ogre@@UAEXPAVCamera@2@@Z,1,2148472,2152568
function,2,?getMovableType@ManualObject@Ogre@@UBEABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZ,1,2148466,2152562
function,2,?getShadowVolumeRenderableIterator@ManualObject@Ogre@@UAE?AV?$VectorIterator@V?$vector@PAVShadowRenderable@Ogre@@V?$STLAllocator@PAVShadowRenderable@Ogre@@V?$CategorisedAllocPolicy@$0A@@2@@2@@std@@@2@W4ShadowTechnique@2@PBVLight@2@PAVHardwareIndexBufferSharedPtr@2@PAI_NMK@Z,1,2148460,2152556
function,2,?getEdgeList@ManualObject@Ogre@@UAEPAVEdgeData@2@XZ,1,2148448,2152544
function,2,?hasEdgeList@ManualObject@Ogre@@UAE_NXZ,1,2148454,2152550
function,2,?colour@ManualObject@Ogre@@UAEXABVColourValue@2@@Z,1,2148436,2152532
function,2,?getCurrentVertexCount@ManualObject@Ogre@@UBEIXZ,1,2148430,2152526
function,2,?convertToMesh@ManualObject@Ogre@@UAE?AV?$SharedPtr@VMesh@Ogre@@@2@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@0@Z,1,2148442,2152538
function,2,?normal@ManualObject@Ogre@@UAEXABVVector3@2@@Z,1,2148424,2152520
function,2,?beginUpdate@ManualObject@Ogre@@UAEXI@Z,1,2148412,2152508
function,2,?position@ManualObject@Ogre@@UAEXABVVector3@2@@Z,1,2148418,2152514
function,2,?clear@ManualObject@Ogre@@UAEXXZ,1,2148400,2152496
function,2,?setMaterialName@ManualObject@Ogre@@UAEXIABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@0@Z,1,2148406,2152502
function,2,?triangle@ManualObject@Ogre@@UAEXIII@Z,1,2148388,2152484
function,2,?textureCoord@ManualObject@Ogre@@UAEXMM@Z,1,2148382,2152478
function,2,?end@ManualObject@Ogre@@UAEPAVManualObjectSection@12@XZ,1,2148394,2152490
function,2,?begin@ManualObject@Ogre@@UAEXABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@W4OperationType@RenderOperation@2@0@Z,1,2148364,2152460
function,2,?normal@ManualObject@Ogre@@UAEXMMM@Z,1,2148376,2152472
function,2,?position@ManualObject@Ogre@@UAEXMMM@Z,1,2148370,2152466
function,2,?windowMoved@WindowEventListener@Ogre@@UAEXPAVRenderWindow@2@@Z,1,2148658,2152754
function,2,?windowResized@WindowEventListener@Ogre@@UAEXPAVRenderWindow@2@@Z,1,2148652,2152748
function,2,?windowClosing@WindowEventListener@Ogre@@UAE_NPAVRenderWindow@2@@Z,1,2148646,2152742
function,2,?windowClosed@WindowEventListener@Ogre@@UAEXPAVRenderWindow@2@@Z,1,2148640,2152736
function,2,?windowFocusChange@WindowEventListener@Ogre@@UAEXPAVRenderWindow@2@@Z,1,2148634,2152730
function,2,?frameEnded@FrameListener@Ogre@@UAE_NABUFrameEvent@2@@Z,1,2148628,2152724
function,2,?frameStarted@FrameListener@Ogre@@UAE_NABUFrameEvent@2@@Z,1,2148622,2152718
function,2,?_Incref@facet@locale@std@@UAEXXZ,1,2226586,2230682
function,2,?_Decref@facet@locale@std@@UAEPAV_Facet_base@3@XZ,1,2226592,2230688
function,2,_time,1,2225332,2229428
function,2,_TestVoice,1,23616,27712
function,2,_TestSFX,1,23312,27408
function,2,_CheckCDLooping,1,22944,27040
function,2,_StopMusic,1,22752,26848
function,2,_UnPauseMusic,1,22656,26752
function,2,_PauseMusic,1,22560,26656
function,2,_StartMusic,1,22128,26224
function,2,_SetMusicVolume,1,21840,25936
function,2,_DoAudioFixedLoc,1,21648,25744
function,2,_DoAudioNew,1,21552,25648
function,2,__CIfmod,1,2225058,2229154
function,2,__CxxThrowException@8,1,2225142,2229238
function,2,___CxxFrameHandler3,1,2225148,2229244
function,2,___RTDynamicCast,1,2230666,2234762
function,2,___libm_sse2_acosf,1,2230672,2234768
function,2,___libm_sse2_asinf,1,2230678,2234774
function,2,___libm_sse2_cosf,1,2230684,2234780
function,2,___libm_sse2_expf,1,2230690,2234786
function,2,___libm_sse2_logf,1,2230696,2234792
function,2,___libm_sse2_pow,1,2224870,2228966
function,2,___libm_sse2_powf,1,2230702,2234798
function,2,___libm_sse2_sinf,1,2230708,2234804
function,2,___libm_sse2_tanf,1,2230714,2234810
function,2,___vdecl_sinf4,1,2230720,2234816
function,2,__alldiv,1,2230736,2234832
function,2,__allmul,1,2230912,2235008
function,2,__alloca_probe_16,1,2230976,2235072
function,2,__allrem,1,2231024,2235120
function,2,__chkstk,1,2224800,2228896
function,2,__except_handler4,1,2225273,2229369
function,2,__ftol2_sse,1,2224880,2228976
function,2,__ftoui3,1,2231216,2235312
function,2,__ltod3,1,2232143,2236239
function,2,_ceil,1,2225136,2229232
function,2,_memcpy,1,2224850,2228946
function,2,_memset,1,2232190,2236286
function,2,_DeadMenDontUseCBs,1,24768,28864
function,2,_KillCBQueue,1,24640,28736
function,2,_QueueCB,1,23920,28016
function,2,??_GDirectSound_AudioInterface@@UAEPAXI@Z,1,25808,29904
