entry_rva,ghidra_name,ghidra_signature,pdb_name,pdb_segment,pdb_offset
66336,FUN_00410320,undefined FUN_00410320(void),?Apply@ChunkSimulateClass@@UAEXM@Z,1,62240
67008,FUN_004105c0,undefined FUN_004105c0(void),??3ColorRenderClass@@SAXPAX@Z,1,62912
67104,FUN_00410620,undefined FUN_00410620(void),??1ParticleRender@@UAE@XZ,1,63008
67152,FUN_00410650,undefined FUN_00410650(void),??0ColorRenderClass@@QAE@PBV0@PBD@Z,1,63056
67728,FUN_00410890,undefined FUN_00410890(void),??_EColorRenderClass@@UAEPAXI@Z,1,63632
67776,FUN_004108c0,undefined FUN_004108c0(void),??1TwirlRenderClass@@UAE@XZ,1,63680
67792,FUN_004108d0,undefined FUN_004108d0(void),?Build@ColorRenderClass@@UBEXPAUParticleRenderPointer@@PBUMAT_3D@@@Z,1,63696
67856,FUN_00410910,undefined FUN_00410910(void),?Derive@ColorRenderClass@@UBEPAVParticleRenderClass@@PBD@Z,1,63760
67984,FUN_00410990,undefined FUN_00410990(void),?Simulate@ColorRenderClass@@UAEXM@Z,1,63888
68080,FUN_004109f0,undefined FUN_004109f0(void),??3DustSimulateClass@@SAXPAX@Z,1,63984
68096,FUN_00410a00,undefined FUN_00410a00(void),??_EDustSimulateClass@@UAEPAXI@Z,1,64000
68144,FUN_00410a30,undefined FUN_00410a30(void),?Derive@DustSimulateClass@@UBEPAVParticleSimulateClass@@PBD@Z,1,64048
68288,FUN_00410ac0,undefined FUN_00410ac0(void),?Apply@DustSimulateClass@@UAEXM@Z,1,64192
68768,FUN_00410ca0,undefined FUN_00410ca0(void),??3EmberSimulateClass@@SAXPAX@Z,1,64672
68784,FUN_00410cb0,undefined FUN_00410cb0(void),??_EEmberSimulateClass@@UAEPAXI@Z,1,64688
68832,FUN_00410ce0,undefined FUN_00410ce0(void),?Derive@EmberSimulateClass@@UBEPAVParticleSimulateClass@@PBD@Z,1,64736
68976,FUN_00410d70,undefined FUN_00410d70(void),?Apply@EmberSimulateClass@@UAEXM@Z,1,64880
69552,FUN_00410fb0,undefined FUN_00410fb0(void),??3EmitRenderClass@@SAXPAX@Z,1,65456
69568,FUN_00410fc0,undefined FUN_00410fc0(void),?isCaseSensitive@Ogre76Archive@@UBE_NXZ,1,65472
69584,FUN_00410fd0,undefined FUN_00410fd0(void),??0EmitRender@@QAE@PBVEmitRenderClass@@PAUParticleRenderPointer@@PBUMAT_3D@@@Z,1,65488
69728,FUN_00411060,undefined FUN_00411060(void),??_EEmitRender@@UAEPAXI@Z,1,65632
69808,FUN_004110b0,undefined FUN_004110b0(void),??0EmitRenderClass@@QAE@PBV0@PBD@Z,1,65712
70480,FUN_00411350,undefined FUN_00411350(void),??_EEmitRenderClass@@UAEPAXI@Z,1,66384
70528,FUN_00411380,undefined FUN_00411380(void),?Build@EmitRenderClass@@UBEXPAUParticleRenderPointer@@PBUMAT_3D@@@Z,1,66432
70592,FUN_004113c0,undefined FUN_004113c0(void),?Derive@EmitRenderClass@@UBEPAVParticleRenderClass@@PBD@Z,1,66496
70720,FUN_00411440,undefined FUN_00411440(void),?Simulate@EmitRenderClass@@UAEXM@Z,1,66624
72400,FUN_00411ad0,undefined FUN_00411ad0(void),?SetLOD@EmitRenderClass@@UAEXH@Z,1,68304
72448,FUN_00411b00,undefined FUN_00411b00(void),_InitForceFeedback,1,68352
72608,FUN_00411ba0,undefined FUN_00411ba0(void),_IForceInit,1,68512
73376,FUN_00411ea0,undefined FUN_00411ea0(void),??3LightRender@@SAXPAX@Z,1,69280
73392,FUN_00411eb0,undefined FUN_00411eb0(void),??3LightRenderClass@@SAXPAX@Z,1,69296
73408,FUN_00411ec0,undefined FUN_00411ec0(void),??0LightRender@@QAE@PBVLightRenderClass@@PAUParticleRenderPointer@@PBUMAT_3D@@@Z,1,69312
73936,FUN_004120d0,undefined FUN_004120d0(void),??_ELightRender@@UAEPAXI@Z,1,69840
74096,FUN_00412170,undefined FUN_00412170(void),?Simulate@LightRenderClass@@UAEXM@Z,1,70000
74736,FUN_004123f0,undefined FUN_004123f0(void),??$destroy@PAU?$_List_node@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@PAX@std@@@?$_Wrap_alloc@V?$allocator@U?$_List_node@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@PAX@std@@@std@@@std@@QAEXPAPAU?$_List_node@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@PAX@1@@Z,1,70640
75216,FUN_004125d0,undefined FUN_004125d0(void),??_ELightRenderClass@@UAEPAXI@Z,1,71120
75264,FUN_00412600,undefined FUN_00412600(void),?Build@LightRenderClass@@UBEXPAUParticleRenderPointer@@PBUMAT_3D@@@Z,1,71168
75376,FUN_00412670,undefined FUN_00412670(void),?Derive@LightRenderClass@@UBEPAVParticleRenderClass@@PBD@Z,1,71280
75504,FUN_004126f0,undefined FUN_004126f0(void),??3MultiRender@@SAXPAX@Z,1,71408
75520,FUN_00412700,undefined FUN_00412700(void),??3MultiRenderClass@@SAXPAX@Z,1,71424
75536,FUN_00412710,undefined FUN_00412710(void),??0MultiRender@@QAE@PBVMultiRenderClass@@PAUParticleRenderPointer@@PBUMAT_3D@@@Z,1,71440
75888,FUN_00412870,undefined FUN_00412870(void),??_EMultiRender@@UAEPAXI@Z,1,71792
75936,FUN_004128a0,undefined FUN_004128a0(void),??1MultiRender@@UAE@XZ,1,71840
76112,FUN_00412950,undefined FUN_00412950(void),?Change@MultiRender@@UAEXPAUParticleRenderPointer@@PBUMAT_3D@@@Z,1,72016
76256,FUN_004129e0,undefined FUN_004129e0(void),?Detach@MultiRender@@UAEXPBUMAT_3D@@M@Z,1,72160
76352,FUN_00412a40,undefined FUN_00412a40(void),??0MultiRenderClass@@QAE@PBV0@PBD@Z,1,72256
76864,FUN_00412c40,undefined FUN_00412c40(void),??_EMultiRenderClass@@UAEPAXI@Z,1,72768
76928,FUN_00412c80,undefined FUN_00412c80(void),?Build@MultiRenderClass@@UBEXPAUParticleRenderPointer@@PBUMAT_3D@@@Z,1,72832
77040,FUN_00412cf0,undefined FUN_00412cf0(void),?Derive@MultiRenderClass@@UBEPAVParticleRenderClass@@PBD@Z,1,72944
77168,FUN_00412d70,undefined FUN_00412d70(void),??$sprintf_s@$0EA@@@YAHAAY0EA@DPBDZZ,1,73072
77200,FUN_00412d90,undefined FUN_00412d90(void),??0ParticleRenderPointer@@QAE@XZ,1,73104
77216,FUN_00412da0,undefined FUN_00412da0(void),??1ParticleRenderPointer@@QAE@XZ,1,73120
77248,FUN_00412dc0,undefined FUN_00412dc0(void),??0ParticleRender@@QAE@PBVParticleRenderClass@@PAUParticleRenderPointer@@PBUMAT_3D@@@Z,1,73152
77408,FUN_00412e60,undefined FUN_00412e60(void),??_EParticleRender@@UAEPAXI@Z,1,73312
77488,FUN_00412eb0,undefined FUN_00412eb0(void),?Change@ParticleRender@@UAEXPAUParticleRenderPointer@@PBUMAT_3D@@@Z,1,73392
77584,FUN_00412f10,undefined FUN_00412f10(void),?Detach@ParticleRender@@UAEXPBUMAT_3D@@M@Z,1,73488
77616,FUN_00412f30,undefined FUN_00412f30(void),??0ParticleRenderClass@@QAE@PBV0@PBD@Z,1,73520
78208,FUN_00413180,undefined FUN_00413180(void),??_EParticleRenderClass@@UAEPAXI@Z,1,74112
78256,FUN_004131b0,undefined FUN_004131b0(void),??1ParticleRenderClass@@UAE@XZ,1,74160
78384,FUN_00413230,undefined FUN_00413230(void),?Derive@ParticleRenderClass@@UBEPAV1@PBD@Z,1,74288
78512,FUN_004132b0,undefined FUN_004132b0(void),?Simulate@ParticleRenderClass@@UAEXM@Z,1,74416
78576,FUN_004132f0,undefined FUN_004132f0(void),?Add@ParticleRenderClass@@QAEXPAVParticleRender@@@Z,1,74480
78672,FUN_00413350,undefined FUN_00413350(void),?Del@ParticleRenderClass@@QAEXPAVParticleRender@@@Z,1,74576
78784,FUN_004133c0,undefined FUN_004133c0(void),?Find@ParticleRenderClass@@SAPBV1@PBD@Z,1,74688
79328,FUN_004135e0,undefined FUN_004135e0(void),?Cleanup@ParticleRenderClass@@SAXXZ,1,75232
79424,FUN_00413640,undefined FUN_00413640(void),?Clear@?$PblList@VParticle@@@@QAEXXZ,1,75328
79488,FUN_00413680,undefined FUN_00413680(void),?erase@?$_Hash@V?$_Hmap_traits@KPBVParticleRenderClass@@V?$hash_compare@KU?$less@K@std@@@stdext@@V?$allocator@U?$pair@$$CBKPBVParticleRenderClass@@@std@@@std@@$0A@@stdext@@@std@@QAE?AV?$_List_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBKPBVParticleRenderClass@@@std@@@std@@@std@@@2@V?$_List_const_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBKPBVParticleRenderClass@@@std@@@std@@@std@@@2@@Z,1,75392
79680,FUN_00413740,undefined FUN_00413740(void),??0?$_Hash@V?$_Hmap_traits@IPBDV?$hash_compare@IU?$less@I@std@@@stdext@@V?$allocator@U?$pair@$$CBIPBD@std@@@std@@$0A@@stdext@@@std@@QAE@ABV?$hash_compare@IU?$less@I@std@@@stdext@@ABV?$allocator@U?$pair@$$CBIPBD@std@@@1@@Z,1,75584
79856,FUN_004137f0,undefined FUN_004137f0(void),?lower_bound@?$_Hash@V?$_Hmap_traits@IV?$hash_map@IPBDV?$hash_compare@IU?$less@I@std@@@stdext@@V?$allocator@U?$pair@$$CBIPBD@std@@@std@@@stdext@@V?$hash_compare@IU?$less@I@std@@@2@V?$allocator@U?$pair@$$CBIV?$hash_map@IPBDV?$hash_compare@IU?$less@I@std@@@stdext@@V?$allocator@U?$pair@$$CBIPBD@std@@@std@@@stdext@@@std@@@std@@$0A@@stdext@@@std@@QBE?AV?$_List_const_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBIV?$hash_map@IPBDV?$hash_compare@IU?$less@I@std@@@stdext@@V?$allocator@U?$pair@$$CBIPBD@std@@@std@@@stdext@@@std@@@std@@@std@@@2@ABI@Z,1,75760
80032,FUN_004138a0,undefined FUN_004138a0(void),??1?$list@U?$pair@$$CBIUAtlasRect@cRenderableTileClusterManager@@@std@@V?$allocator@U?$pair@$$CBIUAtlasRect@cRenderableTileClusterManager@@@std@@@2@@std@@QAE@XZ,1,75936
80096,FUN_004138e0,undefined FUN_004138e0(void),??1?$vector@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@@std@@@std@@@std@@U?$_Wrap_alloc@V?$allocator@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@@std@@@std@@@std@@@std@@@2@@std@@QAE@XZ,1,76000
80624,FUN_00413af0,undefined FUN_00413af0(void),?_Buynode0@?$_List_alloc@$0A@U?$_List_base_types@U?$pair@PAVcLobbyListener@@I@std@@V?$allocator@U?$pair@PAVcLobbyListener@@I@std@@@2@@std@@@std@@QAEPAU?$_List_node@U?$pair@PAVcLobbyListener@@I@std@@PAX@2@PAU32@0@Z,1,76528
80688,FUN_00413b30,undefined FUN_00413b30(void),?_Grow_to@?$vector@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@@std@@@std@@@std@@U?$_Wrap_alloc@V?$allocator@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@@std@@@std@@@std@@@std@@@2@@std@@IBEII@Z,1,76592
80752,FUN_00413b70,undefined FUN_00413b70(void),??$insert@U?$pair@KPAVParticleRenderClass@@@std@@@?$_Hash@V?$_Hmap_traits@KPBVParticleRenderClass@@V?$hash_compare@KU?$less@K@std@@@stdext@@V?$allocator@U?$pair@$$CBKPBVParticleRenderClass@@@std@@@std@@$0A@@stdext@@@std@@QAE?AU?$pair@V?$_List_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBKPBVParticleRenderClass@@@std@@@std@@@std@@@std@@_N@1@$$QAU?$pair@KPAVParticleRenderClass@@@1@@Z,1,76656
80864,FUN_00413be0,undefined FUN_00413be0(void),??$fill@PAV?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@@std@@@std@@@std@@V12@@std@@YAXPAV?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@@std@@@std@@@0@0ABV10@@Z,1,76768
80928,FUN_00413c20,undefined FUN_00413c20(void),??$_Insert@AAU?$pair@$$CBIPAUFileData@ParameterDB@@@std@@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBIPAUFileData@ParameterDB@@@std@@@std@@@std@@@2@@?$_Hash@V?$_Hmap_traits@IPAUFileData@ParameterDB@@V?$hash_compare@IU?$less@I@std@@@stdext@@V?$allocator@U?$pair@$$CBIPAUFileData@ParameterDB@@@std@@@std@@$0A@@stdext@@@std@@IAE?AU?$pair@V?$_List_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBIPAUFileData@ParameterDB@@@std@@@std@@@std@@@std@@_N@1@AAU?$pair@$$CBIPAUFileData@ParameterDB@@@1@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBIPAUFileData@ParameterDB@@@std@@@std@@@std@@@1@@Z,1,76832
