entry_va,entry_rva,name,legacy_name,pdb_advisory_name,name_source,legacy_namespace,confidence,score,margin,methods,signature,legacy_signature,legacy_entry_rva,shared_strings,redux_decomp,legacy_decomp
4199760,5456,FUN_00401550,,,,,,,,,undefined FUN_00401550(void),,,,,
4199776,5472,FUN_00401560,,,,,,,,,undefined FUN_00401560(void),,,,,
4199792,5488,FUN_00401570,,,,,,,,,undefined FUN_00401570(void),,,,,
4199808,5504,FUN_00401580,,,,,,,,,undefined FUN_00401580(void),,,,,
4199824,5520,FUN_00401590,,,,,,,,,undefined FUN_00401590(void),,,,,
4199840,5536,FUN_004015a0,,,,,,,,,undefined FUN_004015a0(void),,,,,
4199872,5568,FUN_004015c0,,,,,,,,,undefined FUN_004015c0(void),,,,,
4199888,5584,FUN_004015d0,,,,,,,,,undefined FUN_004015d0(void),,,,,
4199904,5600,FUN_004015e0,,,,,,,,,undefined FUN_004015e0(void),,,,,
4199920,5616,FUN_004015f0,,,,,,,,,undefined FUN_004015f0(void),,,,,
4199936,5632,FUN_00401600,,,,,,,,,undefined FUN_00401600(void),,,,,
4199952,5648,FUN_00401610,,,,,,,,,undefined FUN_00401610(void),,,,,
4199968,5664,FUN_00401620,,,,,,,,,undefined FUN_00401620(void),,,,,
4199984,5680,FUN_00401630,,,,,,,,,undefined FUN_00401630(void),,,,,
4200000,5696,FUN_00401640,,,,,,,,,undefined FUN_00401640(void),,,,,
4200016,5712,FUN_00401650,,,,,,,,,undefined FUN_00401650(void),,,,,
4200032,5728,FUN_00401660,,,,,,,,,undefined FUN_00401660(void),,,,,
4200048,5744,FUN_00401670,,,,,,,,,undefined FUN_00401670(void),,,,,
4200064,5760,FUN_00401680,`dynamic_initializer_for_'gameCursor'',,legacy_transfer,Global,medium,0.5887,0.5887,shared_strings;same_string_set;similar_body_size;same_parameter_count,undefined FUN_00401680(void),void __cdecl `dynamic_initializer_for_'gameCursor''(void),0x001cc5ef,cursor1.cur,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_00401680-00401680.c,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\005c\005cc5ef_dynamic_initializer_for__gameCursor.c
4200096,5792,FUN_004016a0,`dynamic_initializer_for_'waitCursor'',,legacy_transfer,Global,medium,0.5889,0.5889,shared_strings;same_string_set;similar_body_size;same_parameter_count,undefined FUN_004016a0(void),void __cdecl `dynamic_initializer_for_'waitCursor''(void),0x001cc60e,cursor_w.cur,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_004016a0-004016a0.c,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\005c\005cc60e_dynamic_initializer_for__waitCursor.c
4200128,5824,FUN_004016c0,`dynamic_initializer_for_'editCursor'',,legacy_transfer,Global,medium,0.5889,0.5889,shared_strings;same_string_set;similar_body_size;same_parameter_count,undefined FUN_004016c0(void),void __cdecl `dynamic_initializer_for_'editCursor''(void),0x001cc62d,cursor_i.cur,reverse_engineering\workshop\global_decompile\bzr_gog_best_effort\ghidrecomp\results\bins\battlezone98redux.exe-6777ca\decomps\FUN_004016c0-004016c0.c,reverse_engineering\decompilation_from_1.5_exe-pdb\clean_pdb_c\functions\005c\005cc62d_dynamic_initializer_for__editCursor.c
4200160,5856,FUN_004016e0,,,,,,,,,undefined FUN_004016e0(void),,,,,
4200176,5872,FUN_004016f0,,,,,,,,,undefined FUN_004016f0(void),,,,,
4200192,5888,FUN_00401700,,,,,,,,,undefined FUN_00401700(void),,,,,
4200208,5904,FUN_00401710,,,,,,,,,undefined FUN_00401710(void),,,,,
4200224,5920,FUN_00401720,,,,,,,,,undefined FUN_00401720(void),,,,,
4200240,5936,FUN_00401730,,,,,,,,,undefined FUN_00401730(void),,,,,
4200272,5968,FUN_00401750,,,,,,,,,undefined FUN_00401750(void),,,,,
4200288,5984,FUN_00401760,,,,,,,,,undefined FUN_00401760(void),,,,,
4200304,6000,FUN_00401770,,,,,,,,,undefined FUN_00401770(void),,,,,
4200320,6016,FUN_00401780,,,,,,,,,undefined FUN_00401780(void),,,,,
4200336,6032,FUN_00401790,,,,,,,,,undefined FUN_00401790(void),,,,,
4200368,6064,FUN_004017b0,,,,,,,,,undefined FUN_004017b0(void),,,,,
4200384,6080,FUN_004017c0,,,,,,,,,undefined FUN_004017c0(void),,,,,
4200400,6096,FUN_004017d0,,,,,,,,,undefined FUN_004017d0(void),,,,,
4200416,6112,FUN_004017e0,,,,,,,,,undefined FUN_004017e0(void),,,,,
4200432,6128,FUN_004017f0,,,,,,,,,undefined FUN_004017f0(void),,,,,
4200448,6144,FUN_00401800,,,,,,,,,undefined FUN_00401800(void),,,,,
4200464,6160,FUN_00401810,,,,,,,,,undefined FUN_00401810(void),,,,,
4200480,6176,FUN_00401820,,,,,,,,,undefined FUN_00401820(void),,,,,
4200496,6192,FUN_00401830,,,,,,,,,undefined FUN_00401830(void),,,,,
4200512,6208,FUN_00401840,,,,,,,,,undefined FUN_00401840(void),,,,,
4200528,6224,FUN_00401850,,,,,,,,,undefined FUN_00401850(void),,,,,
4200544,6240,FUN_00401860,,,,,,,,,undefined FUN_00401860(void),,,,,
4200560,6256,FUN_00401870,,,,,,,,,undefined FUN_00401870(void),,,,,
4200576,6272,FUN_00401880,,,,,,,,,undefined FUN_00401880(void),,,,,
4200592,6288,FUN_00401890,,,,,,,,,undefined FUN_00401890(void),,,,,
4200608,6304,FUN_004018a0,,,,,,,,,undefined FUN_004018a0(void),,,,,
4200624,6320,FUN_004018b0,,,,,,,,,undefined FUN_004018b0(void),,,,,
4200640,6336,FUN_004018c0,,,,,,,,,undefined FUN_004018c0(void),,,,,
4200656,6352,FUN_004018d0,,,,,,,,,undefined FUN_004018d0(void),,,,,
4200672,6368,FUN_004018e0,,,,,,,,,undefined FUN_004018e0(void),,,,,
4200688,6384,FUN_004018f0,,,,,,,,,undefined FUN_004018f0(void),,,,,
4200704,6400,FUN_00401900,,,,,,,,,undefined FUN_00401900(void),,,,,
4200720,6416,FUN_00401910,,,,,,,,,undefined FUN_00401910(void),,,,,
4200752,6448,FUN_00401930,,,,,,,,,undefined FUN_00401930(void),,,,,
4200768,6464,FUN_00401940,,,,,,,,,undefined FUN_00401940(void),,,,,
4200784,6480,FUN_00401950,,,,,,,,,undefined FUN_00401950(void),,,,,
4200800,6496,FUN_00401960,,,,,,,,,undefined FUN_00401960(void),,,,,
4200816,6512,FUN_00401970,,,,,,,,,undefined FUN_00401970(void),,,,,
4200832,6528,FUN_00401980,,,,,,,,,undefined FUN_00401980(void),,,,,
4200848,6544,FUN_00401990,,,,,,,,,undefined FUN_00401990(void),,,,,
4200864,6560,FUN_004019a0,,,,,,,,,undefined FUN_004019a0(void),,,,,
4200880,6576,FUN_004019b0,,,,,,,,,undefined FUN_004019b0(void),,,,,
4200896,6592,FUN_004019c0,,,,,,,,,undefined FUN_004019c0(void),,,,,
4200912,6608,FUN_004019d0,,,,,,,,,undefined FUN_004019d0(void),,,,,
4200928,6624,FUN_004019e0,,,,,,,,,undefined FUN_004019e0(void),,,,,
4200944,6640,FUN_004019f0,,,,,,,,,undefined FUN_004019f0(void),,,,,
4200960,6656,FUN_00401a00,,,,,,,,,undefined FUN_00401a00(void),,,,,
4200976,6672,FUN_00401a10,,,,,,,,,undefined FUN_00401a10(void),,,,,
4200992,6688,FUN_00401a20,,,,,,,,,undefined FUN_00401a20(void),,,,,
4201008,6704,FUN_00401a30,,,,,,,,,undefined FUN_00401a30(void),,,,,
4201040,6736,FUN_00401a50,,,,,,,,,undefined FUN_00401a50(void),,,,,
4201056,6752,FUN_00401a60,,,,,,,,,undefined FUN_00401a60(void),,,,,
4201072,6768,FUN_00401a70,,,,,,,,,undefined FUN_00401a70(void),,,,,
4201088,6784,FUN_00401a80,,,,,,,,,undefined FUN_00401a80(void),,,,,
4201104,6800,FUN_00401a90,,,,,,,,,undefined FUN_00401a90(void),,,,,
4201120,6816,FUN_00401aa0,,,,,,,,,undefined FUN_00401aa0(void),,,,,
4201136,6832,FUN_00401ab0,,,,,,,,,undefined FUN_00401ab0(void),,,,,
4201152,6848,FUN_00401ac0,,,,,,,,,undefined FUN_00401ac0(void),,,,,
4201168,6864,FUN_00401ad0,,,,,,,,,undefined FUN_00401ad0(void),,,,,
4201184,6880,FUN_00401ae0,,,,,,,,,undefined FUN_00401ae0(void),,,,,
4201200,6896,FUN_00401af0,,,,,,,,,undefined FUN_00401af0(void),,,,,
4201216,6912,FUN_00401b00,,,,,,,,,undefined FUN_00401b00(void),,,,,
4201232,6928,FUN_00401b10,,,,,,,,,undefined FUN_00401b10(void),,,,,
4201280,6976,FUN_00401b40,,,,,,,,,undefined FUN_00401b40(void),,,,,
4201328,7024,FUN_00401b70,,,,,,,,,undefined FUN_00401b70(void),,,,,
4201376,7072,FUN_00401ba0,,,,,,,,,undefined FUN_00401ba0(void),,,,,
4201392,7088,FUN_00401bb0,,,,,,,,,undefined FUN_00401bb0(void),,,,,
4201408,7104,FUN_00401bc0,,,,,,,,,undefined FUN_00401bc0(void),,,,,
4201424,7120,FUN_00401bd0,,,,,,,,,undefined FUN_00401bd0(void),,,,,
4201440,7136,FUN_00401be0,,,,,,,,,undefined FUN_00401be0(void),,,,,
4201488,7184,FUN_00401c10,,,,,,,,,undefined FUN_00401c10(void),,,,,
4201536,7232,FUN_00401c40,,,,,,,,,undefined FUN_00401c40(void),,,,,
4201552,7248,FUN_00401c50,,,,,,,,,undefined FUN_00401c50(void),,,,,
4201568,7264,FUN_00401c60,,,,,,,,,undefined FUN_00401c60(void),,,,,
4201584,7280,FUN_00401c70,,,,,,,,,undefined FUN_00401c70(void),,,,,
4201600,7296,FUN_00401c80,,,,,,,,,undefined FUN_00401c80(void),,,,,
4201632,7328,FUN_00401ca0,,,,,,,,,undefined FUN_00401ca0(void),,,,,
4201648,7344,FUN_00401cb0,,,,,,,,,undefined FUN_00401cb0(void),,,,,
4201664,7360,FUN_00401cc0,,,,,,,,,undefined FUN_00401cc0(void),,,,,
4201680,7376,FUN_00401cd0,,,,,,,,,undefined FUN_00401cd0(void),,,,,
4201696,7392,FUN_00401ce0,,,,,,,,,undefined FUN_00401ce0(void),,,,,
4201712,7408,FUN_00401cf0,,,,,,,,,undefined FUN_00401cf0(void),,,,,
4201728,7424,FUN_00401d00,,,,,,,,,undefined FUN_00401d00(void),,,,,
4201744,7440,FUN_00401d10,,,,,,,,,undefined FUN_00401d10(void),,,,,
4201760,7456,FUN_00401d20,,,,,,,,,undefined FUN_00401d20(void),,,,,
4201776,7472,FUN_00401d30,,,,,,,,,undefined FUN_00401d30(void),,,,,
4201792,7488,FUN_00401d40,,,,,,,,,undefined FUN_00401d40(void),,,,,
4201808,7504,FUN_00401d50,,,,,,,,,undefined FUN_00401d50(void),,,,,
4201824,7520,FUN_00401d60,,,,,,,,,undefined FUN_00401d60(void),,,,,
4201872,7568,FUN_00401d90,,,,,,,,,undefined FUN_00401d90(void),,,,,
4201920,7616,FUN_00401dc0,,,,,,,,,undefined FUN_00401dc0(void),,,,,
4201936,7632,FUN_00401dd0,,,,,,,,,undefined FUN_00401dd0(void),,,,,
4201952,7648,FUN_00401de0,,,,,,,,,undefined FUN_00401de0(void),,,,,
4201968,7664,FUN_00401df0,,,,,,,,,undefined FUN_00401df0(void),,,,,
4201984,7680,FUN_00401e00,,,,,,,,,undefined FUN_00401e00(void),,,,,
4202032,7728,FUN_00401e30,,,,,,,,,undefined FUN_00401e30(void),,,,,
4202080,7776,FUN_00401e60,,,,,,,,,undefined FUN_00401e60(void),,,,,
4202096,7792,FUN_00401e70,,,,,,,,,undefined FUN_00401e70(void),,,,,
4202112,7808,FUN_00401e80,,,,,,,,,undefined FUN_00401e80(void),,,,,
4202128,7824,FUN_00401e90,,,,,,,,,undefined FUN_00401e90(void),,,,,
4202144,7840,FUN_00401ea0,,,,,,,,,undefined FUN_00401ea0(void),,,,,
4202192,7888,FUN_00401ed0,,,,,,,,,undefined FUN_00401ed0(void),,,,,
4202240,7936,FUN_00401f00,,,,,,,,,undefined FUN_00401f00(void),,,,,
4202256,7952,FUN_00401f10,,,,,,,,,undefined FUN_00401f10(void),,,,,
4202272,7968,FUN_00401f20,,,,,,,,,undefined FUN_00401f20(void),,,,,
4202288,7984,FUN_00401f30,,,,,,,,,undefined FUN_00401f30(void),,,,,
4202304,8000,FUN_00401f40,,,,,,,,,undefined FUN_00401f40(void),,,,,
4202352,8048,FUN_00401f70,,,,,,,,,undefined FUN_00401f70(void),,,,,
4202400,8096,FUN_00401fa0,,,,,,,,,undefined FUN_00401fa0(void),,,,,
4202448,8144,FUN_00401fd0,,,,,,,,,undefined FUN_00401fd0(void),,,,,
4202464,8160,FUN_00401fe0,,,,,,,,,undefined FUN_00401fe0(void),,,,,
4202480,8176,FUN_00401ff0,,,,,,,,,undefined FUN_00401ff0(void),,,,,
4202496,8192,FUN_00402000,,,,,,,,,undefined FUN_00402000(void),,,,,
4202512,8208,FUN_00402010,,,,,,,,,undefined FUN_00402010(void),,,,,
4202544,8240,FUN_00402030,,,,,,,,,undefined FUN_00402030(void),,,,,
4202560,8256,FUN_00402040,,,,,,,,,undefined FUN_00402040(void),,,,,
4202576,8272,FUN_00402050,,,,,,,,,undefined FUN_00402050(void),,,,,
4202592,8288,FUN_00402060,,,,,,,,,undefined FUN_00402060(void),,,,,
4202608,8304,FUN_00402070,,,,,,,,,undefined FUN_00402070(void),,,,,
4202624,8320,FUN_00402080,,,,,,,,,undefined FUN_00402080(void),,,,,
4202640,8336,FUN_00402090,,,,,,,,,undefined FUN_00402090(void),,,,,
4202656,8352,FUN_004020a0,,,,,,,,,undefined FUN_004020a0(void),,,,,
4202672,8368,FUN_004020b0,,,,,,,,,undefined FUN_004020b0(void),,,,,
4202688,8384,FUN_004020c0,,,,,,,,,undefined FUN_004020c0(void),,,,,
