entry	name	parent_namespace	signature	source	body_size	status
0040e064	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Const_iterator<1>::operator++	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Const_iterator<1>	_Const_iterator<1> operator++(_Const_iterator<1> * this, int param_1)	IMPORTED	417	ok
0040e07e	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::_Const_iterator<1>::operator++	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::_Const_iterator<1>	_Const_iterator<1> * operator++(_Const_iterator<1> * this)	IMPORTED	607	ok
0040e0b3	std::_Iterator_with_base<std::bidirectional_iterator_tag,AttackGroup_*,int,AttackGroup_*_const_*,AttackGroup_*_const_&,std::_Iterator_base_aux>::_Iterator_with_base<std::bidirectional_iterator_tag,AttackGroup_*,int,AttackGroup_*_const_*,AttackGroup_*_const_&,std::_Iterator_base_aux>	std::_Iterator_with_base<std::bidirectional_iterator_tag,AttackGroup_*,int,AttackGroup_*_const_*,AttackGroup_*_const_&,std::_Iterator_base_aux>	_Iterator_with_base<std::bidirectional_iterator_tag,AttackGroup_*,int,AttackGroup_*_const_*,AttackGroup_*_const_&,std::_Iterator_base_aux> * _Iterator_with_base<std::bidirectional_iterator_tag,AttackGroup_*,int,AttackGroup_*_const_*,AttackGroup_*_const_&,std::_Iterator_base_aux>(_Iterator_with_base<std::bidirectional_iterator_tag,AttackGroup_*,int,AttackGroup_*_const_*,AttackGroup_*_const_&,std::_Iterator_base_aux> * this)	IMPORTED	812	ok
0040e0b9	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::max_size	std::list<AttackerInfo,std::allocator<AttackerInfo>_>	uint max_size(list<AttackerInfo,std::allocator<AttackerInfo>_> * this)	IMPORTED	184	ok
0040e0bf	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::max_size	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>	uint max_size(list<AttackGroup_*,std::allocator<AttackGroup_*>_> * this)	IMPORTED	188	ok
0040e0c5	std::_Allocate<std::_List_nod<AttackerInfo,std::allocator<AttackerInfo>_>::_Node>	std	_Node * _Allocate<std::_List_nod<AttackerInfo,std::allocator<AttackerInfo>_>::_Node>(uint param_1, _Node * param_2)	IMPORTED	597	ok
0040e102	std::_Construct<std::_List_nod<AttackerInfo,std::allocator<AttackerInfo>_>::_Node_*,std::_List_nod<AttackerInfo,std::allocator<AttackerInfo>_>::_Node_*>	std	void _Construct<std::_List_nod<AttackerInfo,std::allocator<AttackerInfo>_>::_Node_*,std::_List_nod<AttackerInfo,std::allocator<AttackerInfo>_>::_Node_*>(_Node * * param_1, _Node * * param_2)	IMPORTED	304	ok
0040e113	std::_Allocate<std::_List_nod<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Node>	std	_Node * _Allocate<std::_List_nod<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Node>(uint param_1, _Node * param_2)	IMPORTED	599	ok
0040e150	std::_Construct<std::_List_nod<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Node_*,std::_List_nod<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Node_*>	std	void _Construct<std::_List_nod<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Node_*,std::_List_nod<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Node_*>(_Node * * param_1, _Node * * param_2)	IMPORTED	308	ok
0040e161	std::_Construct<AttackerInfo,AttackerInfo>	std	void _Construct<AttackerInfo,AttackerInfo>(AttackerInfo * param_1, AttackerInfo * param_2)	IMPORTED	263	ok
0040e178	std::_Construct<AttackGroup_*,AttackGroup_*>	std	void _Construct<AttackGroup_*,AttackGroup_*>(AttackGroup * * param_1, AttackGroup * * param_2)	IMPORTED	200	ok
0040e189	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Iterator<1>::operator*	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Iterator<1>	AttackGroup * * operator*(_Iterator<1> * this)	IMPORTED	578	ok
0040e18e	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Const_iterator<1>::operator!=	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Const_iterator<1>	bool operator!=(_Const_iterator<1> * this, _Const_iterator<1> * param_1)	IMPORTED	258	ok
0040e1a3	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::_Iterator<1>::operator*	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::_Iterator<1>	AttackerInfo * operator*(_Iterator<1> * this)	IMPORTED	576	ok
0040e1a8	std::_List_nod<AttackerInfo,std::allocator<AttackerInfo>_>::~_List_nod<AttackerInfo,std::allocator<AttackerInfo>_>	std::_List_nod<AttackerInfo,std::allocator<AttackerInfo>_>	void ~_List_nod<AttackerInfo,std::allocator<AttackerInfo>_>(_List_nod<AttackerInfo,std::allocator<AttackerInfo>_> * this)	IMPORTED	276	ok
0040e1b1	std::_List_nod<AttackGroup_*,std::allocator<AttackGroup_*>_>::~_List_nod<AttackGroup_*,std::allocator<AttackGroup_*>_>	std::_List_nod<AttackGroup_*,std::allocator<AttackGroup_*>_>	void ~_List_nod<AttackGroup_*,std::allocator<AttackGroup_*>_>(_List_nod<AttackGroup_*,std::allocator<AttackGroup_*>_> * this)	IMPORTED	282	ok
0040e1ba	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::_Tidy	std::list<AttackerInfo,std::allocator<AttackerInfo>_>	void _Tidy(list<AttackerInfo,std::allocator<AttackerInfo>_> * this)	IMPORTED	254	ok
0040e1d1	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Iterator<1>::operator++	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Iterator<1>	_Iterator<1> * operator++(_Iterator<1> * this)	IMPORTED	299	ok
0040e1dd	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::_Iterator<1>::operator++	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::_Iterator<1>	_Iterator<1> * operator++(_Iterator<1> * this)	IMPORTED	283	ok
0040e1e9	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::_Const_iterator<1>::operator++	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::_Const_iterator<1>	_Const_iterator<1> operator++(_Const_iterator<1> * this, int param_1)	IMPORTED	415	ok
0040e203	std::_Bidit<AttackerInfo,int,AttackerInfo_const_*,AttackerInfo_const_&>::_Bidit<AttackerInfo,int,AttackerInfo_const_*,AttackerInfo_const_&>	std::_Bidit<AttackerInfo,int,AttackerInfo_const_*,AttackerInfo_const_&>	_Bidit<AttackerInfo,int,AttackerInfo_const_*,AttackerInfo_const_&> * _Bidit<AttackerInfo,int,AttackerInfo_const_*,AttackerInfo_const_&>(_Bidit<AttackerInfo,int,AttackerInfo_const_*,AttackerInfo_const_&> * this)	IMPORTED	422	ok
0040e209	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::_Incsize	std::list<AttackerInfo,std::allocator<AttackerInfo>_>	void _Incsize(list<AttackerInfo,std::allocator<AttackerInfo>_> * this, uint param_1)	IMPORTED	1265	ok
0040e26b	std::allocator<std::_List_nod<AttackerInfo,std::allocator<AttackerInfo>_>::_Node>::allocate	std::allocator<std::_List_nod<AttackerInfo,std::allocator<AttackerInfo>_>::_Node>	_Node * allocate(allocator<std::_List_nod<AttackerInfo,std::allocator<AttackerInfo>_>::_Node> * this, uint param_1)	IMPORTED	421	ok
0040e27b	std::allocator<std::_List_nod<AttackerInfo,std::allocator<AttackerInfo>_>::_Node_*>::construct	std::allocator<std::_List_nod<AttackerInfo,std::allocator<AttackerInfo>_>::_Node_*>	void construct(allocator<std::_List_nod<AttackerInfo,std::allocator<AttackerInfo>_>::_Node_*> * this, _Node * * param_1, _Node * * param_2)	IMPORTED	344	ok
0040e28e	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::clear	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>	void clear(list<AttackGroup_*,std::allocator<AttackGroup_*>_> * this)	IMPORTED	534	ok
0040e2bb	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Incsize	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>	void _Incsize(list<AttackGroup_*,std::allocator<AttackGroup_*>_> * this, uint param_1)	IMPORTED	1269	ok
0040e31d	std::allocator<std::_List_nod<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Node>::allocate	std::allocator<std::_List_nod<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Node>	_Node * allocate(allocator<std::_List_nod<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Node> * this, uint param_1)	IMPORTED	427	ok
0040e32d	std::allocator<std::_List_nod<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Node_*>::construct	std::allocator<std::_List_nod<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Node_*>	void construct(allocator<std::_List_nod<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Node_*> * this, _Node * * param_1, _Node * * param_2)	IMPORTED	348	ok
0040e340	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::_Const_iterator<1>::_Const_iterator<1>	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::_Const_iterator<1>	_Const_iterator<1> * _Const_iterator<1>(_Const_iterator<1> * this, _Node * param_1, list<AttackerInfo,std::allocator<AttackerInfo>_> * param_2)	IMPORTED	485	ok
0040e367	std::_Bidit<AttackGroup_*,int,AttackGroup_*_const_*,AttackGroup_*_const_&>::_Bidit<AttackGroup_*,int,AttackGroup_*_const_*,AttackGroup_*_const_&>	std::_Bidit<AttackGroup_*,int,AttackGroup_*_const_*,AttackGroup_*_const_&>	_Bidit<AttackGroup_*,int,AttackGroup_*_const_*,AttackGroup_*_const_&> * _Bidit<AttackGroup_*,int,AttackGroup_*_const_*,AttackGroup_*_const_&>(_Bidit<AttackGroup_*,int,AttackGroup_*_const_*,AttackGroup_*_const_&> * this)	IMPORTED	437	ok
0040e36d	std::allocator<AttackerInfo>::construct	std::allocator<AttackerInfo>	void construct(allocator<AttackerInfo> * this, AttackerInfo * param_1, AttackerInfo * param_2)	IMPORTED	227	ok
0040e37f	std::allocator<AttackGroup_*>::construct	std::allocator<AttackGroup_*>	void construct(allocator<AttackGroup_*> * this, AttackGroup * * param_1, AttackGroup * * param_2)	IMPORTED	242	ok
0040e392	std::_Container_base_aux_alloc_real<std::allocator<AttackerInfo>_>::_Container_base_aux_alloc_real<std::allocator<AttackerInfo>_>	std::_Container_base_aux_alloc_real<std::allocator<AttackerInfo>_>	_Container_base_aux_alloc_real<std::allocator<AttackerInfo>_> * _Container_base_aux_alloc_real<std::allocator<AttackerInfo>_>(_Container_base_aux_alloc_real<std::allocator<AttackerInfo>_> * this, allocator<AttackerInfo> param_1)	IMPORTED	627	ok
0040e3b2	std::_Container_base_aux_alloc_real<std::allocator<AttackGroup_*>_>::_Container_base_aux_alloc_real<std::allocator<AttackGroup_*>_>	std::_Container_base_aux_alloc_real<std::allocator<AttackGroup_*>_>	_Container_base_aux_alloc_real<std::allocator<AttackGroup_*>_> * _Container_base_aux_alloc_real<std::allocator<AttackGroup_*>_>(_Container_base_aux_alloc_real<std::allocator<AttackGroup_*>_> * this, allocator<AttackGroup_*> param_1)	IMPORTED	632	ok
0040e3d2	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Iterator<1>::operator++	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Iterator<1>	_Iterator<1> operator++(_Iterator<1> * this, int param_1)	IMPORTED	538	ok
0040e3ec	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::_Iterator<1>::operator++	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::_Iterator<1>	_Iterator<1> operator++(_Iterator<1> * this, int param_1)	IMPORTED	534	ok
0040e406	std::_List_ptr<AttackerInfo,std::allocator<AttackerInfo>_>::~_List_ptr<AttackerInfo,std::allocator<AttackerInfo>_>	std::_List_ptr<AttackerInfo,std::allocator<AttackerInfo>_>	void ~_List_ptr<AttackerInfo,std::allocator<AttackerInfo>_>(_List_ptr<AttackerInfo,std::allocator<AttackerInfo>_> * this)	IMPORTED	276	ok
0040e40f	std::_List_ptr<AttackGroup_*,std::allocator<AttackGroup_*>_>::~_List_ptr<AttackGroup_*,std::allocator<AttackGroup_*>_>	std::_List_ptr<AttackGroup_*,std::allocator<AttackGroup_*>_>	void ~_List_ptr<AttackGroup_*,std::allocator<AttackGroup_*>_>(_List_ptr<AttackGroup_*,std::allocator<AttackGroup_*>_> * this)	IMPORTED	282	ok
0040e418	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::_Buynode	std::list<AttackerInfo,std::allocator<AttackerInfo>_>	_Node * _Buynode(list<AttackerInfo,std::allocator<AttackerInfo>_> * this)	IMPORTED	477	ok
0040e433	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Buynode	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>	_Node * _Buynode(list<AttackGroup_*,std::allocator<AttackGroup_*>_> * this)	IMPORTED	483	ok
0040e44e	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Tidy	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>	void _Tidy(list<AttackGroup_*,std::allocator<AttackGroup_*>_> * this)	IMPORTED	258	ok
0040e465	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::_Iterator<1>::_Iterator<1>	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::_Iterator<1>	_Iterator<1> * _Iterator<1>(_Iterator<1> * this, _Node * param_1, list<AttackerInfo,std::allocator<AttackerInfo>_> * param_2)	IMPORTED	406	ok
0040e47b	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::_Const_iterator<1>::_Const_iterator<1>	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::_Const_iterator<1>	_Const_iterator<1> * _Const_iterator<1>(_Const_iterator<1> * this)	IMPORTED	248	ok
0040e485	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::_Buynode	std::list<AttackerInfo,std::allocator<AttackerInfo>_>	_Node * _Buynode(list<AttackerInfo,std::allocator<AttackerInfo>_> * this, _Node * param_1, _Node * param_2, AttackerInfo * param_3)	IMPORTED	610	ok
0040e4bf	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Buynode	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>	_Node * _Buynode(list<AttackGroup_*,std::allocator<AttackGroup_*>_> * this, _Node * param_1, _Node * param_2, AttackGroup * * param_3)	IMPORTED	635	ok
0040e4f3	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Const_iterator<1>::_Const_iterator<1>	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Const_iterator<1>	_Const_iterator<1> * _Const_iterator<1>(_Const_iterator<1> * this, _Node * param_1, list<AttackGroup_*,std::allocator<AttackGroup_*>_> * param_2)	IMPORTED	491	ok
0040e51a	std::_List_nod<AttackerInfo,std::allocator<AttackerInfo>_>::_List_nod<AttackerInfo,std::allocator<AttackerInfo>_>	std::_List_nod<AttackerInfo,std::allocator<AttackerInfo>_>	_List_nod<AttackerInfo,std::allocator<AttackerInfo>_> * _List_nod<AttackerInfo,std::allocator<AttackerInfo>_>(_List_nod<AttackerInfo,std::allocator<AttackerInfo>_> * this, allocator<AttackerInfo> param_1)	IMPORTED	562	ok
0040e52f	std::_List_nod<AttackGroup_*,std::allocator<AttackGroup_*>_>::_List_nod<AttackGroup_*,std::allocator<AttackGroup_*>_>	std::_List_nod<AttackGroup_*,std::allocator<AttackGroup_*>_>	_List_nod<AttackGroup_*,std::allocator<AttackGroup_*>_> * _List_nod<AttackGroup_*,std::allocator<AttackGroup_*>_>(_List_nod<AttackGroup_*,std::allocator<AttackGroup_*>_> * this, allocator<AttackGroup_*> param_1)	IMPORTED	574	ok
0040e544	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::begin	std::list<AttackerInfo,std::allocator<AttackerInfo>_>	_Iterator<1> begin(list<AttackerInfo,std::allocator<AttackerInfo>_> * this)	IMPORTED	436	ok
0040e55a	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::end	std::list<AttackerInfo,std::allocator<AttackerInfo>_>	_Iterator<1> end(list<AttackerInfo,std::allocator<AttackerInfo>_> * this)	IMPORTED	427	ok
0040e56e	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::_Iterator<1>::_Iterator<1>	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::_Iterator<1>	_Iterator<1> * _Iterator<1>(_Iterator<1> * this)	IMPORTED	238	ok
0040e578	std::_List_val<AttackerInfo,std::allocator<AttackerInfo>_>::~_List_val<AttackerInfo,std::allocator<AttackerInfo>_>	std::_List_val<AttackerInfo,std::allocator<AttackerInfo>_>	void ~_List_val<AttackerInfo,std::allocator<AttackerInfo>_>(_List_val<AttackerInfo,std::allocator<AttackerInfo>_> * this)	IMPORTED	276	ok
0040e581	std::_List_val<AttackGroup_*,std::allocator<AttackGroup_*>_>::~_List_val<AttackGroup_*,std::allocator<AttackGroup_*>_>	std::_List_val<AttackGroup_*,std::allocator<AttackGroup_*>_>	void ~_List_val<AttackGroup_*,std::allocator<AttackGroup_*>_>(_List_val<AttackGroup_*,std::allocator<AttackGroup_*>_> * this)	IMPORTED	282	ok
0040e58a	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::_Make_iter	std::list<AttackerInfo,std::allocator<AttackerInfo>_>	_Iterator<1> _Make_iter(list<AttackerInfo,std::allocator<AttackerInfo>_> * this, _Const_iterator<1> param_1)	IMPORTED	488	ok
0040e59f	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::_Insert	std::list<AttackerInfo,std::allocator<AttackerInfo>_>	void _Insert(list<AttackerInfo,std::allocator<AttackerInfo>_> * this, _Const_iterator<1> param_1, AttackerInfo * param_2)	IMPORTED	416	ok
0040e5cf	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Insert	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>	void _Insert(list<AttackGroup_*,std::allocator<AttackGroup_*>_> * this, _Const_iterator<1> param_1, AttackGroup * * param_2)	IMPORTED	420	ok
0040e5ff	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Iterator<1>::_Iterator<1>	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Iterator<1>	_Iterator<1> * _Iterator<1>(_Iterator<1> * this, _Node * param_1, list<AttackGroup_*,std::allocator<AttackGroup_*>_> * param_2)	IMPORTED	412	ok
0040e615	std::_List_ptr<AttackerInfo,std::allocator<AttackerInfo>_>::_List_ptr<AttackerInfo,std::allocator<AttackerInfo>_>	std::_List_ptr<AttackerInfo,std::allocator<AttackerInfo>_>	_List_ptr<AttackerInfo,std::allocator<AttackerInfo>_> * _List_ptr<AttackerInfo,std::allocator<AttackerInfo>_>(_List_ptr<AttackerInfo,std::allocator<AttackerInfo>_> * this, allocator<AttackerInfo> param_1)	IMPORTED	538	ok
0040e62a	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::_Make_iter	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>	_Iterator<1> _Make_iter(list<AttackGroup_*,std::allocator<AttackGroup_*>_> * this, _Const_iterator<1> param_1)	IMPORTED	492	ok
0040e63f	std::_List_ptr<AttackGroup_*,std::allocator<AttackGroup_*>_>::_List_ptr<AttackGroup_*,std::allocator<AttackGroup_*>_>	std::_List_ptr<AttackGroup_*,std::allocator<AttackGroup_*>_>	_List_ptr<AttackGroup_*,std::allocator<AttackGroup_*>_> * _List_ptr<AttackGroup_*,std::allocator<AttackGroup_*>_>(_List_ptr<AttackGroup_*,std::allocator<AttackGroup_*>_> * this, allocator<AttackGroup_*> param_1)	IMPORTED	553	ok
0040e654	AttackGroup::GetSlot	AttackGroup	int GetSlot(AttackGroup * this, GameObject * param_1)	IMPORTED	1260	ok
0040e6bd	AttackGroup::GetLeft	AttackGroup	AttackerInfo * GetLeft(AttackGroup * this, GameObject * param_1)	IMPORTED	2056	ok
0040e75f	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::~list<AttackerInfo,std::allocator<AttackerInfo>_>	std::list<AttackerInfo,std::allocator<AttackerInfo>_>	void ~list<AttackerInfo,std::allocator<AttackerInfo>_>(list<AttackerInfo,std::allocator<AttackerInfo>_> * this)	IMPORTED	277	ok
0040e771	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::push_back	std::list<AttackerInfo,std::allocator<AttackerInfo>_>	void push_back(list<AttackerInfo,std::allocator<AttackerInfo>_> * this, AttackerInfo * param_1)	IMPORTED	501	ok
0040e79a	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::erase	std::list<AttackerInfo,std::allocator<AttackerInfo>_>	_Iterator<1> erase(list<AttackerInfo,std::allocator<AttackerInfo>_> * this, _Const_iterator<1> param_1)	IMPORTED	816	ok
0040e7e7	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::~list<AttackGroup_*,std::allocator<AttackGroup_*>_>	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>	void ~list<AttackGroup_*,std::allocator<AttackGroup_*>_>(list<AttackGroup_*,std::allocator<AttackGroup_*>_> * this)	IMPORTED	283	ok
0040e7f9	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::begin	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>	_Iterator<1> begin(list<AttackGroup_*,std::allocator<AttackGroup_*>_> * this)	IMPORTED	440	ok
0040e80f	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::end	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>	_Iterator<1> end(list<AttackGroup_*,std::allocator<AttackGroup_*>_> * this)	IMPORTED	431	ok
0040e823	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::push_back	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>	void push_back(list<AttackGroup_*,std::allocator<AttackGroup_*>_> * this, AttackGroup * * param_1)	IMPORTED	505	ok
0040e84c	std::_List_val<AttackerInfo,std::allocator<AttackerInfo>_>::_List_val<AttackerInfo,std::allocator<AttackerInfo>_>	std::_List_val<AttackerInfo,std::allocator<AttackerInfo>_>	_List_val<AttackerInfo,std::allocator<AttackerInfo>_> * _List_val<AttackerInfo,std::allocator<AttackerInfo>_>(_List_val<AttackerInfo,std::allocator<AttackerInfo>_> * this, allocator<AttackerInfo> param_1)	IMPORTED	538	ok
0040e861	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::erase	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>	_Iterator<1> erase(list<AttackGroup_*,std::allocator<AttackGroup_*>_> * this, _Const_iterator<1> param_1)	IMPORTED	820	ok
0040e8ae	std::_List_val<AttackGroup_*,std::allocator<AttackGroup_*>_>::_List_val<AttackGroup_*,std::allocator<AttackGroup_*>_>	std::_List_val<AttackGroup_*,std::allocator<AttackGroup_*>_>	_List_val<AttackGroup_*,std::allocator<AttackGroup_*>_> * _List_val<AttackGroup_*,std::allocator<AttackGroup_*>_>(_List_val<AttackGroup_*,std::allocator<AttackGroup_*>_> * this, allocator<AttackGroup_*> param_1)	IMPORTED	553	ok
0040e8c3	AttackGroup::Join	AttackGroup	void Join(AttackGroup * this, GameObject * param_1, UnitTask * param_2)	IMPORTED	1162	ok
0040e964	std::list<AttackerInfo,std::allocator<AttackerInfo>_>::list<AttackerInfo,std::allocator<AttackerInfo>_>	std::list<AttackerInfo,std::allocator<AttackerInfo>_>	list<AttackerInfo,std::allocator<AttackerInfo>_> * list<AttackerInfo,std::allocator<AttackerInfo>_>(list<AttackerInfo,std::allocator<AttackerInfo>_> * this)	IMPORTED	573	ok
0040e985	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::list<AttackGroup_*,std::allocator<AttackGroup_*>_>	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>	list<AttackGroup_*,std::allocator<AttackGroup_*>_> * list<AttackGroup_*,std::allocator<AttackGroup_*>_>(list<AttackGroup_*,std::allocator<AttackGroup_*>_> * this)	IMPORTED	587	ok
0040e9a6	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>::remove	std::list<AttackGroup_*,std::allocator<AttackGroup_*>_>	void remove(list<AttackGroup_*,std::allocator<AttackGroup_*>_> * this, AttackGroup * * param_1)	IMPORTED	1067	ok
0040ea19	AttackGroup::AttackGroup	AttackGroup	AttackGroup * AttackGroup(AttackGroup * this)	IMPORTED	228	ok
0040ea28	AttackGroup::Leave	AttackGroup	void Leave(AttackGroup * this, GameObject * param_1)	IMPORTED	1650	ok
0040eab6	AttackGroup::Find	AttackGroup	AttackGroup * Find(GameObject * param_1)	IMPORTED	1946	ok
0040eb60	AttackTask::AttackTask	AttackTask	AttackTask * AttackTask(AttackTask * this)	IMPORTED	173	ok
0040eb72	UnitProcess::GetTask	UnitProcess	UnitTask * GetTask(UnitProcess * this)	IMPORTED	109	ok
0040eb76	AttackTask::CreateObject	AttackTask	SObject * CreateObject(void)	IMPORTED	281	ok
0040eb9d	AttackTask::GetRtimeClass	AttackTask	RtimeClass * GetRtimeClass(AttackTask * this)	IMPORTED	109	ok
0040eba3	AttackTask::AttackTask	AttackTask	AttackTask * AttackTask(AttackTask * this, Craft * param_1, GameObject * param_2)	IMPORTED	831	ok
0040ec41	AttackTask::Load	AttackTask	bool Load(AttackTask * this, _iobuf * param_1)	IMPORTED	391	ok
0040eca2	AttackTask::PostLoad	AttackTask	bool PostLoad(AttackTask * this)	IMPORTED	328	ok
0040ecd7	AttackTask::Save	AttackTask	bool Save(AttackTask * this, _iobuf * param_1)	IMPORTED	435	ok
0040ed47	IsBuilding	Global	int IsBuilding(_OBJ76 * param_1)	IMPORTED	287	ok
0040ed6a	AttackTask::CheckFollowing	AttackTask	bool CheckFollowing(AttackTask * this)	IMPORTED	604	ok
0040edba	AttackTask::CleanState	AttackTask	void CleanState(AttackTask * this)	IMPORTED	629	ok
0040ee4d	AttackTask::~AttackTask	AttackTask	void ~AttackTask(AttackTask * this)	IMPORTED	364	ok
0040ee7c	AttackTask::`scalar_deleting_destructor'	AttackTask	void * `scalar_deleting_destructor'(AttackTask * this, uint param_1)	IMPORTED	203	ok
0040ee98	AttackTask::ChooseState	AttackTask	void ChooseState(AttackTask * this)	IMPORTED	3042	ok
0040f008	AttackTask::CheckWaiting	AttackTask	bool CheckWaiting(AttackTask * this)	IMPORTED	1397	ok
0040f07f	AttackTask::AssignFollowOffset	AttackTask	void AssignFollowOffset(AttackTask * this)	IMPORTED	2554	ok
0040f193	AttackTask::InitState	AttackTask	void InitState(AttackTask * this)	IMPORTED	1203	ok
0040f25b	AttackTask::DoState	AttackTask	void DoState(AttackTask * this)	IMPORTED	10236	ok
0040f937	CellTypeChange	Global	int CellTypeChange(long param_1, long param_2)	IMPORTED	312	ok
0040f984	TerrainOutCode	Global	int TerrainOutCode(int param_1, int param_2)	IMPORTED	378	ok
0040f9cc	ChangeIntersectionH	Global	void ChangeIntersectionH(int param_1, int param_2, VECTOR_2D param_3, VECTOR_2D param_4, float * param_5)	IMPORTED	478	ok
0040fa28	ChangeIntersectionV	Global	void ChangeIntersectionV(int param_1, int param_2, VECTOR_2D param_3, VECTOR_2D param_4, float * param_5)	IMPORTED	468	ok
0040fa84	CellType	Global	uchar CellType(float param_1, float param_2)	IMPORTED	396	ok
0040fac8	CellTeam	Global	ushort CellTeam(float param_1, float param_2)	IMPORTED	398	ok
0040fb0c	CellRegion	Global	uchar CellRegion(float param_1, float param_2)	IMPORTED	400	ok
0040fb50	FindChange	Global	bool FindChange(VECTOR_2D * param_1, VECTOR_2D * param_2, _func___cdecl_int_long_long * param_3, float * param_4)	IMPORTED	4621	ok
