entry	name	parent_namespace	signature	source	body_size	status
004018b6	IsJapanese	Global	int IsJapanese(void)	IMPORTED	231	ok
004018cd	AiMission::GetRtimeClass	AiMission	RtimeClass * GetRtimeClass(AiMission * this)	IMPORTED	106	ok
004018d3	AiMissionClass::Matches	AiMissionClass	int Matches(AiMissionClass * this, char * param_1)	IMPORTED	649	ok
00401909	StrToID	Global	void StrToID(char * param_1, long64 param_2)	IMPORTED	165	ok
0040191f	AiMission::GetCurrent	AiMission	AiMission * GetCurrent(void)	IMPORTED	80	ok
00401925	AiMission::CreateObject	AiMission	void CreateObject(AiMission * this, GameObject * param_1)	IMPORTED	101	ok
00401928	AiMission::AddObject	AiMission	void AddObject(AiMission * this, GameObject * param_1)	IMPORTED	498	ok
00401966	AiMission::DeleteObject	AiMission	void DeleteObject(AiMission * this, GameObject * param_1)	IMPORTED	101	ok
00401969	AiMission::CreatePlayer	AiMission	void CreatePlayer(AiMission * this, NetPlayer * param_1)	IMPORTED	100	ok
0040196c	AiMission::AddPlayer	AiMission	void AddPlayer(AiMission * this, NetPlayer * param_1)	IMPORTED	97	ok
0040196f	AiMission::DeletePlayer	AiMission	void DeletePlayer(AiMission * this, NetPlayer * param_1)	IMPORTED	100	ok
00401972	AudioDone	Global	bool AudioDone(void)	IMPORTED	198	ok
0040198d	CheckBoundary	Global	void CheckBoundary(GameObject * param_1, float param_2)	IMPORTED	1170	ok
00401aaf	AiMission::Start	AiMission	void Start(AiMission * this)	IMPORTED	74	ok
00401ab0	AiMission::LoadMission	AiMission	bool LoadMission(_iobuf * param_1)	IMPORTED	158	ok
00401ac9	AiMission::PostLoadMission	AiMission	bool PostLoadMission(void)	IMPORTED	301	ok
00401aee	AiMission::SaveMission	AiMission	bool SaveMission(_iobuf * param_1)	IMPORTED	159	ok
00401b00	AiMission::Respawn	AiMission	void Respawn(AiMission * this)	IMPORTED	94	ok
00401b09	AiMission::EjectCraftCreate	AiMission	bool EjectCraftCreate(AiMission * this)	IMPORTED	90	ok
00401b0c	AiMission::Command	AiMission	bool Command(AiMission * this, char * param_1)	IMPORTED	96	ok
00401b11	AiMission::End	AiMission	void End(AiMission * this, float param_1, char * param_2, bool param_3)	IMPORTED	1115	ok
00401b77	std::list<AiProcess_*,std::allocator<AiProcess_*>_>::empty	std::list<AiProcess_*,std::allocator<AiProcess_*>_>	bool empty(list<AiProcess_*,std::allocator<AiProcess_*>_> * this)	IMPORTED	185	ok
00401b80	std::allocator<AiPath_*>::allocator<AiPath_*>	std::allocator<AiPath_*>	allocator<AiPath_*> * allocator<AiPath_*>(allocator<AiPath_*> * this)	IMPORTED	136	ok
00401b83	std::list<AiProcess_*,std::allocator<AiProcess_*>_>::_Nextnode	std::list<AiProcess_*,std::allocator<AiProcess_*>_>	_Node * * _Nextnode(_Node * param_1)	IMPORTED	136	ok
00401b88	std::allocator<AiProcess_*>::allocator<AiProcess_*>	std::allocator<AiProcess_*>	allocator<AiProcess_*> * allocator<AiProcess_*>(allocator<AiProcess_*> * this)	IMPORTED	148	ok
00401b8b	std::allocator<AOI_*>::allocator<AOI_*>	std::allocator<AOI_*>	allocator<AOI_*> * allocator<AOI_*>(allocator<AOI_*> * this)	IMPORTED	123	ok
00401b8e	std::list<AiMissionClass_*,std::allocator<AiMissionClass_*>_>::_Nextnode	std::list<AiMissionClass_*,std::allocator<AiMissionClass_*>_>	_Node * * _Nextnode(_Node * param_1)	IMPORTED	147	ok
00401b93	std::allocator<AiMissionClass_*>::allocator<AiMissionClass_*>	std::allocator<AiMissionClass_*>	allocator<AiMissionClass_*> * allocator<AiMissionClass_*>(allocator<AiMissionClass_*> * this)	IMPORTED	168	ok
00401b96	std::list<AiMissionClass_*,std::allocator<AiMissionClass_*>_>::_Const_iterator<1>::operator==	std::list<AiMissionClass_*,std::allocator<AiMissionClass_*>_>::_Const_iterator<1>	bool operator==(_Const_iterator<1> * this, _Const_iterator<1> * param_1)	IMPORTED	363	ok
00401bbe	std::list<AiProcess_*,std::allocator<AiProcess_*>_>::_Const_iterator<1>::operator==	std::list<AiProcess_*,std::allocator<AiProcess_*>_>::_Const_iterator<1>	bool operator==(_Const_iterator<1> * this, _Const_iterator<1> * param_1)	IMPORTED	353	ok
00401be6	std::_Vector_const_iterator<Craft_*,std::allocator<Craft_*>_>::operator*	std::_Vector_const_iterator<Craft_*,std::allocator<Craft_*>_>	Craft * * operator*(_Vector_const_iterator<Craft_*,std::allocator<Craft_*>_> * this)	IMPORTED	596	ok
00401c14	std::_Vector_const_iterator<Craft_*,std::allocator<Craft_*>_>::operator++	std::_Vector_const_iterator<Craft_*,std::allocator<Craft_*>_>	_Vector_const_iterator<Craft_*,std::allocator<Craft_*>_> * operator++(_Vector_const_iterator<Craft_*,std::allocator<Craft_*>_> * this)	IMPORTED	675	ok
00401c45	std::_Vector_const_iterator<Craft_*,std::allocator<Craft_*>_>::operator==	std::_Vector_const_iterator<Craft_*,std::allocator<Craft_*>_>	bool operator==(_Vector_const_iterator<Craft_*,std::allocator<Craft_*>_> * this, _Vector_const_iterator<Craft_*,std::allocator<Craft_*>_> * param_1)	IMPORTED	435	ok
00401c6d	std::_Iterator_with_base<std::bidirectional_iterator_tag,AiProcess_*,int,AiProcess_*_const_*,AiProcess_*_const_&,std::_Iterator_base_aux>::_Iterator_with_base<std::bidirectional_iterator_tag,AiProcess_*,int,AiProcess_*_const_*,AiProcess_*_const_&,std::_Iterator_base_aux>	std::_Iterator_with_base<std::bidirectional_iterator_tag,AiProcess_*,int,AiProcess_*_const_*,AiProcess_*_const_&,std::_Iterator_base_aux>	_Iterator_with_base<std::bidirectional_iterator_tag,AiProcess_*,int,AiProcess_*_const_*,AiProcess_*_const_&,std::_Iterator_base_aux> * _Iterator_with_base<std::bidirectional_iterator_tag,AiProcess_*,int,AiProcess_*_const_*,AiProcess_*_const_&,std::_Iterator_base_aux>(_Iterator_with_base<std::bidirectional_iterator_tag,AiProcess_*,int,AiProcess_*_const_*,AiProcess_*_const_&,std::_Iterator_base_aux> * this)	IMPORTED	782	ok
00401c73	std::allocator<std::_Aux_cont>::deallocate	std::allocator<std::_Aux_cont>	void deallocate(allocator<std::_Aux_cont> * this, _Aux_cont * param_1, uint param_2)	IMPORTED	190	ok
00401c80	std::list<AiPath_*,std::allocator<AiPath_*>_>::_Nextnode	std::list<AiPath_*,std::allocator<AiPath_*>_>	_Node * * _Nextnode(_Node * param_1)	IMPORTED	130	ok
00401c85	std::list<AiPath_*,std::allocator<AiPath_*>_>::_Prevnode	std::list<AiPath_*,std::allocator<AiPath_*>_>	_Node * * _Prevnode(_Node * param_1)	IMPORTED	130	ok
00401c8d	std::allocator<AiPath_*>::allocator<AiPath_*>	std::allocator<AiPath_*>	allocator<AiPath_*> * allocator<AiPath_*>(allocator<AiPath_*> * this, allocator<AiPath_*> * param_1)	IMPORTED	177	ok
00401c92	std::allocator<std::_List_nod<AiPath_*,std::allocator<AiPath_*>_>::_Node>::deallocate	std::allocator<std::_List_nod<AiPath_*,std::allocator<AiPath_*>_>::_Node>	void deallocate(allocator<std::_List_nod<AiPath_*,std::allocator<AiPath_*>_>::_Node> * this, _Node * param_1, uint param_2)	IMPORTED	284	ok
00401c9f	std::list<AiProcess_*,std::allocator<AiProcess_*>_>::_Prevnode	std::list<AiProcess_*,std::allocator<AiProcess_*>_>	_Node * * _Prevnode(_Node * param_1)	IMPORTED	136	ok
00401ca7	std::list<AiProcess_*,std::allocator<AiProcess_*>_>::_Myval	std::list<AiProcess_*,std::allocator<AiProcess_*>_>	AiProcess * * _Myval(_Node * param_1)	IMPORTED	138	ok
00401caf	std::allocator<AiProcess_*>::allocator<AiProcess_*>	std::allocator<AiProcess_*>	allocator<AiProcess_*> * allocator<AiProcess_*>(allocator<AiProcess_*> * this, allocator<AiProcess_*> * param_1)	IMPORTED	192	ok
00401cb4	std::allocator<std::_List_nod<AiProcess_*,std::allocator<AiProcess_*>_>::_Node>::deallocate	std::allocator<std::_List_nod<AiProcess_*,std::allocator<AiProcess_*>_>::_Node>	void deallocate(allocator<std::_List_nod<AiProcess_*,std::allocator<AiProcess_*>_>::_Node> * this, _Node * param_1, uint param_2)	IMPORTED	296	ok
00401cc1	std::list<AOI_*,std::allocator<AOI_*>_>::_Nextnode	std::list<AOI_*,std::allocator<AOI_*>_>	_Node * * _Nextnode(_Node * param_1)	IMPORTED	124	ok
00401cc6	std::list<AOI_*,std::allocator<AOI_*>_>::_Prevnode	std::list<AOI_*,std::allocator<AOI_*>_>	_Node * * _Prevnode(_Node * param_1)	IMPORTED	124	ok
00401cce	std::allocator<AOI_*>::allocator<AOI_*>	std::allocator<AOI_*>	allocator<AOI_*> * allocator<AOI_*>(allocator<AOI_*> * this, allocator<AOI_*> * param_1)	IMPORTED	150	ok
00401cd3	std::allocator<std::_List_nod<AOI_*,std::allocator<AOI_*>_>::_Node>::deallocate	std::allocator<std::_List_nod<AOI_*,std::allocator<AOI_*>_>::_Node>	void deallocate(allocator<std::_List_nod<AOI_*,std::allocator<AOI_*>_>::_Node> * this, _Node * param_1, uint param_2)	IMPORTED	272	ok
00401ce0	std::list<AiMissionClass_*,std::allocator<AiMissionClass_*>_>::_Prevnode	std::list<AiMissionClass_*,std::allocator<AiMissionClass_*>_>	_Node * * _Prevnode(_Node * param_1)	IMPORTED	147	ok
00401ce8	std::list<AiMissionClass_*,std::allocator<AiMissionClass_*>_>::_Myval	std::list<AiMissionClass_*,std::allocator<AiMissionClass_*>_>	AiMissionClass * * _Myval(_Node * param_1)	IMPORTED	154	ok
