name,kind,size
<unnamed-type-MftBitmapWritesUserLevel>,struct,8
<unnamed-type-MftWritesUserLevel>,struct,8
<unnamed-type-Misc>,union,4
<unnamed-type-MultiSampleCaps>,struct,4
<unnamed-type-N>,union,8
<unnamed-type-NDR_SCONTEXT>,struct,12
<unnamed-type-Name>,struct,8
<unnamed-type-NotifyData>,union,8
<unnamed-type-NumaNode>,struct,4
<unnamed-type-PR_IN>,struct,4
<unnamed-type-PR_OUT>,struct,2
<unnamed-type-ProcessorCore>,struct,1
<unnamed-type-RADAR_BACKGROUND>,struct,8
<unnamed-type-RADAR_NUMBER>,struct,8
<unnamed-type-RADAR_PING>,struct,16
<unnamed-type-RING_MAPS>,struct,12
<unnamed-type-Region>,struct,16
<unnamed-type-RemovableDiskInfo>,struct,32
<unnamed-type-S_un>,union,4
<unnamed-type-S_un_b>,struct,4
<unnamed-type-S_un_w>,struct,4
<unnamed-type-Samples>,union,2
<unnamed-type-ScalarPrefetch>,struct,6
<unnamed-type-ScsiInformation>,struct,2
<unnamed-type-Section>,struct,16
<unnamed-type-Sym>,struct,18
<unnamed-type-TITLE_TEXT>,struct,8
<unnamed-type-TapeInfo>,struct,20
<unnamed-type-Target>,struct,48
<unnamed-type-TxfFileId>,struct,16
<unnamed-type-Type>,union,4
<unnamed-type-UNIT_TYPE>,struct,16
<unnamed-type-UNIT_TYPE_INFO>,struct,16
<unnamed-type-ai>,struct,32
<unnamed-type-data>,union,24
<unnamed-type-dist>,union,4
<unnamed-type-gsBytes>,struct,4
<unnamed-type-i>,struct,8
<unnamed-type-l>,struct,2
<unnamed-type-lc_category>,struct,16
<unnamed-type-midi>,struct,4
<unnamed-type-move>,struct,8
<unnamed-type-partinfo>,struct,16
<unnamed-type-parts>,struct,4
<unnamed-type-prereq>,struct,20
<unnamed-type-propertyBlob>,struct,8
<unnamed-type-resource>,struct,4
<unnamed-type-s>,struct,12
<unnamed-type-smpte>,struct,8
<unnamed-type-storage>,union,4
<unnamed-type-u1>,union,4
<unnamed-type-u>,union,84
<unnamed-type-uChar>,union,2
<unnamed-type-undoTile>,struct,6
<unnamed-type-value>,union,8
<unnamed-type-weaponinfo>,struct,4
ACTIVE_BOLT,struct,7224
AGG_PING_PACKET,struct,276
AIBUILD,struct,1252
AIController,struct,1
AIScheduleFeature,struct,40
ANALOG_SINK,struct,52
ANALOG_SOURCE,struct,128
ANON_OBJECT_HEADER,struct,32
ANON_OBJECT_HEADER_V2,struct,44
AOI,struct,24
APC,struct,720
APCAttack,struct,312
APCClass,struct,984
APCClass.conflict,struct,992
APCEnemy,struct,88
APCFriend,struct,88
APCProcess,struct,88
APC_STATE_PACKET,struct,1
ARRAY_INFO,struct,24
ASSOCIATIONELEMENT_,struct,12
AUDIOPREFS,struct,60
ActionInfo,struct,36
ActionMode,struct,1
Addr,struct,16
AdjustItem,struct,4
AdjustVar,struct,4
AiCmdInfo,struct,24
AiMission,struct,64
AiMissionClass,struct,8
AiPath,struct,28
AiProcess,struct,20
AiTask,struct,12
AiTaskAdjItem,struct,8
AiTaskItem,struct,20
AiUtilFeature,struct,40
AmmoPowerup,struct,552
AmmoPowerupClass,struct,376
AnchorRocket,struct,304
AnchorRocketClass,struct,192
AnimBuilding,struct,568
AnimBuildingClass,struct,352
AnimButton,struct,332
AnimMCIMovie,struct,24
AnimSprite,struct,56
Area,struct,16
Armory,struct,816
ArmoryClass,struct,1208
ArmoryClass.conflict,struct,1216
ArmoryProcess,struct,72
Artifact,struct,560
ArtifactClass,struct,352
ArtilleryEnemy,struct,124
ArtilleryFriend,struct,124
ArtilleryProcess,struct,124
Assignment,struct,12
AsyncIAdviseSink,struct,4
AsyncIAdviseSink.conflict,struct,4
AsyncIAdviseSink2,struct,4
AsyncIAdviseSink2.conflict,struct,4
AsyncIAdviseSink2Vtbl,struct,60
AsyncIAdviseSinkVtbl,struct,52
AsyncIMultiQI,struct,4
AsyncIMultiQI.conflict,struct,4
AsyncIMultiQIVtbl,struct,20
AsyncIPipeByte,struct,4
AsyncIPipeByte.conflict,struct,4
AsyncIPipeByteVtbl,struct,28
AsyncIPipeDouble,struct,4
AsyncIPipeDouble.conflict,struct,4
AsyncIPipeDoubleVtbl,struct,28
AsyncIPipeLong,struct,4
AsyncIPipeLong.conflict,struct,4
AsyncIPipeLongVtbl,struct,28
AsyncIUnknown,struct,4
AsyncIUnknown.conflict,struct,4
AsyncIUnknownVtbl,struct,36
Attachable,struct,32
AttachableClass,struct,4
Attachment,struct,4
AttackGroup,struct,36
AttackTask,struct,324
AttackerInfo,struct,8
AudMsgInfo,struct,8
AudioMessageMgr,struct,100
BANDWIDTH_PACKET,struct,8
BASE_STRUCT,struct,6
BATTERY_REPORTING_SCALE,struct,8
BBOX,struct,24
BITMAPV4HEADER,struct,108
BITMAPV5HEADER,struct,124
BITMAP_BLIT_STRUCT,struct,52
BOLT_SEG,struct,4
BOLT_SET,struct,40
BOUNDING_LINE,struct,24
BOX_INFO,struct,120
BSMINFO,struct,20
BSP_CONTAINER,struct,8
BSP_POLYGON,struct,72
BSP_POLYGON.conflict,struct,48
BUILD_LIST,struct,812
BUILD_LIST_NODE,struct,20
BUILD_LIST_NODE_u_16,union,4
BUILD_TYPE_RESOURCE,struct,4
BULK_SECURITY_TEST_DATA,struct,8
Barracks,struct,568
BarracksClass,struct,360
Beam,struct,256
BeamClass,struct,128
BeamGun,struct,192
BeamGunClass,struct,128
BeamPacket,struct,1
BettyVoice,struct,532
BitNum,union,8
Blob,struct,20
BlockCnt,struct,12
BlockingInfo,struct,28
Bolt,struct,256
BoltClass,struct,136
BoltEmitter,struct,4156
BoltSeg,struct,4
BomberEnemy,struct,120
BomberFriend,struct,120
BomberProcess,struct,120
BounceBomb,struct,232
BounceBombClass,struct,200
BoundingBox,struct,12
BroadcastState,struct,20
BucketItem,struct,20
BucketSlot,struct,2564
BuildAttachment,struct,60
BuildGoto,struct,348
BuildItem,struct,36
Building,struct,560
BuildingClass,struct,352
BuildingTypeAttachment,struct,8
Bullet,struct,224
BulletClass,struct,112
CAMERA,struct,472
CCallS,struct,8
CClosure,struct,40
CD3D10_BUFFER_DESC,struct,20
CD3D10_TEXTURE1D_DESC,struct,32
CD3D10_TEXTURE2D_DESC,struct,44
CD3D10_TEXTURE3D_DESC,struct,36
CD3D11_BLEND_DESC,struct,264
CD3D11_BOX,struct,24
CD3D11_BUFFER_DESC,struct,24
CD3D11_COUNTER_DESC,struct,8
CD3D11_DEFAULT,struct,1
CD3D11_DEPTH_STENCIL_DESC,struct,52
CD3D11_DEPTH_STENCIL_VIEW_DESC,struct,24
CD3D11_QUERY_DESC,struct,8
CD3D11_RASTERIZER_DESC,struct,40
CD3D11_RECT,struct,16
CD3D11_RENDER_TARGET_VIEW_DESC,struct,20
CD3D11_SAMPLER_DESC,struct,52
CD3D11_SHADER_RESOURCE_VIEW_DESC,struct,24
CD3D11_TEXTURE1D_DESC,struct,32
CD3D11_TEXTURE2D_DESC,struct,44
CD3D11_TEXTURE3D_DESC,struct,36
CD3D11_UNORDERED_ACCESS_VIEW_DESC,struct,20
CD3D11_VIEWPORT,struct,24
CHARACTER,struct,4
CHUNKDEF,struct,16
CIRCLE,struct,12
CLASS_FUNCTIONS,struct,52
CLIENT_ID,struct,8
CLSN_BOXES,struct,60
CLSN_GEOM,struct,24
CLSN_INFO,struct,120
CMD_COMPOSITION,struct,84
CMD_PARAMETERS,struct,80
CM_Power_Data_s,struct,56
COLOR,struct,4
COMMAND_CONTROLS,struct,52
CONFIRMSAFETY,struct,24
CRAFT_STATE_PACKET,struct,3
CRATER_STATE,struct,12
CREATE_STRUCT,struct,28
CREATE_STRUCT_C,struct,21
CREATE_USN_JOURNAL_DATA,struct,16
CSound,struct,20
CSoundManager,struct,4
CStreamingOggSound,struct,56
CStreamingSound,struct,40
CWaveFile,struct,144
CallInfo,struct,24
CallS,struct,8
CameraAdjItem,struct,20
CameraPod,struct,552
CameraPodClass,struct,384
Cannon,struct,184
CannonClass,struct,128
Carrier,struct,64
Cell,struct,8
ChargeGun,struct,208
ChargeGunClass,struct,152
Chat,struct,4
Chat.conflict,struct,8
ChatColor,struct,8
Chunk,struct,32
ChunkEffect,struct,32856
ChunkType,struct,8
CircleTask,struct,312
ClassIdName,struct,8
Closure,union,40
CmdButton,struct,16
CoastTask,struct,312
CockpitRadar,struct,131224
CockpitTimer,struct,44
CollisionPlaneChunkType,struct,56
Color4444,struct,2
Color565,struct,2
Color8888,struct,4
ColorF,struct,16
ColorFade,struct,56
ColorRGB,struct,3
CommTower,struct,568
CommTowerClass,struct,360
CompositeButton,struct,36
ConsControl,struct,40
ConstructionBlob,struct,380
ConstructionDisplay,struct,120
ConstructionRig,struct,872
ConstructionRigClass,struct,1064
ConstructionRigClass.conflict,struct,1072
ContainerNeighbor,struct,16
ControlPanel,struct,4468
CopyInfo,struct,16
Craft,struct,616
CraftClass,struct,768
Crater,struct,160
D2D1_ARC_SEGMENT,struct,28
D2D1_BEZIER_SEGMENT,struct,24
D2D1_BITMAP_BRUSH_PROPERTIES,struct,12
D2D1_BITMAP_PROPERTIES,struct,16
D2D1_BRUSH_PROPERTIES,struct,28
D2D1_DRAWING_STATE_DESCRIPTION,struct,48
D2D1_ELLIPSE,struct,16
D2D1_FACTORY_OPTIONS,struct,4
D2D1_GRADIENT_STOP,struct,20
D2D1_HWND_RENDER_TARGET_PROPERTIES,struct,16
D2D1_LAYER_PARAMETERS,struct,60
D2D1_LINEAR_GRADIENT_BRUSH_PROPERTIES,struct,16
D2D1_PIXEL_FORMAT,struct,8
D2D1_QUADRATIC_BEZIER_SEGMENT,struct,16
D2D1_RADIAL_GRADIENT_BRUSH_PROPERTIES,struct,24
D2D1_RENDER_TARGET_PROPERTIES,struct,28
D2D1_ROUNDED_RECT,struct,24
D2D1_STROKE_STYLE_PROPERTIES,struct,28
D2D1_TRIANGLE,struct,24
D2D_MATRIX_3X2_F,struct,24
D2D_POINT_2F,struct,8
D2D_POINT_2U,struct,8
D2D_RECT_F,struct,16
D2D_RECT_U,struct,16
D2D_SIZE_F,struct,8
D2D_SIZE_U,struct,8
D3D10_BLEND_DESC,struct,68
D3D10_BOX,struct,24
D3D10_BUFFER_DESC,struct,20
D3D10_BUFFER_RTV,struct,8
D3D10_BUFFER_RTV_u_0,union,4
D3D10_BUFFER_RTV_u_4,union,4
D3D10_BUFFER_SRV,struct,8
D3D10_BUFFER_SRV_u_0,union,4
D3D10_BUFFER_SRV_u_4,union,4
D3D10_COUNTER_DESC,struct,8
D3D10_COUNTER_INFO,struct,12
D3D10_DEPTH_STENCILOP_DESC,struct,16
D3D10_DEPTH_STENCIL_DESC,struct,52
D3D10_DEPTH_STENCIL_VIEW_DESC,struct,20
D3D10_DEPTH_STENCIL_VIEW_DESC_u_8,union,12
D3D10_INPUT_ELEMENT_DESC,struct,28
D3D10_MAPPED_TEXTURE2D,struct,8
D3D10_MAPPED_TEXTURE3D,struct,12
D3D10_QUERY_DESC,struct,8
D3D10_RASTERIZER_DESC,struct,40
D3D10_RENDER_TARGET_VIEW_DESC,struct,20
D3D10_RENDER_TARGET_VIEW_DESC_u_8,union,12
D3D10_SAMPLER_DESC,struct,52
D3D10_SHADER_RESOURCE_VIEW_DESC,struct,24
D3D10_SHADER_RESOURCE_VIEW_DESC_u_8,union,16
D3D10_SO_DECLARATION_ENTRY,struct,12
D3D10_SUBRESOURCE_DATA,struct,12
