legacy_entry_va	bsim_redux_va	legacy_name	legacy_namespace	combined_confidence	bsim_similarity	bsim_significance	bsim_agreement
0x0043a30d	0x549290	AddObject	Misn16Mission	very_high	0.6836	63.43	exact
0x0043adc8	0x54a760	Setup	Misn17Mission	high	0.9994	41.71	bsim_only
0x0043b0f9	0x54af00	AddObject	Misn17Mission	very_high	0.8759	54.07	exact
0x00442ff2	0x559e00	Execute	Misns3Mission	very_high	0.6629	332.26	exact
0x00444a7b	0x55d040	AddObject	Misns5Mission	very_high	1.0000	47.40	exact
0x00444aef	0x55d0f0	Execute	Misns5Mission	very_high	0.6268	197.64	exact
0x00445342	0x55e1e0	AddObject	Misns6Mission	very_high	0.5327	31.26	exact
0x00445f8c	0x55f880	AddObject	Misns7Mission	very_high	0.9116	100.31	exact
0x00448af3	0x564d00	Setup	Misns8Mission	high	1.0000	61.75	bsim_only
0x004490a3	0x565870	AddObject	Misns8Mission	very_high	0.8926	87.74	exact
0x00532239	0x56aa30	MissileClass	MissileClass	very_high	0.7503	16.20	exact
0x0044bee3	0x56c0a0	Matches	MultDMMissionClass	very_high	0.7559	34.40	exact
0x0044c1ff	0x56c690	SetMostRecentKilled	MultDMMission	high	1.0000	47.95	bsim_only
0x0044c697	0x56d8b0	refresh_flags	MultGEvent	very_high	0.7233	39.32	exact
0x0044d284	0x56f320	SetMostRecentKilled	MultSTMission	high	0.9886	58.64	bsim_only
0x0053599c	0x586300	OrdnanceClass	OrdnanceClass	very_high	0.7239	22.70	exact
0x004d5474	0x594950	PostLoad	PathDisplay	very_high	0.5281	37.88	exact
0x004d6688	0x597fb0	DrawControlMenu	PathDisplay	very_high	0.5521	40.07	exact
0x004d75c3	0x598960	DoControlPath	PathDisplay	very_high	0.5114	163.18	exact
0x004a535d	0x59d0f0	Save	Person	very_high	0.6938	13.25	exact
0x004a767b	0x5a2430	PersonClass	PersonClass	very_high	0.8857	32.27	exact
0x00536931	0x5a7240	PopperGunClass	PopperGunClass	very_high	0.8040	16.93	exact
0x004a8bb4	0x5a7ca0	Save	PowerUp	very_high	0.7372	14.22	exact
0x004aa384	0x5ab2c0	PowerUpClass	PowerUpClass	very_high	0.7984	16.51	exact
0x00485dd6	0x5aba30	FindSmokeSource	Craft	high	0.9757	43.20	bsim_only
0x004ab6eb	0x5aff90	Save	Producer	very_high	0.7899	62.79	exact
0x004ac98f	0x5b0260	ProducerClass	ProducerClass	very_high	0.5642	20.10	exact
0x00459025	0x5b4f40	Save	RecyclerFriend	very_high	0.7252	33.18	exact
0x004aef79	0x5c2c70	ScavengerClass	ScavengerClass	very_high	0.8584	22.66	exact
0x004aefe8	0x5c2d60	GetScavMessage	Global	very_high	1.0000	27.94	exact
