legacy_va,legacy_name,legacy_namespace,redux_rva,redux_va,similarity,significance,rank2_rva,rank2_similarity
0x00426a7e,Execute,Misn06Mission,0x124070,0x524070,0.6509,688.01,,
0x004494e8,Execute,Misns8Mission,0x165f80,0x565f80,0.6671,660.66,,
0x00420d80,Execute,Misn04Mission,0x119ab0,0x519ab0,0.6585,564.94,,
0x0043eeef,Execute,Misns1Mission,0x152a20,0x552a20,0.7309,486.56,,
0x00440799,Execute,Misns2Mission,0x155a20,0x555a20,0.6811,478.72,,
0x004461f7,Execute,Misns7Mission,0x15fca0,0x55fca0,0.5573,473.92,,
0x0043d7e6,Execute,Misn18Mission,0x14fe40,0x54fe40,0.6913,444.32,,
0x0042de61,Execute,Misn09Mission,0x1321d0,0x5321d0,0.6302,406.25,,
0x0043b193,Execute,Misn17Mission,0x14b010,0x54b010,0.6167,360.05,,
0x0041e8a4,Execute,Misn03Mission,0x1156d0,0x5156d0,0.5611,333.22,,
0x005b9f77,symbexec,Global,0x42e24d,0x82e24d,0.7103,330.09,,
0x0042c051,Execute,Misn08Mission,0x12e340,0x52e340,0.5422,282.82,,
0x0051480a,Mutils_MakeFileName,Global,0x29e880,0x69e880,0.8449,223.33,,
0x004bc5dd,giddi_describe_device,Global,0x221b90,0x621b90,0.6945,209.74,,
0x005b8181,luaO_chunkid,Global,0x42e741,0x82e741,0.9777,206.22,0x29c830,0.5136
0x005b8a1b,luaD_precall,Global,0x42f2d3,0x82f2d3,0.9410,200.75,,
0x00524eb9,GetKeyString,Global,0x387660,0x787660,0.9394,180.49,,
0x004bca1b,giddi_open,Global,0x2223a0,0x6223a0,0.7219,178.40,,
0x00404d1e,CellIsSlope,Global,0x68450,0x468450,0.8911,172.57,0x68890,0.5242
0x005bca33,rehash,Global,0x4312f6,0x8312f6,0.8477,170.50,,
0x005b8f76,traversetable,Global,0x43085a,0x83085a,0.7944,166.11,,
0x005b855f,adjust_varargs,Global,0x42ed3d,0x82ed3d,0.9720,165.92,,
0x00439939,Execute,Misn15Mission,0x147f20,0x547f20,0.5026,160.18,,
0x005c7540,_alldiv,Global,0x444250,0x844250,1.0000,158.41,0x4443d0,0.6968
0x005c3bf2,close_func,Global,0x439c1c,0x839c1c,0.9980,155.96,,
0x004bbd49,read_mapping_table,Global,0x220010,0x620010,0.5363,154.03,,
0x004d8280,DoControlObject,PathDisplay,0x19add0,0x59add0,0.5869,151.39,,
0x005b9100,traverseproto,Global,0x4306e5,0x8306e5,0.9437,151.06,,
0x0053b465,Simulate,TargetingGun,0x1dfcb0,0x5dfcb0,0.5697,147.81,,
0x005c573d,LoadDebug,Global,0x43b96c,0x83b96c,0.9129,144.76,0x43b7e1,0.6193
0x004bdc8b,ProcessMouseRawInput,Global,0x357d0,0x4357d0,0.9850,141.97,,
0x00483f73,MCuse_nonpack_item,Global,0x81b80,0x481b80,0.6289,135.98,,
0x00539ea7,Simulate,SpecialItem,0x1d9990,0x5d9990,0.7361,135.04,,
0x004b9750,test_cheat_codes,Global,0x21d2d0,0x61d2d0,0.6918,133.92,,
0x00535a17,OrdnanceClass,OrdnanceClass,0x186440,0x586440,0.5421,133.36,,
0x0051a8fd,Prepare_Goals,Scheduler,0x2a6910,0x6a6910,0.7593,132.58,,
0x0051b2ab,Update_Squads,Scheduler,0x2a79a0,0x6a79a0,0.8060,130.53,,
0x00539d15,Hit,SniperShell,0x1d6e00,0x5d6e00,0.7651,129.90,,
0x005c373a,indexupvalue,Global,0x43a84e,0x83a84e,0.9726,126.22,,
0x004b371d,Simulate,Tug,0x1eca60,0x5eca60,0.6261,125.08,,
0x0051b765,Clean_Up,Scheduler,0x2a7f10,0x6a7f10,0.6562,122.66,,
0x00405427,ProcessCliffs,Global,0x69d90,0x469d90,0.8279,121.01,,
0x005c3883,singlevaraux,Global,0x43b3a9,0x83b3a9,1.0000,120.40,,
0x005b91b6,traverseclosure,Global,0x430650,0x830650,1.0000,120.12,,
0x0051a40f,Squad_Unit_Is_Appropriate,Global,0x2a46b0,0x6a46b0,0.7068,118.68,,
0x004a7355,UnPackTempState,Person,0x1a18a0,0x5a18a0,0.5367,117.91,,
0x005bf2b5,db_errorfb,Global,0x436f9e,0x836f9e,0.7454,117.81,,
0x005c3f80,constructor,Global,0x439e40,0x839e40,0.7956,117.55,,
0x0051ab86,Init_Subscheduling,Scheduler,0x2a6da0,0x6a6da0,0.5873,113.35,,
0x0050a212,AI_Team_Trigger_Rapid_Base_Defense,Global,0x296f00,0x696f00,0.6750,113.27,,
0x0045d681,InitState,ScavengerProcess,0x1c4490,0x5c4490,0.5806,112.82,,
0x005c6b17,luaK_posfix,Global,0x43cafa,0x83cafa,0.9336,112.02,,
0x004c1b2e,DrawGeom,BoundingBox,0x99e40,0x499e40,0.6465,110.63,,
0x005bcb69,newkey,Global,0x43120f,0x83120f,0.8059,110.36,,
0x005144a3,Compute_Matching_Value,Mapgrid_Goal,0x29e200,0x69e200,0.7094,110.32,0x29e520,0.6352
0x00585d02,_lzo_config_check,Global,0x42ad20,0x82ad20,0.6695,110.31,,
0x005b8e1b,reallymarkobject,Global,0x430437,0x830437,1.0000,109.37,,
0x005bc8e2,resize,Global,0x431491,0x831491,0.8130,109.07,,
0x00514640,Compute_Raw_Priority,Mapgrid_Goal,0x29e520,0x69e520,0.8317,108.90,0x29e200,0.6406
0x005bdafd,read_numeral,Global,0x4392cf,0x8392cf,0.9194,106.74,,
0x00530948,Control,Launcher,0xf7fe0,0x4f7fe0,0.6816,106.49,,
0x00534aac,Init,Ordnance,0x184fe0,0x584fe0,0.5010,106.15,,
0x0052a98b,Simulate,BeamGun,0x7b9d0,0x47b9d0,0.5577,105.96,,
0x0044c7ef,UpdatePosition,GameObject,0xdb100,0x4db100,0.7576,105.95,,
0x0052d7cb,Simulate,Dispenser,0xb5da0,0x4b5da0,0.6275,104.00,,
0x00472c3c,BoxSphere,Global,0x423d0,0x4423d0,0.5493,103.59,,
0x00537689,Simulate,RadarLauncher,0x1b2010,0x5b2010,0.6568,103.46,0xf82d0,0.5373
0x004964d3,GameObject_Simulate,Global,0xdeec0,0x4deec0,0.5595,103.27,,
0x005c3a5e,pushclosure,Global,0x43ae74,0x83ae74,0.8959,102.74,,
0x00498d9c,Build,GameObjectClass,0xe1190,0x4e1190,0.5275,102.55,,
0x004bac60,simulate_analog,Global,0x220d10,0x620d10,0.6250,102.55,,
0x0042648c,Setup,Misn06Mission,0x1233b0,0x5233b0,1.0000,102.47,0x119310,0.5595
0x005c0edb,str_format,Global,0x435411,0x835411,0.5652,102.24,,
0x0054ccd3,movie_open,Global,0x29e880,0x69e880,0.5504,102.17,0x29c830,0.5011
0x004bddb7,giddi_read_channels,Global,0x223b20,0x623b20,0.6517,101.15,,
0x0050a79f,AI_Team_Find_Units,Global,0x2955e0,0x6955e0,0.9475,100.28,,
0x005367b1,Simulate,PopperGun,0x1a6f70,0x5a6f70,0.7066,100.12,,
0x005c0d4a,addquoted,Global,0x435822,0x835822,1.0000,99.68,,
0x004fbd16,ClipSprite,Global,0x28bf30,0x68bf30,0.8727,99.20,,
0x004a6e06,RegCollision,Person,0x1a1550,0x5a1550,0.5531,99.11,,
0x0053201e,Control,Missile,0x16a520,0x56a520,0.7543,98.48,,
0x00514056,Classify_Goal,Mapgrid_Goal,0x29da00,0x69da00,0.9302,97.89,,
0x005bcc7c,luaS_resize,Global,0x430af4,0x830af4,0.9510,97.11,,
0x00537b3e,Simulate,RemoteDetonator,0x1b8ff0,0x5b8ff0,0.5440,97.03,,
0x005b991b,singlestep,Global,0x4304dc,0x8304dc,0.9056,96.60,,
0x005b8ee5,luaC_separateudata,Global,0x43018d,0x83018d,0.9915,96.37,,
0x00518213,ScheduleGlue_Get_New_Patrol_Coords,Global,0x2a5b70,0x6a5b70,0.5586,96.33,,
0x0050a8cf,AI_Team_Find_Houses,Global,0x295830,0x695830,0.9162,95.79,,
0x005b967c,GCTM,Global,0x42fc7c,0x82fc7c,1.0000,94.93,,
0x005b92a8,traversestack,Global,0x430791,0x830791,0.7829,94.15,,
0x0047ed2d,GetCommand,Armory,0x72da0,0x472da0,0.5515,94.06,0x1aeb30,0.5048
0x00512805,IParse_Parse_File,Global,0x29c830,0x69c830,0.6953,93.20,,
0x0048120d,LinkCopy,Global,0x3bdc0,0x43bdc0,0.6570,92.28,,
0x004162be,Start,Inst4XMission,0xf6c30,0x4f6c30,0.5427,92.05,,
0x00406a85,AvoidObject,Global,0x643e0,0x4643e0,0.7134,91.63,,
0x00511e5a,IParse_Next_Symbol,Global,0x29b970,0x69b970,0.6821,91.57,,
0x004595bc,DoState,RecyclerProcess,0x74860,0x474860,0.5318,89.68,0x1b41d0,0.5055
0x0053bc14,Simulate,TeamSwitcher,0x1e16f0,0x5e16f0,0.7416,89.67,0x1e07b0,0.5142
0x0046d84d,Execute,UnitTask,0x2002a0,0x6002a0,0.7723,89.24,,
0x004d6bb9,DrawBuildMenu,PathDisplay,0x19b550,0x59b550,0.5309,89.13,,
0x005b672f,lua_setmetatable,Global,0x42d16f,0x82d16f,0.9646,88.99,0x42d08e,0.5024
0x004c2ab9,Render,BoundingBox,0x99540,0x499540,0.5743,88.90,,
0x0040cf28,DoState,ArmoryProcess,0x74860,0x474860,0.5355,88.70,0x1b41d0,0.5154
0x00466909,DoNear,TugPickup,0x1efe30,0x5efe30,0.5426,88.69,,
0x0053c0b1,UpdateTarget,ThermalLauncher,0x1e1ea0,0x5e1ea0,0.5647,87.31,,
0x004a7011,PackTempState,Person,0x1a1e80,0x5a1e80,0.5014,87.21,,
0x004aed1c,Simulate,Scavenger,0x1c2720,0x5c2720,0.5327,87.01,,
0x005bc2bf,luaH_next,Global,0x430fbd,0x830fbd,0.7368,86.17,,
0x0044f1b0,ProcessStrip,Global,0x191510,0x591510,0.7510,85.81,,
0x005baad6,traceexec,Global,0x4333ea,0x8333ea,0.9636,85.65,,
0x005b984e,atomic,Global,0x42fd56,0x82fd56,0.7497,85.59,,
0x00414742,DoStateProlog,GoPoints,0xe74f0,0x4e74f0,0.6198,85.54,,
0x005beae8,db_getinfo,Global,0x437292,0x837292,0.7246,85.54,,
0x00468e3f,DoState,UnitProcess,0x1faac0,0x5faac0,0.8250,84.91,0x1fa7c0,0.5492
0x005b877c,luaD_poscall,Global,0x42f246,0x82f246,1.0000,84.88,,
0x005c3b43,open_func,Global,0x43abfa,0x83abfa,1.0000,84.11,,
0x00405039,CellIsSteep,Global,0x68890,0x468890,0.9058,84.10,0x68980,0.9058
0x004050e5,CellIsCliff,Global,0x68890,0x468890,0.9058,84.10,0x68980,0.9058
0x00480f7e,DSParseWaveResource,Global,0x3c9d0,0x43c9d0,0.7576,84.09,,
0x005b6e91,luaL_findtable,Global,0x42bc6c,0x82bc6c,1.0000,83.96,,
0x005c017a,matchbracketclass,Global,0x435f1e,0x835f1e,0.9200,83.57,,
0x005bcf72,luaF_findupval,Global,0x42f9ac,0x82f9ac,0.9694,83.22,,
0x005b6345,lua_pushcclosure,Global,0x42cc15,0x82cc15,1.0000,82.71,,
0x0050b4c4,AIBuildListGeneratePriorityLevel_RATIO_TO_HAVE,Global,0x291450,0x691450,0.6385,82.51,0x291660,0.5197
0x0050aa33,AI_Team_Update_Team_Strategy,Global,0x296380,0x696380,0.6817,81.94,,
0x00459408,InitState,RecyclerProcess,0x1b3cb0,0x5b3cb0,0.5862,81.32,,
0x00514283,Compute_Needed_Troop_Flow,Mapgrid_Goal,0x29de50,0x69de50,0.6137,81.30,,
0x0045c34d,DoState,SAVAttackPersonTask,0x1c0160,0x5c0160,0.6052,80.67,,
0x004d5097,DoControlPlan,PathDisplay,0x1983a0,0x5983a0,0.6260,80.63,,
0x00511a18,IParse_Fill_Individual_Field,Global,0x29b1f0,0x69b1f0,0.6497,80.17,,
0x0050bbae,AIBuild_ResourceClosestBuildable,Global,0x292030,0x692030,0.8061,79.55,,
0x005091a9,AI_Team_Update_Scouted,Global,0x296080,0x696080,0.8089,78.98,,
0x004aa9af,Load,Producer,0x1afb30,0x5afb30,0.5441,78.94,,
0x004aa540,Producer,Producer,0x1abab0,0x5abab0,0.5304,78.76,,
0x005b69d5,lua_gc,Global,0x42c70b,0x82c70b,1.0000,78.51,,
0x005c6e10,_ftol2_sse,Global,0x43f040,0x83f040,1.0000,78.45,0x43f076,0.8464
0x0051b0c3,Free_Undercommitted_Troops,Scheduler,0x2a7680,0x6a7680,0.5509,78.29,,
0x005bcdbd,luaS_newlstr,Global,0x4309f4,0x8309f4,0.7613,78.29,,
0x005bdbdd,skip_sep,Global,0x43966e,0x83966e,0.9498,77.93,0x43893c,0.5666
0x005bd3d0,DumpConstants,Global,0x431798,0x831798,0.9631,77.88,,
0x00476aeb,Line_Clip_Polygon,Global,0x215560,0x615560,0.5804,77.56,,
0x0042949d,Setup,Misn07Mission,0x1291d0,0x5291d0,0.8472,77.10,0x13ad00,0.7627
0x0040c072,DoState,APCAttack,0x720c0,0x4720c0,0.5782,76.52,,
0x0051175a,IParse_Parse_Pound_Define,Global,0x29aab0,0x69aab0,0.7615,76.30,,
0x004909f2,Close,CWaveFile,0x39b20,0x439b20,0.8937,76.18,,
0x004cc356,ProcessWorldMap,EditTerrain,0xc64f0,0x4c64f0,0.6826,75.50,,
0x00518615,UnitAttachment,UnitAttachment,0x2a0fa0,0x6a0fa0,0.6552,75.50,,
0x004b1672,HandleWaveStreamNotification,CStreamingOggSound,0x16aa0,0x416aa0,0.7122,74.90,,
0x00541d2e,Radar_PolyLines,Global,0x3fb30,0x43fb30,0.5965,74.83,,
0x004d6e1e,DrawTeamMenu,PathDisplay,0x19b980,0x59b980,0.5406,74.49,,
0x00495c05,WriteObject,Global,0xdce70,0x4dce70,0.5639,74.30,,
0x005114fb,IParse_Parse_Char,Global,0x29a480,0x69a480,0.5137,74.18,,
0x00530b0a,Simulate,Launcher,0xf82d0,0x4f82d0,0.6757,73.97,,
0x005ba79d,lua_getinfo,Global,0x42e08b,0x82e08b,0.8909,73.46,,
0x005b959a,sweeplist,Global,0x4305c7,0x8305c7,0.9776,73.41,,
0x005b9373,propagatemark,Global,0x430353,0x830353,0.6993,73.25,,
0x0041721b,BuildAxisRotationMatrix,Global,0x1010f0,0x5010f0,0.8622,73.21,0x101240,0.7185
0x00513d59,Mapgrid_IterateOverlaysInPixelRect,Global,0x29d630,0x69d630,0.5948,73.19,,
0x004f9b94,Clip_Pane,Global,0x28f360,0x68f360,0.7000,73.11,,
0x005c639c,discharge2reg,Global,0x43c185,0x83c185,0.8757,73.07,,
0x0059f8d0,vorbis_comment_add_tag,Global,0x387660,0x787660,0.5589,73.01,0x29c830,0.5365
0x00486c3f,RegCollision,Craft,0xa88b0,0x4a88b0,0.6485,72.78,,
0x00530343,UpdateTarget,ImageLauncher,0xf2210,0x4f2210,0.5636,72.34,,
0x005c0a1a,add_s,Global,0x4356a9,0x8356a9,0.8686,72.10,,
0x004dce65,updown_callback,Global,0x225070,0x625070,1.0000,71.75,,
0x005b9e2e,collectvalidlines,Global,0x42da0c,0x82da0c,1.0000,71.55,,
0x00512697,IParse_Get_Runtime_Struct_Field,Global,0x29c4d0,0x69c4d0,0.5469,71.38,,
0x005b99f9,luaC_step,Global,0x430222,0x830222,1.0000,70.93,,
0x004bc3d3,SetJoystickClassName,Global,0x223810,0x623810,0.7905,70.71,,
0x0041a247,MAT_3D_NewIndex,Global,0x1087f0,0x5087f0,0.6518,70.69,0x107b80,0.5284
0x0040cd58,InitState,ArmoryProcess,0x74300,0x474300,0.5214,70.60,,
0x004ca0f4,ScreenToWorld,EditTerrain,0xc7010,0x4c7010,0.7141,69.91,,
0x0044fab0,Remove,"Heap_Class<Strip_*,float>",0x192c50,0x592c50,0.6928,69.73,,
0x005c6e46,_ftol2,Global,0x43f076,0x83f076,1.0000,69.61,0x43f040,0.8464
0x005075a4,AI_SpentCreditRefund,Global,0x290020,0x690020,0.8530,69.51,,
0x00582455,TextInput_SetPrompt,Global,0x423470,0x823470,0.8118,69.16,,
0x005b67b8,lua_setfenv,Global,0x42d08e,0x82d08e,1.0000,69.05,0x42c7d3,0.5856
0x005bcd2b,newlstr,Global,0x430bc0,0x830bc0,0.9029,69.03,,
0x0050b60f,AIBuildListGeneratePriorityLevel_RATIO_TO_BUILD,Global,0x291660,0x691660,0.6071,68.82,0x291450,0.5206
0x005bafa0,l_strcmp,Global,0x431e54,0x831e54,1.0000,68.52,,
0x005b7cc7,lua_newstate,Global,0x42d752,0x82d752,0.8208,68.44,,
0x004a96d0,PackTempState,PowerUp,0x1aaa20,0x5aaa20,0.6007,68.22,,
0x0049f64d,GetCommand,Howitzer,0xf0dd0,0x4f0dd0,0.6225,68.10,0x72da0,0.5055
0x0049cc94,PackTempState,HoverCraft,0xef640,0x4ef640,0.6252,67.97,0x20fa60,0.6208
0x00468746,Say,Global,0x1f91e0,0x5f91e0,0.6538,67.74,,
0x004a33da,Get,ParameterDB,0x189ab0,0x589ab0,0.7304,67.41,,
0x004904ed,RestoreBuffer,CSound,0x3d6c0,0x43d6c0,1.0000,67.33,0x394a0,0.8986
0x005b887e,f_parser,Global,0x42ef6c,0x82ef6c,0.7797,67.32,,
0x0045bbc8,DoSubTask,SAVProcess,0x1bfba0,0x5bfba0,0.5673,67.24,,
0x005b60fa,lua_tolstring,Global,0x42d377,0x82d377,1.0000,66.90,,
0x0050924c,AI_Team_Update_Squads,Global,0x296170,0x696170,0.6214,66.52,,
0x0041730f,BuildPositionRotationMatrix,Global,0x101240,0x501240,0.7576,66.49,0x1010f0,0.7369
0x004d5c13,DrawGoals,PathDisplay,0x1962a0,0x5962a0,0.6378,66.11,,
0x0047def4,GetCommand,APC,0x70d10,0x470d10,0.6940,65.89,0x1aeb30,0.6802
0x005c486a,check_conflict,Global,0x439ad3,0x839ad3,1.0000,65.66,,
0x004c9cab,MoveCamera,EditTerrain,0xc6760,0x4c6760,0.5261,65.58,,
0x004bdacb,ProcessMouseMessages,Global,0x35400,0x435400,0.5325,65.46,,
0x004be002,GetCommand,ActionMode,0x5bbe0,0x45bbe0,0.5765,65.41,,
0x004ae9bc,GetCommand,Scavenger,0x1aeb30,0x5aeb30,0.6863,64.72,0x1f5d10,0.6739
0x00480e45,ConvertUserGPI,Global,0x3b110,0x43b110,0.9076,64.65,,
0x00485e42,Load,Craft,0xa7ff0,0x4a7ff0,0.5636,64.60,,
0x004812ef,UnlinkCopy,Global,0x3bf80,0x43bf80,0.9321,64.33,,
0x0040ff6c,Collision_Configure,Global,0x9af40,0x49af40,0.8347,64.29,,
0x0052c432,Simulate,Cannon,0x1a6f70,0x5a6f70,0.5543,63.84,,
0x005b97b7,markroot,Global,0x4302c4,0x8302c4,0.9497,63.81,,
0x004908d7,Read,CWaveFile,0x39930,0x439930,0.6107,63.77,,
0x005baeb2,get_compTM,Global,0x431dd4,0x831dd4,0.8417,63.67,,
0x004ecebd,Obj76_Bounding_Box,Global,0x22e3f0,0x62e3f0,0.5821,63.58,,
0x005c6e2c,_ftol2_sse_excpt,Global,0x43f040,0x83f040,0.8214,63.58,0x43f076,0.7981
0x004a7274,GetRank,Person,0x1a22c0,0x5a22c0,0.6106,63.13,,
0x00509f40,AI_Team_Recruit_Single_Neighbor,Global,0x296a70,0x696a70,0.8514,63.08,,
0x00475be1,PointBox,Global,0x45d90,0x445d90,0.5077,62.79,,
0x004ccca7,CmdSetBell,EditTerrain,0xc49a0,0x4c49a0,0.5681,62.59,0xc4bc0,0.5557
0x004cce4c,CmdAddBell,EditTerrain,0xc49a0,0x4c49a0,0.5681,62.59,0xc4bc0,0.5557
0x004ab194,GetCommand,Producer,0x1aeb30,0x5aeb30,0.6609,62.55,0x1f5d10,0.6483
0x0041a455,MAT_3D_Mul,Global,0x108b80,0x508b80,0.8449,62.47,0x1014a0,0.5957
0x005bc701,luaH_get,Global,0x430de6,0x830de6,1.0000,62.36,,
0x0053212c,Simulate,Missile,0x16a7a0,0x56a7a0,0.6621,62.20,,
0x004b519a,GetCommand,TurretTank,0x1aeb30,0x5aeb30,0.6655,62.19,0x1f5d10,0.6520
0x005083d9,AI_UnitRemove,Global,0x28fc60,0x68fc60,0.7090,61.96,0x28fb10,0.5019
0x004ecca6,obj_rel_parent_matrix,Global,0x22e070,0x62e070,0.7754,61.78,,
0x00448af3,Setup,Misns8Mission,0x164d00,0x564d00,1.0000,61.75,0x131730,0.9954
0x004d3676,ClickedOn,OverView,0x1879e0,0x5879e0,0.5593,61.37,,
0x005bd037,luaF_close,Global,0x42f92f,0x82f92f,0.9752,61.24,,
0x004588d0,Search,Range,0x1b2950,0x5b2950,0.6148,61.21,,
0x004f04ab,Camera_Bounding_Sphere_Test,Global,0x2895d0,0x6895d0,0.6816,60.98,,
0x005b84a5,luaD_callhook,Global,0x42f0d6,0x82f0d6,0.9391,60.78,,
0x0044d2cd,Update,MultSTMission,0x16f3a0,0x56f3a0,0.5700,60.73,,
0x005279f4,read_record_info,Global,0x426df0,0x826df0,0.5777,60.67,,
0x005c61d0,luaK_nil,Global,0x43c9f3,0x83c9f3,0.8326,60.58,,
0x00537586,UpdateTarget,RadarLauncher,0x1b1e10,0x5b1e10,0.5909,60.48,,
0x005c68a4,codenot,Global,0x43bf3d,0x83bf3d,0.9201,60.44,,
0x00409905,NearestVehicle,Global,0x63fc0,0x463fc0,0.5755,60.40,,
0x004b4da6,UpdateWeaponAim,TurretTank,0x1f27b0,0x5f27b0,0.5190,60.35,,
0x005b9f36,checkArgMode,Global,0x42d9b5,0x82d9b5,1.0000,60.21,,
0x004b6f65,PackTempState,Walker,0x20fa60,0x60fa60,0.6106,60.09,0xef640,0.5802
0x0041e283,Setup,Misn03Mission,0x114b40,0x514b40,0.9197,60.02,0x12dbf0,0.8616
0x004e0cc5,RecordDeath,NetPlayer,0x177290,0x577290,0.7995,59.76,,
0x0050a19d,AI_Team_End_Rapid_Base_Defense,Global,0x296e40,0x696e40,0.9123,59.70,,
0x005b6bbf,aux_upvalue,Global,0x42c405,0x82c405,0.8582,59.46,,
0x005c647e,exp2reg,Global,0x43c26e,0x83c26e,0.7909,59.43,,
0x00488ec4,GetCommand,Craft,0xae110,0x4ae110,0.6750,59.35,0xf0dd0,0.5790
0x004ec90c,create_obj,Global,0x22ccc0,0x62ccc0,0.6225,59.18,,
0x005b9491,cleartable,Global,0x42fe9e,0x82fe9e,0.5632,59.15,,
0x0049c61f,CleanupSound,HoverCraft,0xee8f0,0x4ee8f0,0.9277,58.90,0x1e4740,0.5387
0x0044d284,SetMostRecentKilled,MultSTMission,0x16f320,0x56f320,0.9886,58.64,0x16c690,0.6396
0x005b658f,lua_getfenv,Global,0x42c7d3,0x82c7d3,1.0000,58.34,0x42d08e,0.5856
0x00582074,SetLoopTimes,Global,0x422ae0,0x822ae0,0.5463,58.27,,
0x005b6f8f,adjuststack,Global,0x42b690,0x82b690,0.9957,58.24,,
0x005b8c2e,resume,Global,0x42f7e4,0x82f7e4,1.0000,58.18,,
0x005b6669,lua_rawset,Global,0x42ced4,0x82ced4,1.0000,58.14,0x42cf37,0.7593
0x005c529c,statement,Global,0x43b46f,0x83b46f,0.8476,58.13,,
0x005c00c0,match_class,Global,0x435e4f,0x835e4f,0.8453,58.12,,
0x004ec5d7,delete_obj,Global,0x22cfe0,0x62cfe0,0.7230,58.05,0x22d200,0.5577
0x0044f9e0,Pop,"Heap_Class<Strip_*,float>",0x192af0,0x592af0,0.6567,57.96,,
0x005b66cb,lua_rawseti,Global,0x42cf37,0x82cf37,1.0000,57.95,0x42ced4,0.7593
0x0044f940,Push,"Heap_Class<Strip_*,float>",0x1929e0,0x5929e0,0.6737,57.84,,
0x005b961b,checkSizes,Global,0x42fe33,0x82fe33,0.9861,57.83,,
0x005b5b82,index2adr,Global,0x42c4a6,0x82c4a6,0.7889,57.81,,
0x005202f7,FacesIn,Global,0x3816d0,0x7816d0,0.8956,57.59,0x440d0,0.5044
0x0048220e,StartGASObject,Global,0x3ad20,0x43ad20,0.7434,57.47,,
0x00403223,Save,AiPath,0x60c20,0x460c20,0.5631,57.28,,
0x005c6602,luaK_exp2RK,Global,0x43c706,0x83c706,0.7582,57.28,,
0x005c48c2,assignment,Global,0x439805,0x839805,0.6731,57.16,,
0x0051af82,Match_Resources_One_Pass,Scheduler,0x2a7440,0x6a7440,0.5085,57.11,,
0x005c5ea8,luaK_setreturns,Global,0x43ce76,0x83ce76,0.8724,56.60,0x43ce20,0.5460
0x004d0d11,GenerateBoltSegs,LightningFeature,0xfb0d0,0x4fb0d0,0.5330,56.55,,
0x0054ca6b,Build_Directinal_Matrix,Global,0x41fa10,0x81fa10,0.6777,56.47,,
0x005c7a10,_FindPESection,Global,0x43f290,0x83f290,1.0000,56.36,,
0x005c1583,tconcat,Global,0x434844,0x834844,0.9354,56.11,,
0x005c66b1,luaK_storevar,Global,0x43cef1,0x83cef1,1.0000,55.97,,
0x00469b98,InitGoto,UnitProcess,0x1fb500,0x5fb500,0.5974,55.91,,
0x005b86a7,tryfuncTM,Global,0x42f8a7,0x82f8a7,0.7524,55.86,,
0x00415d3b,Update,Inst03Mission,0x10aa10,0x50aa10,0.5040,55.80,,
0x0041aee0,Update,LuaMission,0x10aa10,0x50aa10,0.5040,55.80,,
0x0044bfa4,Update,MultDMMission,0x10aa10,0x50aa10,0.5040,55.80,,
0x0044f050,CreateStrip,Global,0x1912f0,0x5912f0,0.7713,55.74,,
0x005bd9b0,luaX_setinput,Global,0x439037,0x839037,0.9444,55.62,,
0x0041b521,Matches,LuaMissionClass,0x10b460,0x50b460,0.8369,55.55,0xf6640,0.5016
0x005b7ed8,luaO_str2d,Global,0x42eb45,0x82eb45,0.8107,55.49,,
0x00403347,SetPoints,AiPath,0x60e90,0x460e90,0.6777,55.36,,
0x0046ac51,InitGoto,UnitTask,0x201070,0x601070,0.6754,55.28,,
0x005c3977,adjust_assign,Global,0x43975c,0x83975c,0.9862,55.10,,
0x004a8f04,PowerUp,PowerUp,0x1a79f0,0x5a79f0,0.7574,54.92,,
0x00521eff,SelectTerrainView,Global,0x380800,0x780800,0.6655,54.90,,
0x00419d85,VECTOR_3D_NewIndex,Global,0x107b80,0x507b80,1.0000,54.83,0x107aa0,0.6097
0x005bd46e,DumpDebug,Global,0x431856,0x831856,0.7123,54.83,,
0x005b6adc,lua_concat,Global,0x42c61c,0x82c61c,1.0000,54.77,,
0x005c2f11,luaB_tostring,Global,0x433da3,0x833da3,0.8563,54.51,,
0x005bab60,callTMres,Global,0x431c7a,0x831c7a,0.8664,54.50,0x431bea,0.7904
0x004d60c3,DrawColorMenu,PathDisplay,0x1973d0,0x5973d0,0.5425,54.34,,
0x005bd283,luaZ_read,Global,0x42ecf4,0x82ecf4,1.0000,54.33,,
0x004ecdea,Obj76_Get_Radius,Global,0x22e2b0,0x62e2b0,0.5711,54.27,,
0x00457bd7,DoUState1,PersonProcess,0x1a46d0,0x5a46d0,0.7192,54.24,,
0x00481361,IncCopy,Global,0x3c070,0x43c070,0.9393,54.24,0x3c120,0.9036
0x005b5c40,lua_checkstack,Global,0x42c5be,0x82c5be,0.9962,54.07,,
0x004a8dc1,GetRank,PowerUp,0x1ab0e0,0x5ab0e0,0.6352,53.76,,
0x0040bff3,InitState,APCAttack,0x71f40,0x471f40,0.7589,53.58,,
0x0044c237,Respawn,MultDMMission,0x16c7c0,0x56c7c0,0.5086,53.17,,
0x0041b743,StartSound,Global,0xff960,0x4ff960,0.8420,53.12,,
0x005b952f,freeobj,Global,0x42ff43,0x82ff43,1.0000,53.10,,
0x005118b5,IParse_Append_Field_To_Structure,Global,0x29adb0,0x69adb0,0.6627,53.02,,
0x0045736e,PersonStraight,PersonStraight,0x1a4fb0,0x5a4fb0,0.6897,52.97,,
