legacy_va,legacy_name,legacy_namespace,redux_rva,redux_va,similarity,significance,rank2_rva,rank2_similarity
0x00405d7d,get_obj_vhcl,Global,0x5c4f0,0x45c4f0,0.5585,10.32,0x42c2ac,0.5390
0x0050adf4,AIBuild_UnassignedCCGet,Global,0x3beed0,0x7beed0,0.5144,10.32,,
0x0053061d,UpdateTarget,ImageMissile,0x16a4e0,0x56a4e0,0.5570,10.31,,
0x0052c3a9,Cannon,Cannon,0x1c4050,0x5c4050,0.5555,10.30,,
0x0052d742,Dispenser,Dispenser,0x1c4050,0x5c4050,0.5555,10.30,,
0x00536728,PopperGun,PopperGun,0x1c4050,0x5c4050,0.5555,10.30,,
0x0040498e,Dot_Product,Global,0x3c550,0x43c550,0.5392,10.28,0x62160,0.5056
0x0044d0cc,MultSTMission,MultSTMission,0x1f9350,0x5f9350,0.5985,10.28,,
0x00482527,Init,Barracks,0x796f0,0x4796f0,0.5436,10.28,,
0x0050506d,GDI_Blit,Global,0x17e20,0x417e20,0.5373,10.28,,
0x0054a2df,isHanKataOpening,Global,0x42d4b1,0x82d4b1,0.5228,10.27,,
0x0053dbab,Init,Tracer,0x7a3d0,0x47a3d0,0.5184,10.26,,
0x004958a9,SetWhoIShot,GameObject,0xdc2c0,0x4dc2c0,0.6286,10.23,,
0x0052a8b4,Trigger,BeamGun,0x1dfb50,0x5dfb50,0.6286,10.23,0x8ef70,0.6286
0x0052c373,Trigger,Cannon,0x1dfb50,0x5dfb50,0.6286,10.23,0x8ef70,0.6286
0x0052d6fa,Trigger,Dispenser,0x1dfb50,0x5dfb50,0.6286,10.23,0x8ef70,0.6286
0x0052dc72,Explosion_GetDamage,Global,0x7a3d0,0x47a3d0,0.5072,10.23,,
0x005307c9,Trigger,Launcher,0x1dfb50,0x5dfb50,0.6286,10.23,0x8ef70,0.6286
0x0053260c,Trigger,ObjectLobber,0x1dfb50,0x5dfb50,0.6286,10.23,0x8ef70,0.6286
0x005366f2,Trigger,PopperGun,0x1dfb50,0x5dfb50,0.6286,10.23,0x8ef70,0.6286
0x0053b091,Trigger,TargetingGun,0x1dfb50,0x5dfb50,0.6286,10.23,0x8ef70,0.6286
0x0053b189,Cleanup,LeaderRound,0x43b57b,0x83b57b,0.5811,10.23,0x3ce730,0.5962
0x00468732,IsSelectMsg,Global,0x263d10,0x663d10,0.5372,10.21,0x1f91b0,0.5425
0x004bff46,"_Pop_heap<RadarItem_*,int,RadarItem>",std,0x39d80,0x439d80,0.5066,10.20,0x405040,0.5477
0x004152d4,empty,"std::vector<Scrap_*,std::allocator<Scrap_*>_>",0x42c8f6,0x82c8f6,0.6278,10.19,0x23eb0,0.6278
0x0044c348,empty,"std::vector<SpawnPoint_*,std::allocator<SpawnPoint_*>_>",0x42c8f6,0x82c8f6,0.6278,10.19,0x23eb0,0.6278
0x0044f3a0,empty,"std::vector<Strip_*,std::allocator<Strip_*>_>",0x42c8f6,0x82c8f6,0.6278,10.19,0x23eb0,0.6278
0x0047c87a,empty,"std::vector<AnimSprite_*,std::allocator<AnimSprite_*>_>",0x42c8f6,0x82c8f6,0.6278,10.19,0x23eb0,0.6278
0x0049950a,empty,"std::vector<GameObjectClass_*,std::allocator<GameObjectClass_*>_>",0x42c8f6,0x82c8f6,0.6278,10.19,0x23eb0,0.6278
0x004e3ecd,empty,"std::vector<ScorePlayer_*,std::allocator<ScorePlayer_*>_>",0x42c8f6,0x82c8f6,0.6278,10.19,0x23eb0,0.6278
0x005147c0,Mapgrid_Goal,Mapgrid_Goal,0x297340,0x697340,0.5325,10.19,0x2f7400,0.5539
0x00516e1a,empty,"std::vector<ObjectClassInfo_*,std::allocator<ObjectClassInfo_*>_>",0x42c8f6,0x82c8f6,0.6278,10.19,0x23eb0,0.6278
0x00516e59,empty,"std::vector<GridPoint,std::allocator<GridPoint>_>",0x42c8f6,0x82c8f6,0.6278,10.19,0x23eb0,0.6278
0x0052eb14,empty,"std::vector<ExplosionClass_*,std::allocator<ExplosionClass_*>_>",0x42c8f6,0x82c8f6,0.6278,10.19,0x23eb0,0.6278
0x0053514d,empty,"std::vector<OrdnanceClass_*,std::allocator<OrdnanceClass_*>_>",0x42c8f6,0x82c8f6,0.6278,10.19,0x23eb0,0.6278
0x0053eb51,empty,"std::vector<WeaponClass_*,std::allocator<WeaponClass_*>_>",0x42c8f6,0x82c8f6,0.6278,10.19,0x23eb0,0.6278
0x00551cf8,Type,MapList,0x1c4050,0x5c4050,0.5011,10.19,,
0x00554f44,empty,"std::vector<Player_*,std::allocator<Player_*>_>",0x42c8f6,0x82c8f6,0.6278,10.19,0x23eb0,0.6278
0x00554fc0,empty,"std::vector<PortData_*,std::allocator<PortData_*>_>",0x42c8f6,0x82c8f6,0.6278,10.19,0x23eb0,0.6278
0x0055765b,empty,"std::vector<Server_*,std::allocator<Server_*>_>",0x42c8f6,0x82c8f6,0.6278,10.19,0x23eb0,0.6278
0x0055766f,empty,"std::vector<Session_*,std::allocator<Session_*>_>",0x42c8f6,0x82c8f6,0.6278,10.19,0x23eb0,0.6278
0x0044fdc0,"_Fill<Strip_*_*,Strip_*>",std,0x277900,0x677900,0.5134,10.15,,
0x00451160,"fill<Strip_*_*,Strip_*>",std,0x277900,0x677900,0.5134,10.15,,
0x004edfee,PrecomputeShadowPoly,Global,0x425430,0x825430,0.5750,10.15,0x2bdeb0,0.5101
0x00525117,Flame_Damage_Resolve,Global,0x2ab9e0,0x6ab9e0,0.5670,10.15,0x1c8e90,0.5396
0x004def1b,~Net,Net,0x82800,0x482800,0.6291,10.14,0x2a1ac0,0.6255
0x0059c0a0,ov_test_open,Global,0x1c2250,0x5c2250,0.5532,10.14,0x111c20,0.5532
0x00467599,CleanState,TurretBlastAttack,0x43b6c3,0x83b6c3,0.5390,10.12,,
0x004ace2b,PostLoad,Recycler,0x1b2f70,0x5b2f70,0.5021,10.12,,
0x005b6b65,lua_setallocf,Global,0x42cd45,0x82cd45,0.5455,10.07,0x1b1d60,0.5301
0x005b8e0d,removeentry,Global,0x3cb500,0x7cb500,0.6602,10.06,0xaeb30,0.5072
0x0045b5b4,RescueTask,RescueTask,0x2143d0,0x6143d0,0.5013,10.05,0x9d850,0.5065
0x004671b4,TurretTankProcess,TurretTankProcess,0xf5520,0x4f5520,0.5972,10.03,0x1f6a70,0.5052
0x00469340,CleanRecycle,UnitProcess,0x37450,0x437450,0.5198,10.03,,
0x004dc7f2,DMessage,Global,0x16fcb0,0x56fcb0,0.5639,10.03,,
0x00404bdd,Min,Global,0x3d130,0x43d130,0.6539,10.02,0x6b550,0.6539
0x00404bec,Max,Global,0x3d130,0x43d130,0.6539,10.02,0x6b550,0.6539
0x004d0713,max<long>,Global,0x3d130,0x43d130,0.6539,10.02,0x6b550,0.6539
0x00581c0e,Gradient,Global,0x422940,0x822940,0.5578,10.01,,
0x00401728,what,stdext::exception,0x1f7cc0,0x5f7cc0,0.5706,10.00,0x346610,0.5706
0x0047dcfb,GetMode,ModeList,0x3d74e0,0x7d74e0,0.5511,10.00,,
0x00482bc5,min<int>,Global,0x3d130,0x43d130,0.6592,10.00,0x6b550,0.6592
0x00490c55,min<unsigned_long>,Global,0x227ee0,0x627ee0,0.6592,10.00,,
0x004c186f,min<long>,Global,0x3d130,0x43d130,0.6592,10.00,0x6b550,0.6592
0x0052c7a2,ChargeGun,ChargeGun,0x54020,0x454020,0.5351,10.00,,
