redux_va	apply_name	namespace	api_name	legacy_va	source_tag
0x506e60	GetMapTRNFilename	LuaAPI	GetMapTRNFilename	0x419d0a	regtable+1.5
0x506e80	UseItem	LuaAPI	UseItem		regtable_reduxonly
0x506ef0	ColorFade	LuaAPI	ColorFade		regtable_reduxonly
0x506f80	Cloak	LuaAPI	Cloak		regtable_reduxonly
0x506fb0	Decloak	LuaAPI	Decloak		regtable_reduxonly
0x506fe0	SetCloaked	LuaAPI	SetCloaked		regtable_reduxonly
0x507010	SetDecloaked	LuaAPI	SetDecloaked		regtable_reduxonly
0x507040	IsCloaked	LuaAPI	IsCloaked		regtable_reduxonly
0x507080	EnableAllCloaking	LuaAPI	EnableAllCloaking		regtable_reduxonly
0x5070f0	EnableCloaking	LuaAPI	EnableCloaking		regtable_reduxonly
0x507170	SetName	LuaAPI	SetName		regtable_reduxonly
0x5071b0	GetNearestUnitOnTeam	LuaAPI	GetNearestUnitOnTeam		regtable_reduxonly
0x507380	Hunt	LuaAPI	Hunt		regtable_reduxonly
0x5073c0	PortalOut	LuaAPI	PortalOut		regtable_reduxonly
0x507410	PortalIn	LuaAPI	PortalIn		regtable_reduxonly
0x507460	BuildObjectAtPortal	LuaAPI	BuildObjectAtPortal		regtable_reduxonly
0x5074d0	ActivatePortal	LuaAPI	ActivatePortal		regtable_reduxonly
0x507530	DeactivatePortal	LuaAPI	DeactivatePortal		regtable_reduxonly
0x5075a0	Hide	LuaAPI	Hide		regtable_reduxonly
0x5075d0	UnHide	LuaAPI	UnHide		regtable_reduxonly
0x507600	IsTouching	LuaAPI	IsTouching		regtable_reduxonly
0x507680	IsIn	LuaAPI	IsIn		regtable_reduxonly
0x5076e0	GiveMaxHealth	LuaAPI	GiveMaxHealth		regtable_reduxonly
0x507720	MakeExplosion	LuaAPI	MakeExplosion		regtable_reduxonly
0x5077f0	IsRecycledByTeam	LuaAPI	IsRecycledByTeam		regtable_reduxonly
0x5078d0	IsFollowing	LuaAPI	IsFollowing		regtable_reduxonly
0x507930	GetCargo	LuaAPI	GetCargo		regtable_reduxonly
0x5079b0	Formation	LuaAPI	Formation		regtable_reduxonly
0x507a00	GiveMaxAmmo	LuaAPI	GiveMaxAmmo		regtable_reduxonly
