name,address_va,address_rva,symbol_type,source,namespace
FindNextFileW,85,-4194219,Label,IMPORTED,KERNEL32.DLL
FindFirstFileW,86,-4194218,Label,IMPORTED,KERNEL32.DLL
FindClose,87,-4194217,Label,IMPORTED,KERNEL32.DLL
DeleteFileW,88,-4194216,Label,IMPORTED,KERNEL32.DLL
CreateFileW,89,-4194215,Label,IMPORTED,KERNEL32.DLL
CreateDirectoryW,90,-4194214,Label,IMPORTED,KERNEL32.DLL
GetCurrentProcessId,91,-4194213,Function,IMPORTED,KERNEL32.DLL
GetProcAddress,92,-4194212,Function,IMPORTED,KERNEL32.DLL
GetRawInputData,93,-4194211,Label,IMPORTED,USER32.DLL
GetKeyState,94,-4194210,Function,IMPORTED,USER32.DLL
AttachThreadInput,95,-4194209,Label,IMPORTED,USER32.DLL
GetForegroundWindow,96,-4194208,Function,IMPORTED,USER32.DLL
MapVirtualKeyA,97,-4194207,Function,IMPORTED,USER32.DLL
MessageBoxA,98,-4194206,Function,IMPORTED,USER32.DLL
BringWindowToTop,99,-4194205,Function,IMPORTED,USER32.DLL
RegisterRawInputDevices,100,-4194204,Label,IMPORTED,USER32.DLL
CallWindowProcA,101,-4194203,Function,IMPORTED,USER32.DLL
FindWindowA,102,-4194202,Function,IMPORTED,USER32.DLL
GetWindowThreadProcessId,103,-4194201,Function,IMPORTED,USER32.DLL
MsgWaitForMultipleObjects,104,-4194200,Function,IMPORTED,USER32.DLL
SetCursor,105,-4194199,Label,IMPORTED,USER32.DLL
SetForegroundWindow,106,-4194198,Label,IMPORTED,USER32.DLL
GetFocus,107,-4194197,Function,IMPORTED,USER32.DLL
SetFocus,108,-4194196,Label,IMPORTED,USER32.DLL
DispatchMessageA,109,-4194195,Function,IMPORTED,USER32.DLL
PostMessageA,110,-4194194,Function,IMPORTED,USER32.DLL
PeekMessageA,111,-4194193,Function,IMPORTED,USER32.DLL
TranslateMessage,112,-4194192,Function,IMPORTED,USER32.DLL
IsIconic,113,-4194191,Function,IMPORTED,USER32.DLL
GetMessageA,114,-4194190,Function,IMPORTED,USER32.DLL
ClipCursor,115,-4194189,Label,IMPORTED,USER32.DLL
GetActiveWindow,116,-4194188,Function,IMPORTED,USER32.DLL
GetCursorPos,117,-4194187,Function,IMPORTED,USER32.DLL
SetCursorPos,118,-4194186,Label,IMPORTED,USER32.DLL
GetCursorInfo,119,-4194185,Label,IMPORTED,USER32.DLL
ShowCursor,120,-4194184,Label,IMPORTED,USER32.DLL
ScreenToClient,121,-4194183,Function,IMPORTED,USER32.DLL
ClientToScreen,122,-4194182,Function,IMPORTED,USER32.DLL
LoadImageA,123,-4194181,Function,IMPORTED,USER32.DLL
GetSystemMenu,124,-4194180,Label,IMPORTED,USER32.DLL
LoadIconA,125,-4194179,Function,IMPORTED,USER32.DLL
EnableMenuItem,126,-4194178,Function,IMPORTED,USER32.DLL
GetSystemMetrics,127,-4194177,Function,IMPORTED,USER32.DLL
SetWindowPos,128,-4194176,Label,IMPORTED,USER32.DLL
SetClassLongA,129,-4194175,Function,IMPORTED,USER32.DLL
MonitorFromWindow,130,-4194174,Function,IMPORTED,USER32.DLL
GetWindowLongA,131,-4194173,Function,IMPORTED,USER32.DLL
SetWindowLongA,132,-4194172,Function,IMPORTED,USER32.DLL
GetMonitorInfoA,133,-4194171,Function,IMPORTED,USER32.DLL
SendMessageA,134,-4194170,Function,IMPORTED,USER32.DLL
EnumDisplaySettingsA,135,-4194169,Function,IMPORTED,USER32.DLL
GetWindowRect,136,-4194168,Function,IMPORTED,USER32.DLL
GetClientRect,137,-4194167,Function,IMPORTED,USER32.DLL
UpdateWindow,138,-4194166,Function,IMPORTED,USER32.DLL
ShowWindow,139,-4194165,Label,IMPORTED,USER32.DLL
keybd_event,140,-4194164,Function,IMPORTED,USER32.DLL
CryptEnumProvidersA,141,-4194163,Label,IMPORTED,ADVAPI32.DLL
CryptReleaseContext,142,-4194162,Label,IMPORTED,ADVAPI32.DLL
CryptAcquireContextA,143,-4194161,Label,IMPORTED,ADVAPI32.DLL
CryptGenRandom,144,-4194160,Label,IMPORTED,ADVAPI32.DLL
RegCloseKey,145,-4194159,Label,IMPORTED,ADVAPI32.DLL
RegOpenKeyExA,146,-4194158,Label,IMPORTED,ADVAPI32.DLL
RegQueryValueExA,147,-4194157,Label,IMPORTED,ADVAPI32.DLL
?ZERO@Vector3@Ogre@@2V12@B,148,-4194156,Label,IMPORTED,OGREMAIN.DLL
?White@ColourValue@Ogre@@2V12@B,149,-4194155,Label,IMPORTED,OGREMAIN.DLL
?setManuallyControlled@Bone@Ogre@@QAEX_N@Z,150,-4194154,Label,IMPORTED,OGREMAIN.DLL
?setBindingPose@Bone@Ogre@@QAEXXZ,151,-4194153,Function,IMPORTED,OGREMAIN.DLL
?setTimePosition@AnimationState@Ogre@@QAEXM@Z,152,-4194152,Function,IMPORTED,OGREMAIN.DLL
?setDepthClear@Viewport@Ogre@@QAEXM@Z,153,-4194151,Function,IMPORTED,OGREMAIN.DLL
?setDimensions@Viewport@Ogre@@QAEXMMMM@Z,154,-4194150,Function,IMPORTED,OGREMAIN.DLL
?getActualHeight@Viewport@Ogre@@QBEHXZ,155,-4194149,Function,IMPORTED,OGREMAIN.DLL
?getActualWidth@Viewport@Ogre@@QBEHXZ,156,-4194148,Function,IMPORTED,OGREMAIN.DLL
?getZOrder@Viewport@Ogre@@QBEHXZ,157,-4194147,Function,IMPORTED,OGREMAIN.DLL
?IDENTITY@Quaternion@Ogre@@2V12@B,158,-4194146,Label,IMPORTED,OGREMAIN.DLL
?getShadowCamera@DefaultShadowCameraSetup@Ogre@@UBEXPBVSceneManager@2@PBVCamera@2@PBVViewport@2@PBVLight@2@PAV42@I@Z,159,-4194145,Function,IMPORTED,OGREMAIN.DLL
??1DefaultShadowCameraSetup@Ogre@@UAE@XZ,160,-4194144,Function,IMPORTED,OGREMAIN.DLL
??0DefaultShadowCameraSetup@Ogre@@QAE@XZ,161,-4194143,Function,IMPORTED,OGREMAIN.DLL
?getOptimalAdjustFactor@PSSMShadowCameraSetup@Ogre@@UBEMXZ,162,-4194142,Function,IMPORTED,OGREMAIN.DLL
?getShadowCamera@PSSMShadowCameraSetup@Ogre@@UBEXPBVSceneManager@2@PBVCamera@2@PBVViewport@2@PBVLight@2@PAV42@I@Z,163,-4194141,Function,IMPORTED,OGREMAIN.DLL
?setOptimalAdjustFactor@PSSMShadowCameraSetup@Ogre@@QAEXIM@Z,164,-4194140,Function,IMPORTED,OGREMAIN.DLL
