map,zones,map_version,classification,src_levels,levels_shipped,levels_ours,levels_smoothed,shipped_vs_smoothed_ndiff,shipped_vs_smoothed_max,shipped_vs_smoothed_rmse,shipped_vs_ours_ndiff,shipped_vs_ours_max,shipped_vs_ours_rmse,shipped_vs_ours_halfup_max,vertices_exact,shipped_flagged_samples,src_flagged_samples,status,note
multdm77,1x1,11,hand-modified,961,1644,1576,1719,11724,251,4.4719,36636,238,5.9384,238,1,0,14799,ok,
multdm99,1x1,10,shipped-smoothed-cook,27,356,57,356,0,0,0.0,11601,450,23.7462,450,1,0,15963,ok,
multg1,4x4,10,shipped-smoothed-cook,806,1244,1137,1237,17600,1,0.1296,68324,297,4.7566,297,1,0,256417,ok,
multst01,4x4,10,shipped-smoothed-cook,717,832,818,828,19171,1,0.1352,68167,169,2.0903,169,1,0,255523,ok,
multst02,4x4,10,shipped-smoothed-cook,1253,1632,1566,1630,22484,1,0.1464,110028,538,8.3828,538,1,0,250540,ok,
multst03,4x4,10,shipped-smoothed-cook,579,701,663,699,7187,1,0.0828,51281,500,17.9499,500,1,0,255299,ok,
multst04,4x4,10,shipped-smoothed-cook,386,932,660,928,5246,1,0.0707,30251,381,12.178,381,1,0,258563,ok,
multst11,1x1,10,shipped-smoothed-cook,966,1558,1411,1566,3368,1,0.2267,23710,877,47.6378,877,1,0,12572,ok,
multst12,2x2,10,shipped-smoothed-cook,1033,1389,1286,1383,18371,1,0.2647,90149,546,13.0649,546,1,0,52404,ok,
multst24,2x2,10,shipped-smoothed-cook,860,920,925,918,39775,1,0.3895,161783,62,4.1261,62,1,0,48270,ok,
multst25,4x3,10,shipped-smoothed-cook,1819,1902,1918,1901,32939,1,0.2047,144488,540,9.6317,540,1,0,178931,ok,
multst26,4x4,10,shipped-smoothed-cook,1672,1714,1719,1713,32095,1,0.175,184154,550,23.4822,550,1,0,232071,ok,
multst28,4x4,10,shipped-smoothed-cook,2479,2841,2687,2847,31410,1,0.1731,123851,957,31.1825,957,1,0,249023,ok,
multst29,4x4,10,shipped-smoothed-cook,1437,1655,1668,1661,24066,1,0.1515,122621,373,13.3566,373,1,0,246010,ok,
multst31,4x4,10,shipped-smoothed-cook,724,1038,1006,1036,6781,1,0.0804,53394,567,10.4483,567,1,0,252010,ok,
multst32,4x3,10,shipped-smoothed-cook,3933,4011,4011,4011,137745,1,0.4185,543828,344,6.4869,344,1,0,152684,ok,
multst33,4x4,10,shipped-smoothed-cook,1068,1156,1191,1156,23395,1,0.1494,96128,158,5.9031,158,1,0,248245,ok,
multst34,4x4,10,shipped-smoothed-cook,2550,2568,2555,2568,196215,1,0.4326,715987,646,3.403,646,1,0,208032,ok,
play01,3x4,10,shipped-smoothed-cook,493,849,694,847,7819,1,0.0997,58617,121,2.4391,121,1,0,188651,ok,
test,,,,,,,,,,,,,,,,,,hg2-invalid,header declares 2x4 (1048588 bytes) but file is 2097164 bytes
tran02,2x2,10,shipped-smoothed-cook,860,920,925,918,41421,1,0.3975,175129,62,4.5221,62,1,0,45981,ok,
tran03,2x2,10,shipped-smoothed-cook,860,920,925,918,41215,1,0.3965,174812,62,4.5233,62,1,0,45940,ok,
tran04,2x2,10,shipped-smoothed-cook,860,920,925,918,41249,1,0.3967,174893,62,4.5286,62,1,0,45971,ok,
