path,name,bytes,zones,dim_source,samples,min,max,levels,flagged,ambiguous,status,output,sha256_16,note
C:\Program Files (x86)\Battlezone\stockfiles\multdm17.hgt,multdm17.hgt,32768,1x1,trn-dir,16384,500,2798,504,14344,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multdm17.hg2,bbd876c69a035687,
C:\Program Files (x86)\Battlezone\stockfiles\multdm20.hgt,multdm20.hgt,524288,4x4,trn-dir,262144,0,4095,1556,256033,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multdm20.hg2,6fce10ef4d9ca0e7,
C:\Program Files (x86)\Battlezone\stockfiles\multdm21.hgt,multdm21.hgt,524288,4x4,trn,262144,0,2509,1707,255043,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multdm21.hg2,d26e7aa2b5b1e983,
C:\Program Files (x86)\Battlezone\stockfiles\multdm28.hgt,multdm28.hgt,32768,1x1,trn-dir,16384,0,1912,1581,8234,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multdm28.hg2,4b845ef11b49f973,
C:\Program Files (x86)\Battlezone\stockfiles\multdm29.hgt,multdm29.hgt,32768,1x1,trn-dir,16384,0,1202,153,16179,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multdm29.hg2,6561b804b082ec5a,
C:\Program Files (x86)\Battlezone\stockfiles\multdm48.hgt,multdm48.hgt,131072,2x2,trn,65536,0,1530,703,56643,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multdm48.hg2,29996125ca60b734,
C:\Program Files (x86)\Battlezone\stockfiles\multdm61.hgt,multdm61.hgt,32768,1x1,trn,16384,0,2725,33,16282,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multdm61.hg2,f76eada42e966aba,
C:\Program Files (x86)\Battlezone\stockfiles\multdm75.hgt,multdm75.hgt,32768,1x1,trn,16384,0,1624,1077,9931,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multdm75.hg2,b70ac34cb174d0b6,
C:\Program Files (x86)\Battlezone\stockfiles\multdm77.hgt,multdm77.hgt,32768,1x1,trn,16384,2,2232,961,14799,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multdm77.hg2,00204f28913cc747,
C:\Program Files (x86)\Battlezone\stockfiles\multdm99.hgt,multdm99.hgt,32768,1x1,trn,16384,550,2000,27,15963,0,converted,C:\Users\iestu\AppData\Local\Temp\claude\C--Users-iestu-Documents-GIT-BZR-OpenShim\9b88918a-ab82-4bf9-b77d-27687025d3c0\scratchpad\converted15\multdm99.hg2,878830a263c7aa9f,
