path,name,bytes,zones,dim_source,samples,min,max,levels,flagged,ambiguous,status,sha256_16,note
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\addon\bz deluxe (old 2011 bz files)\ianmsn09.HGT,ianmsn09.HGT,32768,1x1,trn,16384,0,705,563,14521,0,parsed,b05551793ce566d4,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\addon\bz deluxe (old 2011 bz files)\ianmsn10.HGT,ianmsn10.HGT,294912,3x3,trn,147456,0,2194,1677,137840,0,parsed,ec1e21719916653d,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\addon\bz deluxe (old 2011 bz files)\ianmsn11.hgt,ianmsn11.hgt,524288,4x4,trn,262144,0,1626,1278,239896,0,parsed,a3b10d0a2f661d8c,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\addon\bz deluxe (old 2011 bz files)\ianmsn12.HGT,ianmsn12.HGT,294912,3x3,trn,147456,0,3977,2344,127208,0,parsed,b0c7b69ce4377ee7,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\addon\bz deluxe (old 2011 bz files)\ianmsn13.HGT,ianmsn13.HGT,524288,4x4,trn,262144,0,2100,1871,242145,0,parsed,9c54ada5d1a6da79,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\addon\bz deluxe (old 2011 bz files)\ianmsn14.HGT,ianmsn14.HGT,294912,3x3,trn,147456,0,4095,1863,136517,0,parsed,14e18dee0f0d4486,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\addon\bz deluxe (old 2011 bz files)\ianmsn15.HGT,ianmsn15.HGT,524288,4x4,trn,262144,0,2551,1752,250175,0,parsed,18210357b882121b,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\addon\bz deluxe (old 2011 bz files)\ianmsn16.HGT,ianmsn16.HGT,524288,4x4,trn,262144,0,1971,1538,259929,0,parsed,91c7db1a8364c406,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\addon\bz deluxe (old 2011 bz files)\ianmsn17.HGT,ianmsn17.HGT,32768,1x1,trn,16384,0,1653,1385,14085,0,parsed,72b54f90c11f01d3,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\addon\bz deluxe (old 2011 bz files)\ianmsn18.HGT,ianmsn18.HGT,524288,4x4,trn,262144,50,1821,1042,226519,0,parsed,22bb5d7539bb8698,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\addon\bz deluxe (old 2011 bz files)\ianmsn19.hgt,ianmsn19.hgt,524288,4x4,trn,262144,0,1110,567,256001,0,parsed,611db9fc8c0108c7,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\addon\bz deluxe (old 2011 bz files)\ianmsn20.hgt,ianmsn20.hgt,524288,4x4,trn,262144,0,2795,2361,248362,0,parsed,2ba44c2929770479,
C:\Users\iestu\Documents\GIT\BZ1_Source\1.5\Battlezone_Install\addon\bz deluxe (old 2011 bz files)\ianmsn21.hgt,ianmsn21.hgt,524288,4x4,inferred,262144,0,1041,864,254126,1,parsed,f680c97f2fc6af52,
