name,address_va,address_rva,symbol_type,source,namespace
FindNextFileW,85,-4194219,Function,IMPORTED,KERNEL32.DLL
FindFirstFileW,86,-4194218,Function,IMPORTED,KERNEL32.DLL
FindClose,87,-4194217,Function,IMPORTED,KERNEL32.DLL
DeleteFileW,88,-4194216,Function,IMPORTED,KERNEL32.DLL
CreateFileW,89,-4194215,Function,IMPORTED,KERNEL32.DLL
CreateDirectoryW,90,-4194214,Function,IMPORTED,KERNEL32.DLL
GetCurrentProcessId,91,-4194213,Function,IMPORTED,KERNEL32.DLL
GetProcAddress,92,-4194212,Function,IMPORTED,KERNEL32.DLL
GetRawInputData,93,-4194211,Function,IMPORTED,USER32.DLL
GetKeyState,94,-4194210,Function,IMPORTED,USER32.DLL
AttachThreadInput,95,-4194209,Function,IMPORTED,USER32.DLL
GetForegroundWindow,96,-4194208,Function,IMPORTED,USER32.DLL
MapVirtualKeyA,97,-4194207,Function,IMPORTED,USER32.DLL
MessageBoxA,98,-4194206,Function,IMPORTED,USER32.DLL
BringWindowToTop,99,-4194205,Function,IMPORTED,USER32.DLL
RegisterRawInputDevices,100,-4194204,Function,IMPORTED,USER32.DLL
CallWindowProcA,101,-4194203,Function,IMPORTED,USER32.DLL
FindWindowA,102,-4194202,Function,IMPORTED,USER32.DLL
GetWindowThreadProcessId,103,-4194201,Function,IMPORTED,USER32.DLL
MsgWaitForMultipleObjects,104,-4194200,Function,IMPORTED,USER32.DLL
SetCursor,105,-4194199,Function,IMPORTED,USER32.DLL
SetForegroundWindow,106,-4194198,Function,IMPORTED,USER32.DLL
GetFocus,107,-4194197,Function,IMPORTED,USER32.DLL
SetFocus,108,-4194196,Function,IMPORTED,USER32.DLL
DispatchMessageA,109,-4194195,Function,IMPORTED,USER32.DLL
PostMessageA,110,-4194194,Function,IMPORTED,USER32.DLL
PeekMessageA,111,-4194193,Function,IMPORTED,USER32.DLL
TranslateMessage,112,-4194192,Function,IMPORTED,USER32.DLL
IsIconic,113,-4194191,Function,IMPORTED,USER32.DLL
GetMessageA,114,-4194190,Function,IMPORTED,USER32.DLL
ClipCursor,115,-4194189,Function,IMPORTED,USER32.DLL
GetActiveWindow,116,-4194188,Function,IMPORTED,USER32.DLL
GetCursorPos,117,-4194187,Function,IMPORTED,USER32.DLL
SetCursorPos,118,-4194186,Function,IMPORTED,USER32.DLL
GetCursorInfo,119,-4194185,Function,IMPORTED,USER32.DLL
ShowCursor,120,-4194184,Function,IMPORTED,USER32.DLL
ScreenToClient,121,-4194183,Function,IMPORTED,USER32.DLL
ClientToScreen,122,-4194182,Function,IMPORTED,USER32.DLL
LoadImageA,123,-4194181,Function,IMPORTED,USER32.DLL
GetSystemMenu,124,-4194180,Function,IMPORTED,USER32.DLL
LoadIconA,125,-4194179,Function,IMPORTED,USER32.DLL
EnableMenuItem,126,-4194178,Function,IMPORTED,USER32.DLL
GetSystemMetrics,127,-4194177,Function,IMPORTED,USER32.DLL
SetWindowPos,128,-4194176,Function,IMPORTED,USER32.DLL
SetClassLongA,129,-4194175,Function,IMPORTED,USER32.DLL
MonitorFromWindow,130,-4194174,Function,IMPORTED,USER32.DLL
GetWindowLongA,131,-4194173,Function,IMPORTED,USER32.DLL
SetWindowLongA,132,-4194172,Function,IMPORTED,USER32.DLL
GetMonitorInfoA,133,-4194171,Function,IMPORTED,USER32.DLL
SendMessageA,134,-4194170,Function,IMPORTED,USER32.DLL
EnumDisplaySettingsA,135,-4194169,Function,IMPORTED,USER32.DLL
GetWindowRect,136,-4194168,Function,IMPORTED,USER32.DLL
GetClientRect,137,-4194167,Function,IMPORTED,USER32.DLL
UpdateWindow,138,-4194166,Function,IMPORTED,USER32.DLL
ShowWindow,139,-4194165,Function,IMPORTED,USER32.DLL
keybd_event,140,-4194164,Function,IMPORTED,USER32.DLL
CryptEnumProvidersA,141,-4194163,Function,IMPORTED,ADVAPI32.DLL
CryptReleaseContext,142,-4194162,Function,IMPORTED,ADVAPI32.DLL
CryptAcquireContextA,143,-4194161,Function,IMPORTED,ADVAPI32.DLL
CryptGenRandom,144,-4194160,Function,IMPORTED,ADVAPI32.DLL
RegCloseKey,145,-4194159,Function,IMPORTED,ADVAPI32.DLL
RegOpenKeyExA,146,-4194158,Function,IMPORTED,ADVAPI32.DLL
RegQueryValueExA,147,-4194157,Function,IMPORTED,ADVAPI32.DLL
ZERO,148,-4194156,Label,IMPORTED,OGREMAIN.DLL::Ogre::Vector3
White,149,-4194155,Label,IMPORTED,OGREMAIN.DLL::Ogre::ColourValue
setManuallyControlled,150,-4194154,Function,IMPORTED,OGREMAIN.DLL::Ogre::Bone
setBindingPose,151,-4194153,Function,IMPORTED,OGREMAIN.DLL::Ogre::Bone
setTimePosition,152,-4194152,Function,IMPORTED,OGREMAIN.DLL::Ogre::AnimationState
setDepthClear,153,-4194151,Function,IMPORTED,OGREMAIN.DLL::Ogre::Viewport
setDimensions,154,-4194150,Function,IMPORTED,OGREMAIN.DLL::Ogre::Viewport
getActualHeight,155,-4194149,Function,IMPORTED,OGREMAIN.DLL::Ogre::Viewport
getActualWidth,156,-4194148,Function,IMPORTED,OGREMAIN.DLL::Ogre::Viewport
getZOrder,157,-4194147,Function,IMPORTED,OGREMAIN.DLL::Ogre::Viewport
IDENTITY,158,-4194146,Label,IMPORTED,OGREMAIN.DLL::Ogre::Quaternion
getShadowCamera,159,-4194145,Function,IMPORTED,OGREMAIN.DLL::Ogre::DefaultShadowCameraSetup
~DefaultShadowCameraSetup,160,-4194144,Function,IMPORTED,OGREMAIN.DLL::Ogre::DefaultShadowCameraSetup
DefaultShadowCameraSetup,161,-4194143,Function,IMPORTED,OGREMAIN.DLL::Ogre::DefaultShadowCameraSetup
getOptimalAdjustFactor,162,-4194142,Function,IMPORTED,OGREMAIN.DLL::Ogre::PSSMShadowCameraSetup
getShadowCamera,163,-4194141,Function,IMPORTED,OGREMAIN.DLL::Ogre::PSSMShadowCameraSetup
setOptimalAdjustFactor,164,-4194140,Function,IMPORTED,OGREMAIN.DLL::Ogre::PSSMShadowCameraSetup
setSplitPoints,165,-4194139,Function,IMPORTED,OGREMAIN.DLL::Ogre::PSSMShadowCameraSetup
~PSSMShadowCameraSetup,166,-4194138,Function,IMPORTED,OGREMAIN.DLL::Ogre::PSSMShadowCameraSetup
PSSMShadowCameraSetup,167,-4194137,Function,IMPORTED,OGREMAIN.DLL::Ogre::PSSMShadowCameraSetup
getSingleton,168,-4194136,Function,IMPORTED,OGREMAIN.DLL::Ogre::MeshManager
load,169,-4194135,Function,IMPORTED,OGREMAIN.DLL::Ogre::MeshManager
NEGATIVE_UNIT_Z,170,-4194134,Label,IMPORTED,OGREMAIN.DLL::Ogre::Vector3
hasAnimationState,171,-4194133,Function,IMPORTED,OGREMAIN.DLL::Ogre::AnimationStateSet
getAnimationState,172,-4194132,Function,IMPORTED,OGREMAIN.DLL::Ogre::AnimationStateSet
refreshAvailableAnimationState,173,-4194131,Function,IMPORTED,OGREMAIN.DLL::Ogre::Entity
getAllAnimationStates,174,-4194130,Function,IMPORTED,OGREMAIN.DLL::Ogre::Entity
getMesh,175,-4194129,Function,IMPORTED,OGREMAIN.DLL::Ogre::Entity
getName,176,-4194128,Function,IMPORTED,OGREMAIN.DLL::Ogre::Node
_setBoundingSphereRadius,177,-4194127,Function,IMPORTED,OGREMAIN.DLL::Ogre::Mesh
_setBounds,178,-4194126,Function,IMPORTED,OGREMAIN.DLL::Ogre::Mesh
setShadowFarDistance,179,-4194125,Function,IMPORTED,OGREMAIN.DLL::Ogre::Light
setDirection,180,-4194124,Function,IMPORTED,OGREMAIN.DLL::Ogre::Light
setPosition,181,-4194123,Function,IMPORTED,OGREMAIN.DLL::Ogre::Light
setSpecularColour,182,-4194122,Function,IMPORTED,OGREMAIN.DLL::Ogre::Light
setDiffuseColour,183,-4194121,Function,IMPORTED,OGREMAIN.DLL::Ogre::Light
logMessage,184,-4194120,Function,IMPORTED,OGREMAIN.DLL::Ogre::Log
operator*,185,-4194119,Function,IMPORTED,OGREMAIN.DLL::Ogre::Quaternion
operator*,186,-4194118,Function,IMPORTED,OGREMAIN.DLL::Ogre::Quaternion
getReceivesShadows,187,-4194117,Function,IMPORTED,OGREMAIN.DLL::Ogre::MovableObject
setOrientation,188,-4194116,Function,IMPORTED,OGREMAIN.DLL::Ogre::Camera
pitch,189,-4194115,Function,IMPORTED,OGREMAIN.DLL::Ogre::Camera
yaw,190,-4194114,Function,IMPORTED,OGREMAIN.DLL::Ogre::Camera
roll,191,-4194113,Function,IMPORTED,OGREMAIN.DLL::Ogre::Camera
setFog,192,-4194112,Function,IMPORTED,OGREMAIN.DLL::Ogre::SceneManager
setAmbientLight,193,-4194111,Function,IMPORTED,OGREMAIN.DLL::Ogre::SceneManager
UNIT_X,194,-4194110,Label,IMPORTED,OGREMAIN.DLL::Ogre::Vector3
getAutoCreatedWindow,195,-4194109,Function,IMPORTED,OGREMAIN.DLL::Ogre::Root
renderOneFrame,196,-4194108,Function,IMPORTED,OGREMAIN.DLL::Ogre::Root
resourceExistsInAnyGroup,197,-4194107,Function,IMPORTED,OGREMAIN.DLL::Ogre::ResourceGroupManager
unloadResourceGroup,198,-4194106,Function,IMPORTED,OGREMAIN.DLL::Ogre::ResourceGroupManager
operator_delete,199,-4194105,Function,IMPORTED,OGREMAIN.DLL::Ogre::AllocatedObject<class_Ogre::CategorisedAllocPolicy<3>_>
